date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,A,4295.0,a2507,4237.0,a2509,4246.0,2507.0,2509.0,-58.0,-49.0,-0.0135040745052386,-0.0114086146682188
2025-06-17,A,4295.0,a2507,4225.0,a2509,4236.0,2507.0,2509.0,-70.0,-59.0,-0.0162980209545984,-0.0137369033760186
2025-06-18,A,4295.0,a2507,4243.0,a2509,4261.0,2507.0,2509.0,-52.0,-34.0,-0.0121071012805588,-0.0079161816065191
2025-06-19,A,4295.0,a2507,4213.0,a2509,4227.0,2507.0,2509.0,-82.0,-68.0,-0.0190919674039581,-0.0158323632130383
2025-06-20,A,4295.0,a2507,4239.0,a2509,4251.0,2507.0,2509.0,-56.0,-44.0,-0.0130384167636786,-0.0102444703143189
2025-06-23,A,4295.0,a2507,4248.0,a2509,4256.0,2507.0,2509.0,-47.0,-39.0,-0.0109429569266589,-0.009080325960419
2025-06-24,A,4295.0,a2507,4235.0,a2509,4235.0,2507.0,2509.0,-60.0,-60.0,-0.0139697322467986,-0.0139697322467986
2025-06-25,A,4295.0,a2507,4208.0,a2509,4186.0,2507.0,2509.0,-87.0,-109.0,-0.020256111757858,-0.0253783469150175
2025-06-26,A,4295.0,a2507,4188.0,a2509,4152.0,2507.0,2509.0,-107.0,-143.0,-0.0249126891734574,-0.0332945285215366
2025-06-27,A,4295.0,a2507,4196.0,a2509,4144.0,2507.0,2509.0,-99.0,-151.0,-0.0230500582072177,-0.0351571594877765
2025-06-30,A,4295.0,a2507,4209.0,a2509,4147.0,2507.0,2509.0,-86.0,-148.0,-0.0200232828870779,-0.0344586728754365
2025-07-01,A,4295.0,a2507,4204.0,a2509,4129.0,2507.0,2509.0,-91.0,-166.0,-0.0211874272409778,-0.038649592549476
2025-07-02,A,4295.0,a2507,4200.0,a2509,4137.0,2507.0,2509.0,-95.0,-158.0,-0.0221187427240977,-0.0367869615832363
2025-07-03,A,4295.0,a2507,4205.0,a2509,4148.0,2507.0,2509.0,-90.0,-147.0,-0.0209545983701978,-0.0342258440046565
2025-07-04,A,4295.0,a2507,4190.0,a2509,4133.0,2507.0,2509.0,-105.0,-162.0,-0.0244470314318975,-0.0377182770663562
2025-07-07,A,4295.0,a2507,4156.0,a2509,4091.0,2507.0,2509.0,-139.0,-204.0,-0.0323632130384167,-0.0474970896391152
2025-07-08,A,4295.0,a2507,4150.0,a2509,4090.0,2507.0,2509.0,-145.0,-205.0,-0.0337601862630966,-0.0477299185098952
2025-07-09,A,4295.0,a2507,4150.0,a2509,4112.0,2507.0,2509.0,-145.0,-183.0,-0.0337601862630966,-0.0426076833527357
2025-07-10,A,4295.0,a2507,4150.0,a2509,4110.0,2507.0,2509.0,-145.0,-185.0,-0.0337601862630966,-0.0430733410942957
2025-07-11,A,4295.0,a2507,4150.0,a2509,4098.0,2507.0,2509.0,-145.0,-197.0,-0.0337601862630966,-0.0458672875436554
2025-07-14,A,4295.0,a2507,4177.0,a2509,4116.0,2507.0,2509.0,-118.0,-179.0,-0.0274738067520372,-0.0416763678696158
2025-07-15,A,4295.0,a2509,4143.0,a2509,4143.0,2509.0,2509.0,-152.0,-152.0,-0.0353899883585564,-0.0353899883585564
2025-07-16,A,4295.0,a2509,4166.0,a2509,4166.0,2509.0,2509.0,-129.0,-129.0,-0.0300349243306169,-0.0300349243306169
2025-07-17,A,4295.0,a2509,4194.0,a2509,4194.0,2509.0,2509.0,-101.0,-101.0,-0.0235157159487776,-0.0235157159487776
2025-07-18,A,4295.0,a2509,4198.0,a2509,4198.0,2509.0,2509.0,-97.0,-97.0,-0.0225844004656577,-0.0225844004656577
2025-07-21,A,4295.0,a2509,4176.0,a2509,4176.0,2509.0,2509.0,-119.0,-119.0,-0.0277066356228172,-0.0277066356228172
2025-07-22,A,4295.0,a2509,4213.0,a2509,4213.0,2509.0,2509.0,-82.0,-82.0,-0.0190919674039581,-0.0190919674039581
2025-07-23,A,4295.0,a2509,4229.0,a2509,4229.0,2509.0,2509.0,-66.0,-66.0,-0.0153667054714784,-0.0153667054714784
2025-07-24,A,4295.0,a2509,4206.0,a2509,4206.0,2509.0,2509.0,-89.0,-89.0,-0.0207217694994179,-0.0207217694994179
2025-07-25,A,4295.0,a2509,4223.0,a2509,4223.0,2509.0,2509.0,-72.0,-72.0,-0.0167636786961583,-0.0167636786961583
2025-07-28,A,4295.0,a2509,4183.0,a2509,4183.0,2509.0,2509.0,-112.0,-112.0,-0.0260768335273573,-0.0260768335273573
2025-07-29,A,4295.0,a2509,4136.0,a2509,4136.0,2509.0,2509.0,-159.0,-159.0,-0.0370197904540162,-0.0370197904540162
2025-07-30,A,4295.0,a2509,4152.0,a2509,4152.0,2509.0,2509.0,-143.0,-143.0,-0.0332945285215366,-0.0332945285215366
2025-07-31,A,4295.0,a2509,4137.0,a2509,4137.0,2509.0,2509.0,-158.0,-158.0,-0.0367869615832363,-0.0367869615832363
2025-08-01,A,4300.0,a2509,4126.0,a2511,4110.0,2509.0,2511.0,-174.0,-190.0,-0.0404651162790697,-0.0441860465116279
2025-08-04,A,4300.0,a2509,4126.0,a2511,4105.0,2509.0,2511.0,-174.0,-195.0,-0.0404651162790697,-0.0453488372093022
2025-08-05,A,4300.0,a2509,4121.0,a2511,4100.0,2509.0,2511.0,-179.0,-200.0,-0.0416279069767442,-0.0465116279069767
2025-08-06,A,4300.0,a2509,4118.0,a2511,4097.0,2509.0,2511.0,-182.0,-203.0,-0.0423255813953488,-0.0472093023255814
2025-08-07,A,4300.0,a2509,4128.0,a2511,4099.0,2509.0,2511.0,-172.0,-201.0,-0.04,-0.0467441860465116
2025-08-08,A,4300.0,a2509,4115.0,a2511,4093.0,2509.0,2511.0,-185.0,-207.0,-0.0430232558139535,-0.0481395348837209
2025-08-11,A,4300.0,a2509,4098.0,a2511,4063.0,2509.0,2511.0,-202.0,-237.0,-0.0469767441860464,-0.0551162790697674
2025-08-12,A,4300.0,a2509,4078.0,a2511,4033.0,2509.0,2511.0,-222.0,-267.0,-0.0516279069767441,-0.062093023255814
2025-08-13,A,4300.0,a2509,4124.0,a2511,4087.0,2509.0,2511.0,-176.0,-213.0,-0.0409302325581395,-0.0495348837209301
2025-08-14,A,4300.0,a2509,4130.0,a2511,4071.0,2509.0,2511.0,-170.0,-229.0,-0.0395348837209302,-0.0532558139534883
2025-08-15,A,4300.0,a2509,4129.0,a2511,4044.0,2509.0,2511.0,-171.0,-256.0,-0.0397674418604651,-0.0595348837209301
2025-08-18,A,4300.0,a2509,4137.0,a2511,4056.0,a2509,a2511,-163.0,-244.0,-0.037906976744186,-0.0567441860465116
2025-08-19,A,4300.0,a2509,4137.0,a2511,4052.0,a2509,a2511,-163.0,-248.0,-0.037906976744186,-0.0576744186046511
2025-08-20,A,4300.0,a2509,4130.0,a2511,4022.0,a2509,a2511,-170.0,-278.0,-0.0395348837209302,-0.0646511627906977
2025-08-21,A,4300.0,a2509,4134.0,a2511,4013.0,a2509,a2511,-166.0,-287.0,-0.0386046511627906,-0.0667441860465116
2025-08-22,A,4300.0,a2509,4106.0,a2511,3989.0,2509.0,2511.0,-194.0,-311.0,-0.0451162790697674,-0.0723255813953488
2025-08-25,A,4300.0,a2509,4114.0,a2511,3998.0,a2509,a2511,-186.0,-302.0,-0.0432558139534883,-0.0702325581395348
2025-08-26,A,4300.0,a2509,4096.0,a2511,3988.0,a2509,a2511,-204.0,-312.0,-0.0474418604651162,-0.0725581395348837
2025-08-27,A,4300.0,a2509,4086.0,a2511,3956.0,a2509,a2511,-214.0,-344.0,-0.0497674418604651,-0.0799999999999999
2025-08-28,A,4300.0,a2509,4087.0,a2511,3933.0,a2509,a2511,-213.0,-367.0,-0.0495348837209301,-0.0853488372093023
2025-08-29,A,4305.0,a2509,4069.0,a2511,3933.0,a2509,a2511,-236.0,-372.0,-0.0548199767711963,-0.086411149825784
2025-09-01,A,4305.0,a2509,4092.0,a2511,3961.0,a2509,a2511,-213.0,-344.0,-0.0494773519163762,-0.0799070847851335
2025-09-02,A,4305.0,a2509,4122.0,a2511,3969.0,a2509,a2511,-183.0,-336.0,-0.0425087108013937,-0.0780487804878048
2025-09-03,A,4305.0,a2509,4087.0,a2511,3964.0,a2509,a2511,-218.0,-341.0,-0.0506387921022067,-0.0792102206736352
2025-09-04,A,4305.0,a2509,4056.0,a2511,3966.0,a2509,a2511,-249.0,-339.0,-0.0578397212543554,-0.0787456445993031
2025-09-05,A,4305.0,a2509,4056.0,a2511,3975.0,a2509,a2511,-249.0,-330.0,-0.0578397212543554,-0.0766550522648084
2025-09-08,A,4305.0,a2509,4067.0,a2511,3973.0,a2509,a2511,-238.0,-332.0,-0.0552845528455284,-0.0771196283391405
2025-09-09,A,4305.0,a2509,4067.0,a2511,3971.0,a2509,a2511,-238.0,-334.0,-0.0552845528455284,-0.0775842044134726
2025-09-10,A,4305.0,a2509,4040.0,a2511,3935.0,a2509,a2511,-265.0,-370.0,-0.0615563298490128,-0.0859465737514517
2025-09-11,A,4305.0,a2509,4040.0,a2511,3926.0,a2509,a2511,-265.0,-379.0,-0.0615563298490128,-0.0880371660859465
2025-09-12,A,4305.0,a2509,4081.0,a2511,3956.0,a2509,a2511,-224.0,-349.0,-0.0520325203252032,-0.0810685249709639
2025-09-15,A,4305.0,a2511,3942.0,a2511,3942.0,a2511,a2511,-363.0,-363.0,-0.0843205574912892,-0.0843205574912892
2025-09-16,A,4305.0,a2511,3934.0,a2511,3934.0,a2511,a2511,-371.0,-371.0,-0.0861788617886178,-0.0861788617886178
2025-09-17,A,4305.0,a2511,3914.0,a2511,3914.0,a2511,a2511,-391.0,-391.0,-0.0908246225319395,-0.0908246225319395
2025-09-18,A,4300.0,a2511,3892.0,a2511,3892.0,a2511,a2511,-408.0,-408.0,-0.0948837209302325,-0.0948837209302325
2025-09-19,A,4300.0,a2511,3906.0,a2511,3906.0,a2511,a2511,-394.0,-394.0,-0.0916279069767441,-0.0916279069767441
2025-11-17,A,4265.0,a2601,4187.0,a2601,4187.0,2601,2601,-78.0,-78.0,-0.0182883939038687,-0.0182883939038687
2025-11-18,A,4265.0,a2601,4177.0,a2601,4177.0,2601,2601,-88.0,-88.0,-0.0206330597889801,-0.0206330597889801
2025-11-19,A,4275.0,a2601,4151.0,a2601,4151.0,2601,2601,-124.0,-124.0,-0.0290058479532163,-0.0290058479532163
2025-11-20,A,4275.0,a2601,4110.0,a2601,4110.0,2601,2601,-165.0,-165.0,-0.0385964912280701,-0.0385964912280701
2025-11-21,A,4275.0,a2601,4107.0,a2601,4107.0,2601,2601,-168.0,-168.0,-0.039298245614035,-0.039298245614035
2025-11-24,A,4280.0,a2601,4139.0,a2601,4139.0,2601,2601,-141.0,-141.0,-0.0329439252336448,-0.0329439252336448
2025-11-25,A,4280.0,a2601,4117.0,a2601,4117.0,2601,2601,-163.0,-163.0,-0.0380841121495326,-0.0380841121495326
2025-11-26,A,4280.0,a2601,4103.0,a2601,4103.0,2601,2601,-177.0,-177.0,-0.0413551401869158,-0.0413551401869158
2025-11-27,A,4280.0,a2601,4106.0,a2601,4106.0,2601,2601,-174.0,-174.0,-0.0406542056074766,-0.0406542056074766
2025-11-28,A,4280.0,a2601,4115.0,a2601,4115.0,2601,2601,-165.0,-165.0,-0.0385514018691588,-0.0385514018691588
2025-12-01,A,4280.0,a2601,4118.0,a2601,4118.0,2601,2601,-162.0,-162.0,-0.0378504672897196,-0.0378504672897196
2025-12-02,A,4280.0,a2601,4127.0,a2601,4127.0,2601,2601,-153.0,-153.0,-0.0357476635514019,-0.0357476635514019
2025-12-03,A,4280.0,a2601,4129.0,a2601,4129.0,2601,2601,-151.0,-151.0,-0.0352803738317757,-0.0352803738317757
2025-12-04,A,4285.0,a2601,4120.0,a2601,4120.0,2601,2601,-165.0,-165.0,-0.0385064177362893,-0.0385064177362893
2025-12-05,A,4285.0,a2601,4088.0,a2601,4088.0,2601,2601,-197.0,-197.0,-0.0459743290548424,-0.0459743290548424
2025-12-08,A,4285.0,a2601,4084.0,a2601,4084.0,2601,2601,-201.0,-201.0,-0.0469078179696615,-0.0469078179696615
2025-12-09,A,4290.0,a2601,4086.0,a2601,4086.0,2601,2601,-204.0,-204.0,-0.0475524475524475,-0.0475524475524475
2025-12-10,A,4305.0,a2601,4123.0,a2601,4123.0,2601,2601,-182.0,-182.0,-0.0422764227642276,-0.0422764227642276
2025-12-11,A,4305.0,a2601,4167.0,a2601,4167.0,2601,2601,-138.0,-138.0,-0.0320557491289198,-0.0320557491289198
2025-12-12,A,4305.0,a2601,4151.0,a2601,4151.0,2601,2601,-154.0,-154.0,-0.0357723577235772,-0.0357723577235772
2025-12-15,A,4305.0,a2601,4142.0,a2601,4142.0,2601,2601,-163.0,-163.0,-0.037862950058072,-0.037862950058072
2025-12-16,A,4330.0,a2601,4102.0,a2601,4102.0,2601,2601,-228.0,-228.0,-0.0526558891454965,-0.0526558891454965
2025-12-17,A,4345.0,a2601,4092.0,a2601,4092.0,2601,2601,-253.0,-253.0,-0.0582278481012658,-0.0582278481012658
2025-12-18,A,4360.0,a2601,4049.0,a2605,4082.0,2601,2605,-311.0,-278.0,-0.0713302752293577,-0.0637614678899082
2025-12-19,A,4360.0,a2601,4048.0,a2605,4083.0,2601,2605,-312.0,-277.0,-0.0715596330275228,-0.063532110091743
2025-12-22,A,4380.0,a2601,4068.0,a2605,4117.0,2601,2605,-312.0,-263.0,-0.0712328767123288,-0.0600456621004565
2025-12-23,A,4395.0,a2601,4066.0,a2605,4104.0,2601,2605,-329.0,-291.0,-0.0748577929465301,-0.0662116040955631
2025-12-24,A,4395.0,a2601,4069.0,a2605,4106.0,2601,2605,-326.0,-289.0,-0.0741751990898749,-0.0657565415244596
2025-12-25,A,4395.0,a2601,4079.0,a2605,4113.0,2601,2605,-316.0,-282.0,-0.0718998862343571,-0.0641638225255972
2025-12-26,A,4395.0,a2601,4085.0,a2605,4125.0,2601,2605,-310.0,-270.0,-0.0705346985210466,-0.0614334470989761
