date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,CF,14810.0,CF507,13285.0,CF509,13515.0,20507.0,20509.0,-1525.0,-1295.0,-0.1029709655638082,-0.087440918298447
2025-06-17,CF,14846.5,CF507,13280.0,CF509,13500.0,20507.0,20509.0,-1566.5,-1346.5,-0.1055130838918263,-0.0906947765466608
2025-06-18,CF,14842.17,CF507,13320.0,CF509,13545.0,20507.0,20509.0,-1522.17,-1297.17,-0.1025571058679425,-0.0873975975211172
2025-06-19,CF,14882.0,CF507,13275.0,CF509,13490.0,20507.0,20509.0,-1607.0,-1392.0,-0.10798279801102,-0.0935358150786184
2025-06-20,CF,14869.67,CF507,13275.0,CF509,13505.0,20507.0,20509.0,-1594.67,-1364.67,-0.1072431331697341,-0.0917754059101513
2025-06-23,CF,14881.83,CF507,13250.0,CF509,13480.0,20507.0,20509.0,-1631.83,-1401.83,-0.1096525091336213,-0.0941974206129219
2025-06-24,CF,14868.0,CF507,13280.0,CF509,13535.0,20507.0,20509.0,-1588.0,-1333.0,-0.106806564433683,-0.0896556362658057
2025-06-25,CF,14913.67,CF507,13385.0,CF509,13615.0,20507.0,20509.0,-1528.67,-1298.67,-0.1025012622647544,-0.0870791696477124
2025-06-26,CF,15004.5,CF507,13465.0,CF509,13685.0,20507.0,20509.0,-1539.5,-1319.5,-0.102602552567563,-0.0879402845812923
2025-06-27,CF,15105.67,CF507,13525.0,CF509,13740.0,20507.0,20509.0,-1580.67,-1365.67,-0.1046408401613433,-0.0904077740345181
2025-06-30,CF,15159.83,CF507,13620.0,CF509,13815.0,20507.0,20509.0,-1539.83,-1344.83,-0.101573038747796,-0.0887100976725991
2025-07-01,CF,15210.0,CF507,13515.0,CF509,13735.0,20507.0,20509.0,-1695.0,-1475.0,-0.1114398422090729,-0.0969756738987508
2025-07-02,CF,15160.33,CF507,13585.0,CF509,13785.0,20507.0,20509.0,-1575.33,-1375.33,-0.1039113264684871,-0.0907190014993077
2025-07-03,CF,15199.83,CF507,13555.0,CF509,13790.0,20507.0,20509.0,-1644.83,-1409.83,-0.1082137102849176,-0.092753011053413
2025-07-04,CF,15198.33,CF507,13585.0,CF509,13790.0,20507.0,20509.0,-1613.33,-1408.33,-0.10615179430898,-0.0926634702628512
2025-07-07,CF,15202.17,CF507,13570.0,CF509,13795.0,20507.0,20509.0,-1632.17,-1407.17,-0.1073642775998426,-0.0925637589896705
2025-07-08,CF,15202.17,CF507,13550.0,CF509,13760.0,20507.0,20509.0,-1652.17,-1442.17,-0.1086798792540801,-0.0948660618845862
2025-07-09,CF,15188.83,CF507,13535.0,CF509,13770.0,20507.0,20509.0,-1653.83,-1418.83,-0.1088846211327666,-0.093412725009102
2025-07-10,CF,15201.0,CF507,13625.0,CF509,13865.0,20507.0,20509.0,-1576.0,-1336.0,-0.103677389645418,-0.0878889546740345
2025-07-11,CF,15282.0,CF507,13665.0,CF509,13905.0,20507.0,20509.0,-1617.0,-1377.0,-0.1058107577542206,-0.0901060070671377
2025-07-14,CF,15312.67,CF507,13690.0,CF509,13900.0,20507.0,20509.0,-1622.67,-1412.67,-0.1059691092409096,-0.0922549757814933
2025-07-15,CF,15327.5,CF509,13830.0,CF509,13830.0,20509.0,20509.0,-1497.5,-1497.5,-0.097700212037188,-0.097700212037188
2025-07-16,CF,15291.33,CF509,13945.0,CF509,13945.0,20509.0,20509.0,-1346.33,-1346.33,-0.088045317183005,-0.088045317183005
2025-07-17,CF,15375.33,CF509,14155.0,CF509,14155.0,20509.0,20509.0,-1220.33,-1220.33,-0.0793693533732283,-0.0793693533732283
2025-07-18,CF,15522.67,CF509,14300.0,CF509,14300.0,20509.0,20509.0,-1222.67,-1222.67,-0.078766732785017,-0.078766732785017
2025-07-21,CF,15596.33,CF509,14210.0,CF509,14210.0,20509.0,20509.0,-1386.33,-1386.33,-0.0888882192156744,-0.0888882192156744
2025-07-22,CF,15549.0,CF509,14175.0,CF509,14175.0,20509.0,20509.0,-1374.0,-1374.0,-0.0883658113061933,-0.0883658113061933
2025-07-23,CF,15551.33,CF509,14220.0,CF509,14220.0,20509.0,20509.0,-1331.33,-1331.33,-0.0856087550068065,-0.0856087550068065
2025-07-24,CF,15573.5,CF509,14160.0,CF509,14160.0,20509.0,20509.0,-1413.5,-1413.5,-0.0907631553600667,-0.0907631553600667
2025-07-25,CF,15557.5,CF509,14230.0,CF509,14230.0,20509.0,20509.0,-1327.5,-1327.5,-0.0853286196368311,-0.0853286196368311
2025-07-28,CF,15557.5,CF509,14190.0,CF509,14190.0,20509.0,20509.0,-1367.5,-1367.5,-0.0878997268198618,-0.0878997268198618
2025-07-29,CF,15557.5,CF509,14020.0,CF509,14020.0,20509.0,20509.0,-1537.5,-1537.5,-0.0988269323477422,-0.0988269323477422
2025-07-30,CF,15557.5,CF509,13825.0,CF509,13825.0,20509.0,20509.0,-1732.5,-1732.5,-0.1113610798650168,-0.1113610798650168
2025-07-31,CF,15557.5,CF509,13700.0,CF509,13700.0,20509.0,20509.0,-1857.5,-1857.5,-0.1193957898119878,-0.1193957898119878
2025-08-01,CF,15269.5,CF509,13615.0,CF601,13800.0,20509.0,20601.0,-1654.5,-1469.5,-0.1083532532171976,-0.096237597825731
2025-08-04,CF,15172.17,CF509,13640.0,CF601,13780.0,20509.0,20601.0,-1532.17,-1392.17,-0.100985554472432,-0.0917581334772811
2025-08-05,CF,15186.67,CF509,13670.0,CF601,13825.0,20509.0,20601.0,-1516.67,-1361.67,-0.0998685031017333,-0.0896621840074223
2025-08-06,CF,15196.33,CF509,13690.0,CF601,13855.0,20509.0,20601.0,-1506.33,-1341.33,-0.0991245912664439,-0.0882667065008458
2025-08-07,CF,15207.5,CF509,13675.0,CF601,13830.0,20509.0,20601.0,-1532.5,-1377.5,-0.1007726450764425,-0.0905803057701791
2025-08-08,CF,15192.83,CF509,13660.0,CF601,13815.0,20509.0,20601.0,-1532.83,-1377.83,-0.1008916706104129,-0.0906894897132397
2025-08-11,CF,15179.0,CF509,13700.0,CF601,13870.0,20509.0,20601.0,-1479.0,-1309.0,-0.0974372488306212,-0.0862375650569866
2025-08-12,CF,15191.83,CF509,13715.0,CF601,13935.0,20509.0,20601.0,-1476.83,-1256.83,-0.0972121199355179,-0.0827306519359418
2025-08-13,CF,15204.17,CF509,13830.0,CF601,14110.0,20509.0,20601.0,-1374.17,-1094.17,-0.0903811257043297,-0.0719651253570566
2025-08-14,CF,15223.17,CF509,13825.0,CF601,14105.0,20509.0,20601.0,-1398.17,-1118.17,-0.0918448654255322,-0.0734518500417455
2025-08-15,CF,15221.67,CF509,13840.0,CF601,14110.0,20509.0,20601.0,-1381.67,-1111.67,-0.090769935230497,-0.0730320654698203
2025-08-18,CF,15235.0,CF509,13835.0,CF601,14115.0,20509.0,20601.0,-1400.0,-1120.0,-0.0918936659008861,-0.0735149327207088
2025-08-19,CF,15244.5,CF509,13835.0,CF601,14125.0,20509.0,20601.0,-1409.5,-1119.5,-0.0924595755846371,-0.0734363212962051
2025-08-20,CF,15239.33,CF509,13775.0,CF601,14015.0,20509.0,20601.0,-1464.33,-1224.33,-0.0960888700487488,-0.0803401461875292
2025-08-21,CF,15210.67,CF509,13775.0,CF601,14040.0,20509.0,20601.0,-1435.67,-1170.67,-0.0943857173944343,-0.0769637366401349
2025-08-22,CF,15245.83,CF509,13750.0,CF601,14015.0,2509.0,2601.0,-1495.83,-1230.83,-0.0981140416756581,-0.0807322395697708
2025-08-25,CF,15237.0,CF509,13815.0,CF601,14115.0,20509.0,20601.0,-1422.0,-1122.0,-0.093325457767277,-0.0736365426265013
