date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,FG,1104.0,FG506,954.0,FG509,976.0,20506.0,20509.0,-150.0,-128.0,-0.1358695652173913,-0.1159420289855072
2025-06-17,FG,1104.0,FG507,954.0,FG509,976.0,20507.0,20509.0,-150.0,-128.0,-0.1358695652173913,-0.1159420289855072
2025-06-18,FG,1104.0,FG507,954.0,FG509,980.0,20507.0,20509.0,-150.0,-124.0,-0.1358695652173913,-0.1123188405797102
2025-06-19,FG,1104.0,FG507,963.0,FG509,994.0,20507.0,20509.0,-141.0,-110.0,-0.1277173913043477,-0.0996376811594202
2025-06-20,FG,1104.0,FG507,965.0,FG509,1006.0,20507.0,20509.0,-139.0,-98.0,-0.1259057971014492,-0.0887681159420289
2025-06-23,FG,1105.6,FG507,959.0,FG509,1004.0,20507.0,20509.0,-146.5999999999999,-101.59999999999992,-0.1325976845151952,-0.0918958031837915
2025-06-24,FG,1105.6,FG507,963.0,FG509,1014.0,20507.0,20509.0,-142.5999999999999,-91.59999999999992,-0.1289797395079593,-0.0828509406657017
2025-06-25,FG,1105.6,FG507,959.0,FG509,1012.0,20507.0,20509.0,-146.5999999999999,-93.59999999999992,-0.1325976845151952,-0.0846599131693197
2025-06-26,FG,1105.6,FG507,951.0,FG509,1014.0,20507.0,20509.0,-154.5999999999999,-91.59999999999992,-0.139833574529667,-0.0828509406657017
2025-06-27,FG,1105.6,FG507,948.0,FG509,1019.0,20507.0,20509.0,-157.5999999999999,-86.59999999999991,-0.142547033285094,-0.0783285094066569
2025-06-30,FG,1105.6,FG507,935.0,FG509,1018.0,20507.0,20509.0,-170.5999999999999,-87.59999999999991,-0.1543053545586106,-0.0792329956584658
2025-07-01,FG,1108.0,FG507,901.0,FG509,988.0,20507.0,20509.0,-207.0,-120.0,-0.1868231046931407,-0.1083032490974729
2025-07-02,FG,1108.0,FG507,938.0,FG509,1023.0,20507.0,20509.0,-170.0,-85.0,-0.1534296028880866,-0.0767148014440433
2025-07-03,FG,1116.0,FG507,951.0,FG509,1042.0,20507.0,20509.0,-165.0,-74.0,-0.1478494623655913,-0.0663082437275985
2025-07-04,FG,1122.4,FG507,959.0,FG509,1031.0,20507.0,20509.0,-163.39999999999986,-91.39999999999986,-0.1455808980755523,-0.0814326443335707
2025-07-07,FG,1122.4,FG507,954.0,FG509,1025.0,20507.0,20509.0,-168.39999999999986,-97.39999999999986,-0.1500356379187454,-0.0867783321454026
2025-07-08,FG,1122.4,FG507,960.0,FG509,1024.0,20507.0,20509.0,-162.39999999999986,-98.39999999999986,-0.1446899501069136,-0.0876692801140411
2025-07-09,FG,1122.4,FG507,970.0,FG509,1029.0,20507.0,20509.0,-152.39999999999986,-93.39999999999986,-0.1357804704205273,-0.083214540270848
2025-07-10,FG,1122.4,FG507,991.0,FG509,1063.0,20507.0,20509.0,-131.39999999999986,-59.39999999999986,-0.1170705630791161,-0.0529223093371346
2025-07-11,FG,1128.0,FG507,989.0,FG509,1090.0,20507.0,20509.0,-139.0,-38.0,-0.1232269503546099,-0.0336879432624113
2025-07-14,FG,1128.0,FG507,938.0,FG509,1087.0,20507.0,20509.0,-190.0,-41.0,-0.1684397163120568,-0.0363475177304964
2025-07-15,FG,1142.4,FG508,1093.0,FG509,1082.0,20508.0,20509.0,-49.39999999999986,-60.39999999999986,-0.0432422969187673,-0.0528711484593836
2025-07-16,FG,1142.4,FG508,1078.0,FG509,1068.0,20508.0,20509.0,-64.39999999999986,-74.39999999999986,-0.0563725490196077,-0.0651260504201679
2025-07-17,FG,1142.4,FG508,1092.0,FG509,1083.0,20508.0,20509.0,-50.39999999999986,-59.39999999999986,-0.0441176470588233,-0.0519957983193276
2025-07-18,FG,1142.4,FG508,1110.0,FG509,1095.0,20508.0,20509.0,-32.399999999999864,-47.39999999999986,-0.028361344537815,-0.0414915966386553
2025-07-21,FG,1174.4,FG508,1160.0,FG509,1145.0,20508.0,20509.0,-14.400000000000093,-29.40000000000009,-0.0122615803814715,-0.0250340599455041
2025-07-22,FG,1180.0,FG508,1205.0,FG509,1203.0,20508.0,20509.0,25.0,23.0,0.021186440677966,0.0194915254237288
2025-07-23,FG,1210.4,FG508,1221.0,FG509,1223.0,20508.0,20509.0,10.599999999999907,12.599999999999907,0.0087574355584929,0.0104097818902841
2025-07-24,FG,1216.0,FG508,1258.0,FG509,1261.0,20508.0,20509.0,42.0,45.0,0.0345394736842106,0.0370065789473683
2025-07-25,FG,1256.0,FG508,1344.0,FG509,1344.0,20508.0,20509.0,88.0,88.0,0.0700636942675159,0.0700636942675159
2025-07-28,FG,1256.0,FG508,1280.0,FG509,1280.0,20508.0,20509.0,24.0,24.0,0.019108280254777,0.019108280254777
