date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,FU,5350.0,fu2507,3280.0,fu2509,3246.0,2507.0,2509.0,-2070.0,-2104.0,-0.3869158878504672,-0.3932710280373832
2025-06-17,FU,5425.0,fu2507,3281.0,fu2509,3243.0,2507.0,2509.0,-2144.0,-2182.0,-0.3952073732718894,-0.4022119815668202
2025-06-18,FU,5437.5,fu2507,3349.0,fu2509,3318.0,2507.0,2509.0,-2088.5,-2119.5,-0.3840919540229884,-0.3897931034482759
2025-06-19,FU,5450.0,fu2507,3365.0,fu2509,3337.0,2507.0,2509.0,-2085.0,-2113.0,-0.3825688073394495,-0.3877064220183486
2025-06-20,FU,5450.0,fu2507,3385.0,fu2509,3379.0,2507.0,2509.0,-2065.0,-2071.0,-0.3788990825688073,-0.38
2025-06-23,FU,5537.5,fu2507,3357.0,fu2509,3369.0,2507.0,2509.0,-2180.5,-2168.5,-0.3937697516930022,-0.3916027088036117
2025-06-24,FU,5550.0,fu2507,3234.0,fu2509,3206.0,2507.0,2509.0,-2316.0,-2344.0,-0.4172972972972972,-0.4223423423423423
2025-06-25,FU,5525.0,fu2507,2951.0,fu2509,3020.0,2507.0,2509.0,-2574.0,-2505.0,-0.4658823529411765,-0.4533936651583711
2025-06-26,FU,5525.0,fu2507,2967.0,fu2509,3004.0,2507.0,2509.0,-2558.0,-2521.0,-0.4629864253393665,-0.456289592760181
2025-06-27,FU,5525.0,fu2507,2930.0,fu2509,3005.0,2507.0,2509.0,-2595.0,-2520.0,-0.469683257918552,-0.4561085972850679
2025-06-30,FU,5462.5,fu2507,2874.0,fu2509,2990.0,2507.0,2509.0,-2588.5,-2472.5,-0.4738672768878719,-0.4526315789473684
2025-07-01,FU,5437.5,fu2508,2937.0,fu2509,2973.0,2508.0,2509.0,-2500.5,-2464.5,-0.4598620689655173,-0.4532413793103448
2025-07-02,FU,5425.0,fu2508,2923.0,fu2509,2956.0,2508.0,2509.0,-2502.0,-2469.0,-0.4611981566820277,-0.4551152073732719
2025-07-03,FU,5450.0,fu2508,2950.0,fu2509,2982.0,2508.0,2509.0,-2500.0,-2468.0,-0.4587155963302752,-0.4528440366972477
2025-07-04,FU,5425.0,fu2508,2939.0,fu2509,2977.0,2508.0,2509.0,-2486.0,-2448.0,-0.4582488479262673,-0.4512442396313364
2025-07-07,FU,5425.0,fu2508,2906.0,fu2509,2940.0,2508.0,2509.0,-2519.0,-2485.0,-0.464331797235023,-0.4580645161290322
2025-07-08,FU,5425.0,fu2508,2931.0,fu2509,2967.0,2508.0,2509.0,-2494.0,-2458.0,-0.4597235023041475,-0.4530875576036867
2025-07-09,FU,5412.5,fu2508,2945.0,fu2509,2982.0,2508.0,2509.0,-2467.5,-2430.5,-0.4558891454965358,-0.4490531177829099
2025-07-10,FU,5400.0,fu2508,2931.0,fu2509,2962.0,2508.0,2509.0,-2469.0,-2438.0,-0.4572222222222222,-0.4514814814814815
2025-07-11,FU,5362.5,fu2508,2873.0,fu2509,2908.0,2508.0,2509.0,-2489.5,-2454.5,-0.4642424242424242,-0.4577156177156177
2025-07-14,FU,5387.5,fu2508,2896.0,fu2509,2919.0,2508.0,2509.0,-2491.5,-2468.5,-0.4624593967517402,-0.4581902552204177
2025-07-15,FU,5387.5,fu2508,2828.0,fu2509,2867.0,2508.0,2509.0,-2559.5,-2520.5,-0.4750812064965197,-0.4678422273781902
2025-07-16,FU,5387.5,fu2508,2838.0,fu2509,2871.0,2508.0,2509.0,-2549.5,-2516.5,-0.4732250580046403,-0.4670997679814385
2025-07-17,FU,5325.0,fu2508,2820.0,fu2509,2861.0,2508.0,2509.0,-2505.0,-2464.0,-0.4704225352112676,-0.4627230046948356
2025-07-18,FU,5325.0,fu2508,2854.0,fu2509,2880.0,2508.0,2509.0,-2471.0,-2445.0,-0.464037558685446,-0.4591549295774648
2025-07-21,FU,5312.5,fu2508,2885.0,fu2509,2921.0,2508.0,2509.0,-2427.5,-2391.5,-0.4569411764705882,-0.4501647058823529
2025-07-22,FU,5312.5,fu2508,2863.0,fu2509,2899.0,2508.0,2509.0,-2449.5,-2413.5,-0.4610823529411765,-0.4543058823529412
2025-07-23,FU,5275.0,fu2508,2843.0,fu2509,2879.0,2508.0,2509.0,-2432.0,-2396.0,-0.461042654028436,-0.4542180094786729
2025-07-24,FU,5275.0,fu2508,2822.0,fu2509,2862.0,2508.0,2509.0,-2453.0,-2413.0,-0.4650236966824644,-0.4574407582938389
2025-07-25,FU,5275.0,fu2508,2825.0,fu2509,2895.0,2508.0,2509.0,-2450.0,-2380.0,-0.4644549763033175,-0.4511848341232227
2025-07-28,FU,5275.0,fu2508,2883.0,fu2509,2860.0,2508.0,2509.0,-2392.0,-2415.0,-0.4534597156398104,-0.4578199052132701
2025-07-29,FU,5300.0,fu2508,2883.0,fu2509,2913.0,2508.0,2509.0,-2417.0,-2387.0,-0.4560377358490566,-0.450377358490566
2025-07-30,FU,5312.5,fu2508,2813.0,fu2509,2944.0,2508.0,2509.0,-2499.5,-2368.5,-0.4704941176470588,-0.4458352941176471
2025-07-31,FU,5312.5,fu2508,2880.0,fu2509,2953.0,2508.0,2509.0,-2432.5,-2359.5,-0.4578823529411765,-0.4441411764705882
2025-08-01,FU,5312.5,fu2509,2914.0,fu2509,2914.0,2509.0,2509.0,-2398.5,-2398.5,-0.4514823529411764,-0.4514823529411764
2025-08-04,FU,5387.5,fu2509,2869.0,fu2509,2869.0,2509.0,2509.0,-2518.5,-2518.5,-0.4674709976798143,-0.4674709976798143
2025-08-05,FU,5387.5,fu2509,2818.0,fu2509,2818.0,2509.0,2509.0,-2569.5,-2569.5,-0.476937354988399,-0.476937354988399
2025-08-06,FU,5375.0,fu2509,2819.0,fu2509,2819.0,2509.0,2509.0,-2556.0,-2556.0,-0.4755348837209302,-0.4755348837209302
2025-08-07,FU,5325.0,fu2509,2833.0,fu2509,2833.0,2509.0,2509.0,-2492.0,-2492.0,-0.467981220657277,-0.467981220657277
