date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-11-06,J,1451.25,j2511,1713.0,j2601,1767.5,2511,2601,261.75,316.25,0.180361757105943,0.2179155900086131
2025-11-07,J,1451.25,j2511,1713.0,j2601,1764.5,2511,2601,261.75,313.25,0.180361757105943,0.215848406546081
2025-11-10,J,1451.25,j2511,1713.0,j2601,1748.0,2511,2601,261.75,296.75,0.180361757105943,0.2044788975021534
2025-11-11,J,1451.25,j2511,1713.0,j2601,1722.0,2511,2601,261.75,270.75,0.180361757105943,0.18656330749354
2025-11-12,J,1451.25,j2511,1713.0,j2601,1691.0,2511,2601,261.75,239.75,0.180361757105943,0.1652024117140396
2025-11-13,J,1451.25,j2511,1818.0,j2601,1686.0,2511,2601,366.75,234.75,0.2527131782945737,0.1617571059431524
2025-11-14,J,1451.25,j2511,1718.5,j2601,1680.5,2511,2601,267.25,229.25,0.184151593453919,0.1579672695951766
2025-11-17,J,1451.25,j2512,1669.0,j2601,1698.0,2512,2601,217.75,246.75,0.1500430663221361,0.1700258397932816
2025-11-18,J,1538.75,j2512,1619.5,j2601,1666.0,2512,2601,80.75,127.25,0.0524776604386676,0.0826969943135662
2025-11-19,J,1538.75,j2512,1618.5,j2601,1645.0,2512,2601,79.75,106.25,0.0518277822908204,0.0690495532087733
2025-11-20,J,1538.75,j2512,1607.0,j2601,1636.0,2512,2601,68.25,97.25,0.0443541835905767,0.0632006498781478
2025-11-21,J,1538.75,j2512,1602.0,j2601,1632.0,2512,2601,63.25,93.25,0.0411047928513403,0.0606011372867587
2025-11-24,J,1538.75,j2512,1605.5,j2601,1627.0,2512,2601,66.75,88.25,0.0433793663688057,0.0573517465475224
2025-11-25,J,1538.75,j2512,1606.5,j2601,1641.0,2512,2601,67.75,102.25,0.044029244516653,0.0664500406173842
2025-11-26,J,1538.75,j2512,1606.5,j2601,1606.5,2512,2601,67.75,67.75,0.044029244516653,0.044029244516653
2025-11-27,J,1577.5,j2512,1557.0,j2601,1606.5,2512,2601,-20.5,29.0,-0.0129952456418384,0.0183835182250395
2025-11-28,J,1577.5,j2512,1531.5,j2601,1574.5,2512,2601,-46.0,-3.0,-0.0291600633914421,-0.0019017432646593
2025-12-01,J,1577.5,j2512,1531.5,j2601,1590.5,2512,2601,-46.0,13.0,-0.0291600633914421,0.0082408874801902
2025-12-02,J,1538.75,j2512,1531.5,j2601,1618.0,2512,2601,-7.25,79.25,-0.0047116165718927,0.0515028432168969
2025-12-03,J,1538.75,j2512,1531.5,j2601,1624.0,2512,2601,-7.25,85.25,-0.0047116165718927,0.0554021121039804
2025-12-04,J,1538.75,j2512,1590.0,j2601,1636.5,2512,2601,51.25,97.75,0.033306255077173,0.0635255889520713
2025-12-05,J,1538.75,j2512,1511.0,j2601,1631.5,2512,2601,-27.75,92.75,-0.0180341186027619,0.060276198212835
2025-12-08,J,1538.75,j2512,1500.0,j2601,1556.0,2512,2601,-38.75,17.25,-0.0251827782290819,0.0112103980503655
2025-12-09,J,1538.75,j2512,1500.0,j2601,1521.5,2512,2601,-38.75,-17.25,-0.0251827782290819,-0.0112103980503656
2025-12-10,J,1538.75,j2512,1498.0,j2601,1537.0,2512,2601,-40.75,-1.75,-0.0264825345247765,-0.0011372867587327
2025-12-11,J,1538.75,j2512,1498.0,j2601,1521.5,2512,2601,-40.75,-17.25,-0.0264825345247765,-0.0112103980503656
2025-12-12,J,1538.75,j2512,1476.0,j2601,1499.0,2512,2601,-62.75,-39.75,-0.0407798537774167,-0.0258326563769293
2025-12-15,J,1496.25,j2601,1494.5,j2601,1494.5,2601,2601,-1.75,-1.75,-0.0011695906432748,-0.0011695906432748
2025-12-16,J,1496.25,j2601,1501.5,j2605,1669.0,2601,2605,5.25,172.75,0.0035087719298245,0.115455304928989
2025-12-17,J,1496.25,j2601,1521.5,j2605,1664.0,2601,2605,25.25,167.75,0.01687552213868,0.1121136173767751
2025-12-18,J,1496.25,j2601,1576.0,j2605,1712.5,2601,2605,79.75,216.25,0.0532999164578111,0.1445279866332498
2025-12-19,J,1496.25,j2601,1588.5,j2605,1730.0,2601,2605,92.25,233.75,0.0616541353383459,0.1562238930659982
2025-12-22,J,1496.25,j2601,1596.5,j2605,1736.5,2601,2605,100.25,240.25,0.067000835421888,0.1605680868838763
2025-12-23,J,1442.5,j2601,1606.0,j2605,1742.5,2601,2605,163.5,300.0,0.1133448873483535,0.2079722703639515
2025-12-24,J,1442.5,j2601,1597.0,j2605,1739.5,2601,2605,154.5,297.0,0.1071057192374349,0.2058925476603119
2025-12-25,J,1442.5,j2601,1595.0,j2605,1739.5,2601,2605,152.5,297.0,0.1057192374350086,0.2058925476603119
2025-12-26,J,1442.5,j2601,1567.5,j2605,1707.5,2601,2605,125.0,265.0,0.0866551126516463,0.1837088388214904
2025-12-29,J,1442.5,j2601,1580.5,j2605,1707.5,2601,2605,138.0,265.0,0.0956672443674175,0.1837088388214904
2025-12-30,J,1442.5,j2601,1574.5,j2605,1714.5,2601,2605,132.0,272.0,0.0915077989601387,0.1885615251299826
2025-12-31,J,1442.5,j2601,1511.0,j2605,1698.0,2601,2605,68.5,255.5,0.04748700173310216,0.17712305025996544
