date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,L,7438.33,l2506,7087.0,l2509,7280.0,2506.0,2509.0,-351.3299999999999,-158.32999999999993,-0.0472323760844167,-0.0212856918152327
2025-06-17,L,7471.67,l2507,7289.0,l2509,7294.0,2507.0,2509.0,-182.67000000000007,-177.67000000000007,-0.0244483495657596,-0.0237791551286392
2025-06-18,L,7525.0,l2507,7389.0,l2509,7391.0,2507.0,2509.0,-136.0,-134.0,-0.0180730897009966,-0.0178073089700996
2025-06-19,L,7543.33,l2507,7450.0,l2509,7443.0,2507.0,2509.0,-93.32999999999991,-100.32999999999991,-0.0123725198287758,-0.0133004919577958
2025-06-20,L,7556.67,l2507,7466.0,l2509,7446.0,2507.0,2509.0,-90.67000000000009,-110.67000000000009,-0.0119986713724431,-0.0146453398123777
2025-06-23,L,7593.33,l2507,7455.0,l2509,7422.0,2507.0,2509.0,-138.32999999999993,-171.32999999999993,-0.0182173038706338,-0.0225632232498784
2025-06-24,L,7571.67,l2507,7306.0,l2509,7291.0,2507.0,2509.0,-265.6700000000001,-280.6700000000001,-0.0350873717422972,-0.0370684406478359
2025-06-25,L,7548.33,l2507,7288.0,l2509,7248.0,2507.0,2509.0,-260.3299999999999,-300.3299999999999,-0.0344884232671333,-0.0397876086498603
2025-06-26,L,7511.67,l2507,7349.0,l2509,7289.0,2507.0,2509.0,-162.67000000000007,-222.67000000000007,-0.0216556371619094,-0.0296432085009059
2025-06-27,L,7511.67,l2507,7344.0,l2509,7308.0,2507.0,2509.0,-167.67000000000007,-203.67000000000007,-0.0223212681068257,-0.0271138109102236
2025-06-30,L,7503.33,l2507,7337.0,l2509,7286.0,2507.0,2509.0,-166.32999999999993,-217.33,-0.0221674909673438,-0.0289644731072736
2025-07-01,L,7486.67,l2507,7282.0,l2509,7246.0,2507.0,2509.0,-204.67000000000007,-240.67000000000007,-0.0273379219332493,-0.0321464683230328
2025-07-02,L,7466.67,l2507,7294.0,l2509,7263.0,2507.0,2509.0,-172.67000000000007,-203.67000000000007,-0.023125436104716,-0.0272772199655267
2025-07-03,L,7441.67,l2507,7298.0,l2509,7293.0,2507.0,2509.0,-143.67000000000007,-148.67000000000007,-0.0193061503667859,-0.0199780425630268
2025-07-04,L,7445.0,l2507,7328.0,l2509,7308.0,2507.0,2509.0,-117.0,-137.0,-0.0157152451309603,-0.0184016118200134
2025-07-07,L,7433.33,l2507,7291.0,l2509,7250.0,2507.0,2509.0,-142.32999999999993,-183.33,-0.0191475422186288,-0.0246632397593002
