date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,PG,4885.0,pg2506,4377.0,pg2508,4273.0,2506.0,2508.0,-508.0,-612.0,-0.1039918116683725,-0.1252814738996929
2025-06-17,PG,4885.0,pg2506,4387.0,pg2508,4290.0,2506.0,2508.0,-498.0,-595.0,-0.1019447287615148,-0.1218014329580348
2025-06-18,PG,4885.0,pg2506,4387.0,pg2508,4418.0,2506.0,2508.0,-498.0,-467.0,-0.1019447287615148,-0.0955987717502558
2025-06-19,PG,4890.0,pg2506,4537.0,pg2508,4477.0,2506.0,2508.0,-353.0,-413.0,-0.0721881390593046,-0.0844580777096114
2025-06-20,PG,4890.0,pg2506,4574.0,pg2508,4530.0,2506.0,2508.0,-316.0,-360.0,-0.0646216768916155,-0.0736196319018405
2025-06-23,PG,4935.0,pg2506,4574.0,pg2508,4528.0,2506.0,2508.0,-361.0,-407.0,-0.0731509625126646,-0.0824721377912867
2025-06-24,PG,5080.0,pg2506,4574.0,pg2508,4351.0,2506.0,2508.0,-506.0,-729.0,-0.0996062992125984,-0.143503937007874
2025-06-25,PG,5055.0,pg2506,4379.0,pg2508,4209.0,2506.0,2508.0,-676.0,-846.0,-0.133728981206726,-0.1673590504451039
2025-06-26,PG,4967.5,pg2507,4265.0,pg2508,4253.0,2507.0,2508.0,-702.5,-714.5,-0.1414192249622546,-0.1438349270256668
2025-06-27,PG,4967.5,pg2507,4256.0,pg2508,4249.0,2507.0,2508.0,-711.5,-718.5,-0.1432310015098138,-0.1446401610468042
2025-06-30,PG,4922.5,pg2507,4235.0,pg2508,4230.0,2507.0,2508.0,-687.5,-692.5,-0.1396648044692737,-0.1406805485017775
2025-07-01,PG,4922.5,pg2507,4203.0,pg2508,4194.0,2507.0,2508.0,-719.5,-728.5,-0.1461655662772981,-0.1479939055358049
2025-07-02,PG,4947.5,pg2507,4205.0,pg2508,4202.0,2507.0,2508.0,-742.5,-745.5,-0.1500757958564932,-0.1506821627084386
2025-07-03,PG,4947.5,pg2507,4205.0,pg2508,4219.0,2507.0,2508.0,-742.5,-728.5,-0.1500757958564932,-0.1472460838807479
2025-07-04,PG,4972.5,pg2507,4205.0,pg2508,4215.0,2507.0,2508.0,-767.5,-757.5,-0.1543489190548014,-0.1523378582202111
2025-07-07,PG,4935.0,pg2507,4205.0,pg2508,4179.0,2507.0,2508.0,-730.0,-756.0,-0.1479229989868288,-0.1531914893617021
2025-07-08,PG,4885.0,pg2507,4205.0,pg2508,4184.0,2507.0,2508.0,-680.0,-701.0,-0.1392016376663255,-0.1435005117707267
2025-07-09,PG,4870.0,pg2507,4205.0,pg2508,4178.0,2507.0,2508.0,-665.0,-692.0,-0.1365503080082135,-0.142094455852156
2025-07-10,PG,4882.5,pg2507,4223.0,pg2508,4199.0,2507.0,2508.0,-659.5,-683.5,-0.135074244751664,-0.139989759344598
2025-07-11,PG,4875.0,pg2507,4179.0,pg2508,4164.0,2507.0,2508.0,-696.0,-711.0,-0.1427692307692307,-0.1458461538461538
2025-07-14,PG,4817.5,pg2507,4179.0,pg2508,4182.0,2507.0,2508.0,-638.5,-635.5,-0.1325376232485728,-0.1319148936170212
2025-07-15,PG,4785.0,pg2507,4150.0,pg2509,4059.0,2507.0,2509.0,-635.0,-726.0,-0.1327063740856844,-0.1517241379310344
2025-07-16,PG,4747.5,pg2507,4056.0,pg2509,4019.0,2507.0,2509.0,-691.5,-728.5,-0.1456556082148499,-0.1534491837809373
2025-07-17,PG,4760.0,pg2507,4056.0,pg2509,3992.0,2507.0,2509.0,-704.0,-768.0,-0.1478991596638655,-0.161344537815126
2025-07-18,PG,4757.5,pg2507,4048.0,pg2509,3988.0,2507.0,2509.0,-709.5,-769.5,-0.1491329479768786,-0.1617446137677352
2025-07-21,PG,4807.5,pg2507,4087.0,pg2509,4021.0,2507.0,2509.0,-720.5,-786.5,-0.149869994799792,-0.1635985439417576
2025-07-22,PG,4782.5,pg2507,4019.0,pg2509,3981.0,2507.0,2509.0,-763.5,-801.5,-0.1596445373758495,-0.1675901725039205
2025-07-23,PG,4770.0,pg2507,4019.0,pg2509,3972.0,2507.0,2509.0,-751.0,-798.0,-0.1574423480083857,-0.1672955974842767
2025-07-24,PG,4750.0,pg2507,4019.0,pg2509,3994.0,2507.0,2509.0,-731.0,-756.0,-0.1538947368421053,-0.159157894736842
2025-07-25,PG,4762.5,pg2507,4058.0,pg2509,4037.0,2507.0,2509.0,-704.5,-725.5,-0.1479265091863517,-0.1523359580052493
2025-07-28,PG,4750.0,pg2507,4051.0,pg2509,3997.0,2507.0,2509.0,-699.0,-753.0,-0.1471578947368421,-0.1585263157894737
2025-07-29,PG,4737.5,pg2508,4013.0,pg2509,4020.0,2508.0,2509.0,-724.5,-717.5,-0.1529287598944591,-0.1514511873350923
2025-07-30,PG,4737.5,pg2508,4044.0,pg2509,4045.0,2508.0,2509.0,-693.5,-692.5,-0.1463852242744063,-0.1461741424802111
2025-07-31,PG,4762.5,pg2508,4030.0,pg2509,4056.0,2508.0,2509.0,-732.5,-706.5,-0.1538057742782151,-0.1483464566929133
2025-08-01,PG,4747.5,pg2508,3984.0,pg2509,3987.0,2508.0,2509.0,-763.5,-760.5,-0.1608214849921011,-0.1601895734597156
2025-08-04,PG,4657.5,pg2508,3935.0,pg2509,3921.0,2508.0,2509.0,-722.5,-736.5,-0.155126140633387,-0.1581320450885668
2025-08-05,PG,4685.0,pg2508,3885.0,pg2509,3849.0,2508.0,2509.0,-800.0,-836.0,-0.1707577374599787,-0.1784418356456777
2025-08-06,PG,4672.5,pg2508,3885.0,pg2509,3835.0,2508.0,2509.0,-787.5,-837.5,-0.1685393258426966,-0.1792402354200106
2025-08-07,PG,4707.5,pg2508,3885.0,pg2509,3837.0,2508.0,2509.0,-822.5,-870.5,-0.174721189591078,-0.1849176845459373
