date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,PP,7403.33,pp2506,7012.0,pp2509,7107.0,2506.0,2509.0,-391.3299999999999,-296.3299999999999,-0.0528586460417136,-0.0400265826324099
2025-06-17,PP,7461.67,pp2507,7128.0,pp2509,7107.0,2507.0,2509.0,-333.6700000000001,-354.6700000000001,-0.0447178714684514,-0.0475322548437547
2025-06-18,PP,7461.67,pp2507,7210.0,pp2509,7189.0,2507.0,2509.0,-251.67000000000007,-272.6700000000001,-0.0337283744791715,-0.0365427578544749
2025-06-19,PP,7471.67,pp2507,7253.0,pp2509,7249.0,2507.0,2509.0,-218.67000000000007,-222.67000000000007,-0.0292665495130272,-0.0298019050627236
2025-06-20,PP,7471.67,pp2507,7278.0,pp2509,7268.0,2507.0,2509.0,-193.67000000000007,-203.67000000000007,-0.0259205773274248,-0.0272589662016657
2025-06-23,PP,7476.67,pp2507,7249.0,pp2509,7237.0,2507.0,2509.0,-227.67000000000007,-239.67000000000007,-0.0304507220460445,-0.0320557146430162
2025-06-24,PP,7501.67,pp2507,7145.0,pp2509,7114.0,2507.0,2509.0,-356.6700000000001,-387.6700000000001,-0.0475454132213227,-0.0516778264039874
2025-06-25,PP,7493.33,pp2507,7098.0,pp2509,7070.0,2507.0,2509.0,-395.3299999999999,-423.3299999999999,-0.0527575857462569,-0.0564942422127412
2025-06-26,PP,7483.33,pp2507,7116.0,pp2509,7087.0,2507.0,2509.0,-367.3299999999999,-396.3299999999999,-0.0490864361186798,-0.0529617162412989
2025-06-27,PP,7483.33,pp2507,7121.0,pp2509,7112.0,2507.0,2509.0,-362.3299999999999,-371.3299999999999,-0.0484182843734005,-0.0496209575149031
2025-06-30,PP,7466.67,pp2507,7108.0,pp2509,7092.0,2507.0,2509.0,-358.6700000000001,-374.6700000000001,-0.0480361392695807,-0.0501789954558056
2025-07-01,PP,7458.33,pp2507,7073.0,pp2509,7048.0,2507.0,2509.0,-385.3299999999999,-410.3299999999999,-0.0516643806321254,-0.0550163374374692
