date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,SH,877.0,SH506,2645.0,SH509,2258.0,20506.0,20509.0,1768.0,1381.0,2.015963511972634,1.5746864310148232
2025-06-17,SH,871.0,SH507,2380.0,SH509,2278.0,20507.0,20509.0,1509.0,1407.0,1.732491389207807,1.6153846153846154
2025-06-18,SH,867.0,SH507,2400.0,SH509,2292.0,20507.0,20509.0,1533.0,1425.0,1.7681660899653977,1.643598615916955
2025-06-19,SH,863.0,SH507,2395.0,SH509,2288.0,20507.0,20509.0,1532.0,1425.0,1.7752027809965236,1.6512166859791426
2025-06-20,SH,857.0,SH507,2370.0,SH509,2265.0,20507.0,20509.0,1513.0,1408.0,1.7654609101516918,1.6429404900816804
2025-06-23,SH,843.0,SH507,2354.0,SH509,2262.0,20507.0,20509.0,1511.0,1419.0,1.7924080664294189,1.6832740213523132
2025-06-24,SH,839.0,SH507,2351.0,SH509,2277.0,20507.0,20509.0,1512.0,1438.0,1.802145411203814,1.7139451728247912
2025-06-25,SH,839.0,SH507,2344.0,SH509,2272.0,20507.0,20509.0,1505.0,1433.0,1.793802145411204,1.7079856972586414
2025-06-26,SH,839.0,SH507,2380.0,SH509,2299.0,20507.0,20509.0,1541.0,1460.0,1.836710369487485,1.7401668653158522
2025-06-27,SH,837.0,SH507,2388.0,SH509,2330.0,20507.0,20509.0,1551.0,1493.0,1.853046594982079,1.783751493428913
2025-06-30,SH,835.0,SH507,2391.0,SH509,2340.0,20507.0,20509.0,1556.0,1505.0,1.8634730538922155,1.8023952095808384
2025-07-01,SH,833.0,SH507,2406.0,SH509,2317.0,20507.0,20509.0,1573.0,1484.0,1.8883553421368544,1.7815126050420167
2025-07-02,SH,827.0,SH507,2349.0,SH509,2374.0,20507.0,20509.0,1522.0,1547.0,1.8403869407496976,1.8706166868198308
2025-07-03,SH,827.0,SH507,2349.0,SH509,2382.0,20507.0,20509.0,1522.0,1555.0,1.8403869407496976,1.8802902055622728
2025-07-04,SH,827.0,SH507,2330.0,SH509,2384.0,20507.0,20509.0,1503.0,1557.0,1.8174123337363968,1.882708585247884
2025-07-07,SH,831.0,SH507,2380.0,SH509,2395.0,20507.0,20509.0,1549.0,1564.0,1.8640192539109508,1.882069795427196
2025-07-08,SH,831.0,SH507,2380.0,SH509,2418.0,20507.0,20509.0,1549.0,1587.0,1.8640192539109508,1.9097472924187728
2025-07-09,SH,841.0,SH507,2381.0,SH509,2419.0,20507.0,20509.0,1540.0,1578.0,1.83115338882283,1.8763376932223543
2025-07-10,SH,847.0,SH507,2456.0,SH509,2495.0,20507.0,20509.0,1609.0,1648.0,1.8996458087367176,1.9456906729634
2025-07-11,SH,851.0,SH507,2467.0,SH509,2506.0,20507.0,20509.0,1616.0,1655.0,1.8989424206815515,1.944770857814336
2025-07-14,SH,861.0,SH507,2488.0,SH509,2527.0,20507.0,20509.0,1627.0,1666.0,1.889663182346109,1.934959349593496
2025-07-15,SH,861.0,SH508,2492.0,SH509,2519.0,20508.0,20509.0,1631.0,1658.0,1.894308943089431,1.9256678281068529
2025-07-16,SH,861.0,SH508,2468.0,SH509,2496.0,20508.0,20509.0,1607.0,1635.0,1.8664343786295008,1.8989547038327528
2025-07-17,SH,863.0,SH508,2443.0,SH509,2474.0,20508.0,20509.0,1580.0,1611.0,1.8308227114716105,1.8667439165701043
2025-07-18,SH,863.0,SH508,2453.0,SH509,2482.0,20508.0,20509.0,1590.0,1619.0,1.8424101969872533,1.8760139049826183
2025-07-21,SH,863.0,SH508,2518.0,SH509,2557.0,20508.0,20509.0,1655.0,1694.0,1.917728852838934,1.962920046349942
2025-07-22,SH,861.0,SH508,2552.0,SH509,2617.0,20508.0,20509.0,1691.0,1756.0,1.9639953542392568,2.0394889663182347
2025-07-23,SH,861.0,SH508,2579.0,SH509,2633.0,20508.0,20509.0,1718.0,1772.0,1.9953542392566783,2.058072009291521
2025-07-24,SH,861.0,SH508,2608.0,SH509,2665.0,20508.0,20509.0,1747.0,1804.0,2.0290360046457607,2.095238095238096
2025-07-25,SH,861.0,SH508,2585.0,SH509,2648.0,20508.0,20509.0,1724.0,1787.0,2.002322880371661,2.075493612078978
2025-07-28,SH,861.0,SH508,2527.0,SH509,2584.0,20508.0,20509.0,1666.0,1723.0,1.934959349593496,2.00116144018583
2025-07-29,SH,861.0,SH508,2542.0,SH509,2610.0,20508.0,20509.0,1681.0,1749.0,1.9523809523809528,2.0313588850174216
2025-07-30,SH,861.0,SH508,2513.0,SH509,2622.0,20508.0,20509.0,1652.0,1761.0,1.9186991869918697,2.0452961672473866
2025-07-31,SH,861.0,SH508,2476.0,SH509,2572.0,20508.0,20509.0,1615.0,1711.0,1.875725900116144,1.9872241579558647
2025-08-01,SH,861.0,SH508,2476.0,SH509,2541.0,20508.0,20509.0,1615.0,1680.0,1.875725900116144,1.951219512195122
2025-08-04,SH,859.0,SH508,2459.0,SH509,2517.0,20508.0,20509.0,1600.0,1658.0,1.8626309662398133,1.9301513387660072
2025-08-05,SH,859.0,SH508,2354.0,SH509,2490.0,20508.0,20509.0,1495.0,1631.0,1.7403958090803258,1.89871944121071
2025-08-06,SH,859.0,SH508,2349.0,SH509,2485.0,20508.0,20509.0,1490.0,1626.0,1.7345750873108263,1.8928987194412108
2025-08-07,SH,856.0,SH508,2310.0,SH509,2444.0,20508.0,20509.0,1454.0,1588.0,1.6985981308411215,1.855140186915888
