date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,SI,8620.0,SI2506,7245.0,SI2509,7280.0,2506.0,2509.0,-1375.0,-1340.0,-0.1595127610208816,-0.1554524361948955
2025-06-17,SI,8620.0,SI2507,7430.0,SI2509,7345.0,2507.0,2509.0,-1190.0,-1275.0,-0.1380510440835266,-0.1479118329466356
2025-06-18,SI,8620.0,SI2507,7510.0,SI2509,7435.0,2507.0,2509.0,-1110.0,-1185.0,-0.1287703016241299,-0.1374709976798144
2025-06-19,SI,8620.0,SI2507,7505.0,SI2509,7440.0,2507.0,2509.0,-1115.0,-1180.0,-0.1293503480278421,-0.136890951276102
2025-06-20,SI,8620.0,SI2507,7475.0,SI2509,7435.0,2507.0,2509.0,-1145.0,-1185.0,-0.132830626450116,-0.1374709976798144
2025-06-23,SI,8620.0,SI2507,7440.0,SI2509,7405.0,2507.0,2509.0,-1180.0,-1215.0,-0.136890951276102,-0.1409512761020881
2025-06-24,SI,8620.0,SI2507,7470.0,SI2509,7440.0,2507.0,2509.0,-1150.0,-1180.0,-0.1334106728538283,-0.136890951276102
2025-06-25,SI,8620.0,SI2507,7540.0,SI2509,7520.0,2507.0,2509.0,-1080.0,-1100.0,-0.1252900232018561,-0.1276102088167053
2025-06-26,SI,8620.0,SI2507,7730.0,SI2509,7720.0,2507.0,2509.0,-890.0,-900.0,-0.1032482598607889,-0.1044083526682134
2025-06-27,SI,8620.0,SI2507,7830.0,SI2509,7830.0,2507.0,2509.0,-790.0,-790.0,-0.0916473317865429,-0.0916473317865429
2025-06-30,SI,8730.0,SI2507,8150.0,SI2509,8115.0,2507.0,2509.0,-580.0,-615.0,-0.0664375715922107,-0.0704467353951889
2025-07-01,SI,8730.0,SI2507,7950.0,SI2509,7835.0,2507.0,2509.0,-780.0,-895.0,-0.0893470790378007,-0.1025200458190148
2025-07-02,SI,8850.0,SI2507,8130.0,SI2509,8085.0,2507.0,2509.0,-720.0,-765.0,-0.0813559322033898,-0.0864406779661016
2025-07-03,SI,8890.0,SI2507,8055.0,SI2509,8035.0,2507.0,2509.0,-835.0,-855.0,-0.0939257592800899,-0.0961754780652418
2025-07-04,SI,8890.0,SI2507,8095.0,SI2509,7990.0,2507.0,2509.0,-795.0,-900.0,-0.0894263217097862,-0.1012373453318334
2025-07-07,SI,8910.0,SI2507,8010.0,SI2509,7990.0,2507.0,2509.0,-900.0,-920.0,-0.101010101010101,-0.1032547699214365
2025-07-08,SI,8910.0,SI2507,8035.0,SI2509,8195.0,2507.0,2509.0,-875.0,-715.0,-0.0982042648709315,-0.0802469135802469
2025-07-09,SI,8910.0,SI2507,8160.0,SI2509,8165.0,2507.0,2509.0,-750.0,-745.0,-0.0841750841750841,-0.0836139169472502
