date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,SS,12912.5,ss2506,12515.0,ss2508,12540.0,2506.0,2508.0,-397.5,-372.5,-0.0307841239109389,-0.0288480154888673
2025-06-17,SS,12912.5,ss2507,12490.0,ss2508,12510.0,2507.0,2508.0,-422.5,-402.5,-0.0327202323330106,-0.0311713455953533
2025-06-18,SS,12875.0,ss2507,12465.0,ss2508,12490.0,2507.0,2508.0,-410.0,-385.0,-0.0318446601941747,-0.0299029126213592
2025-06-19,SS,12875.0,ss2507,12515.0,ss2508,12560.0,2507.0,2508.0,-360.0,-315.0,-0.0279611650485437,-0.0244660194174757
2025-06-20,SS,12875.0,ss2507,12505.0,ss2508,12535.0,2507.0,2508.0,-370.0,-340.0,-0.0287378640776698,-0.0264077669902912
2025-06-23,SS,12762.5,ss2507,12440.0,ss2508,12475.0,2507.0,2508.0,-322.5,-287.5,-0.0252693437806073,-0.0225269343780607
2025-06-24,SS,12762.5,ss2507,12335.0,ss2508,12385.0,2507.0,2508.0,-427.5,-377.5,-0.0334965719882468,-0.0295788442703232
2025-06-25,SS,12725.0,ss2507,12435.0,ss2508,12490.0,2507.0,2508.0,-290.0,-235.0,-0.0227897838899803,-0.018467583497053
2025-06-26,SS,12725.0,ss2507,12570.0,ss2508,12625.0,2507.0,2508.0,-155.0,-100.0,-0.012180746561886,-0.0078585461689587
2025-06-27,SS,12762.5,ss2507,12530.0,ss2508,12590.0,2507.0,2508.0,-232.5,-172.5,-0.0182174338883447,-0.0135161606268364
2025-06-30,SS,12775.0,ss2507,12580.0,ss2508,12670.0,2507.0,2508.0,-195.0,-105.0,-0.0152641878669276,-0.0082191780821917
2025-07-01,SS,12775.0,ss2507,12440.0,ss2508,12535.0,2507.0,2508.0,-335.0,-240.0,-0.0262230919765166,-0.0187866927592954
2025-07-02,SS,12825.0,ss2507,12540.0,ss2508,12640.0,2507.0,2508.0,-285.0,-185.0,-0.0222222222222222,-0.0144249512670565
2025-07-03,SS,12825.0,ss2507,12575.0,ss2508,12680.0,2507.0,2508.0,-250.0,-145.0,-0.0194931773879142,-0.0113060428849902
2025-07-04,SS,12887.5,ss2507,12640.0,ss2508,12760.0,2507.0,2508.0,-247.5,-127.5,-0.0192046556741027,-0.0098933074684771
2025-07-07,SS,12887.5,ss2507,12525.0,ss2508,12660.0,2507.0,2508.0,-362.5,-227.5,-0.0281280310378273,-0.0176527643064985
2025-07-08,SS,12887.5,ss2507,12560.0,ss2508,12725.0,2507.0,2508.0,-327.5,-162.5,-0.0254122211445199,-0.0126091173617847
2025-07-09,SS,12887.5,ss2507,12595.0,ss2508,12730.0,2507.0,2508.0,-292.5,-157.5,-0.0226964112512124,-0.0122211445198836
2025-07-10,SS,12887.5,ss2507,12720.0,ss2508,12815.0,2507.0,2508.0,-167.5,-72.5,-0.0129970902036857,-0.0056256062075654
2025-07-11,SS,12887.5,ss2507,12720.0,ss2509,12720.0,2507.0,2509.0,-167.5,-167.5,-0.0129970902036857,-0.0129970902036857
2025-07-14,SS,12900.0,ss2507,12720.0,ss2509,12700.0,2507.0,2509.0,-180.0,-200.0,-0.0139534883720929,-0.0155038759689922
2025-07-15,SS,12900.0,ss2507,12700.0,ss2509,12685.0,2507.0,2509.0,-200.0,-215.0,-0.0155038759689922,-0.0166666666666667
2025-07-16,SS,12950.0,ss2508,12715.0,ss2509,12690.0,2508.0,2509.0,-235.0,-260.0,-0.0181467181467182,-0.0200772200772201
2025-07-17,SS,12950.0,ss2508,12695.0,ss2509,12675.0,2508.0,2509.0,-255.0,-275.0,-0.0196911196911196,-0.0212355212355211
2025-07-18,SS,12937.5,ss2508,12745.0,ss2509,12735.0,2508.0,2509.0,-192.5,-202.5,-0.01487922705314,-0.0156521739130435
2025-07-21,SS,12955.0,ss2508,12865.0,ss2509,12870.0,2508.0,2509.0,-90.0,-85.0,-0.0069471246622925,-0.0065611732921652
2025-07-22,SS,12955.0,ss2508,12895.0,ss2509,12890.0,2508.0,2509.0,-60.0,-65.0,-0.0046314164415283,-0.0050173678116557
2025-07-23,SS,13030.0,ss2508,12950.0,ss2509,12945.0,2508.0,2509.0,-80.0,-85.0,-0.0061396776669224,-0.0065234075211051
2025-07-24,SS,13030.0,ss2508,12925.0,ss2509,12910.0,2508.0,2509.0,-105.0,-120.0,-0.0080583269378358,-0.0092095165003837
2025-07-25,SS,13030.0,ss2508,12940.0,ss2509,12935.0,2508.0,2509.0,-90.0,-95.0,-0.0069071373752878,-0.0072908672294704
2025-07-28,SS,13017.5,ss2508,12925.0,ss2509,12935.0,2508.0,2509.0,-92.5,-82.5,-0.0071058190896869,-0.0063376224313423
2025-07-29,SS,13017.5,ss2508,12885.0,ss2509,12880.0,2508.0,2509.0,-132.5,-137.5,-0.010178605723065,-0.0105627040522373
2025-07-30,SS,13080.0,ss2508,12955.0,ss2509,12940.0,2508.0,2509.0,-125.0,-140.0,-0.0095565749235474,-0.010703363914373
2025-07-31,SS,13080.0,ss2508,12865.0,ss2509,12835.0,2508.0,2509.0,-215.0,-245.0,-0.0164373088685014,-0.0187308868501528
2025-08-01,SS,13080.0,ss2508,12915.0,ss2509,12865.0,2508.0,2509.0,-165.0,-215.0,-0.0126146788990825,-0.0164373088685014
2025-08-04,SS,13100.0,ss2508,12895.0,ss2509,12845.0,2508.0,2509.0,-205.0,-255.0,-0.0156488549618321,-0.0194656488549618
2025-08-05,SS,13100.0,ss2508,12960.0,ss2509,12950.0,2508.0,2509.0,-140.0,-150.0,-0.0106870229007633,-0.0114503816793892
2025-08-06,SS,13100.0,ss2508,12955.0,ss2509,12930.0,2508.0,2509.0,-145.0,-170.0,-0.0110687022900762,-0.0129770992366412
2025-08-07,SS,13100.0,ss2508,12965.0,ss2510,13010.0,2508.0,2510.0,-135.0,-90.0,-0.0103053435114504,-0.0068702290076335
2025-08-08,SS,13212.5,ss2508,12985.0,ss2510,13045.0,2508.0,2510.0,-227.5,-167.5,-0.0172185430463576,-0.0126773888363291
2025-08-11,SS,13287.5,ss2508,13030.0,ss2510,13150.0,2508.0,2510.0,-257.5,-137.5,-0.0193791157102539,-0.0103480714957666
2025-08-12,SS,13287.5,ss2508,13150.0,ss2510,13215.0,2508.0,2510.0,-137.5,-72.5,-0.0103480714957666,-0.005456255879586
2025-08-13,SS,13312.5,ss2508,13145.0,ss2510,13175.0,2508.0,2510.0,-167.5,-137.5,-0.0125821596244131,-0.0103286384976525
2025-08-14,SS,13312.5,ss2508,13065.0,ss2510,13080.0,2508.0,2510.0,-247.5,-232.5,-0.0185915492957746,-0.0174647887323943
2025-08-15,SS,13237.5,ss2508,12955.0,ss2510,13015.0,2508.0,2510.0,-282.5,-222.5,-0.0213408876298394,-0.0168083097261567
2025-08-18,SS,13237.5,ss2509,12950.0,ss2510,13025.0,ss2509,ss2510,-287.5,-212.5,-0.0217186024551463,-0.0160528800755429
2025-08-19,SS,13237.5,ss2509,12865.0,ss2510,12925.0,ss2509,ss2510,-372.5,-312.5,-0.0281397544853635,-0.0236071765816808
2025-08-20,SS,13237.5,ss2509,12770.0,ss2510,12830.0,ss2509,ss2510,-467.5,-407.5,-0.0353163361661945,-0.0307837582625117
2025-08-21,SS,13237.5,ss2509,12750.0,ss2510,12815.0,ss2509,ss2510,-487.5,-422.5,-0.036827195467422,-0.0319169027384325
2025-08-22,SS,13137.5,ss2509,12685.0,ss2510,12755.0,2509.0,2510.0,-452.5,-382.5,-0.0344433872502378,-0.0291151284490961
2025-08-25,SS,13137.5,ss2509,12750.0,ss2510,12830.0,ss2509,ss2510,-387.5,-307.5,-0.0294957183634633,-0.0234062797335871
2025-08-26,SS,13137.5,ss2509,12785.0,ss2510,12865.0,ss2509,ss2510,-352.5,-272.5,-0.0268315889628925,-0.0207421503330161
2025-08-27,SS,13075.0,ss2509,12785.0,ss2510,12875.0,ss2509,ss2510,-290.0,-200.0,-0.0221797323135755,-0.0152963671128106
2025-08-28,SS,13075.0,ss2509,12700.0,ss2510,12795.0,ss2509,ss2510,-375.0,-280.0,-0.02868068833652,-0.021414913957935
2025-08-29,SS,13075.0,ss2509,12725.0,ss2510,12805.0,ss2509,ss2510,-350.0,-270.0,-0.0267686424474187,-0.0206500956022944
2025-09-01,SS,13080.0,ss2509,12805.0,ss2510,12875.0,ss2509,ss2510,-275.0,-205.0,-0.0210244648318043,-0.0156727828746177
2025-09-02,SS,13080.0,ss2509,12925.0,ss2510,12985.0,ss2509,ss2510,-155.0,-95.0,-0.0118501529051987,-0.007262996941896
2025-09-03,SS,13130.0,ss2509,12835.0,ss2510,12930.0,ss2509,ss2510,-295.0,-200.0,-0.0224676313785224,-0.0152322924600152
2025-09-04,SS,13130.0,ss2509,12835.0,ss2511,12960.0,ss2509,ss2511,-295.0,-170.0,-0.0224676313785224,-0.0129474485910129
2025-09-05,SS,13080.0,ss2509,12730.0,ss2511,12845.0,ss2509,ss2511,-350.0,-235.0,-0.0267584097859326,-0.0179663608562691
2025-09-08,SS,13080.0,ss2509,12730.0,ss2511,12895.0,ss2509,ss2511,-350.0,-185.0,-0.0267584097859326,-0.0141437308868501
2025-09-09,SS,13080.0,ss2509,12800.0,ss2511,12930.0,ss2509,ss2511,-280.0,-150.0,-0.0214067278287461,-0.0114678899082568
2025-09-10,SS,13055.0,ss2509,12800.0,ss2511,12915.0,ss2509,ss2511,-255.0,-140.0,-0.019532746074301,-0.0107238605898123
2025-09-11,SS,13055.0,ss2509,12800.0,ss2511,12895.0,ss2509,ss2511,-255.0,-160.0,-0.019532746074301,-0.0122558406740712
2025-09-12,SS,13067.5,ss2509,12800.0,ss2511,12915.0,ss2509,ss2511,-267.5,-152.5,-0.0204706332504304,-0.0116701740960397
2025-09-15,SS,13092.5,ss2509,12800.0,ss2511,13005.0,ss2509,ss2511,-292.5,-87.5,-0.02234103494367,-0.0066832155814398
2025-09-16,SS,13092.5,ss2510,12955.0,ss2511,13055.0,ss2510,ss2511,-137.5,-37.5,-0.010502195913691,-0.0028642352491884
2025-09-17,SS,13092.5,ss2510,12825.0,ss2511,12935.0,ss2510,ss2511,-267.5,-157.5,-0.0204315447775443,-0.0120297880465916
2025-09-18,SS,13092.5,ss2510,12790.0,ss2511,12910.0,ss2510,ss2511,-302.5,-182.5,-0.0231048310101202,-0.0139392782127172
2025-09-19,SS,13112.5,ss2510,12755.0,ss2511,12870.0,ss2510,ss2511,-357.5,-242.5,-0.0272640610104861,-0.0184938036224976
2025-11-17,SS,12550.0,ss2511,12270.0,ss2601,12380.0,2511,2601,-280.0,-170.0,-0.0223107569721116,-0.0135458167330677
2025-11-18,SS,12550.0,ss2512,12280.0,ss2601,12360.0,2512,2601,-270.0,-190.0,-0.0215139442231075,-0.0151394422310756
2025-11-19,SS,12540.0,ss2512,12255.0,ss2601,12340.0,2512,2601,-285.0,-200.0,-0.0227272727272727,-0.0159489633173843
2025-11-20,SS,12540.0,ss2512,12220.0,ss2601,12310.0,2512,2601,-320.0,-230.0,-0.0255183413078149,-0.0183413078149919
2025-11-21,SS,12540.0,ss2512,12255.0,ss2601,12360.0,2512,2601,-285.0,-180.0,-0.0227272727272727,-0.0143540669856458
2025-11-24,SS,12473.33,ss2512,12220.0,ss2601,12325.0,2512,2601,-253.33,-148.32999999999993,-0.0203097328460002,-0.0118917722853479
2025-11-25,SS,12473.33,ss2512,12245.0,ss2601,12375.0,2512,2601,-228.33,-98.32999999999991,-0.0183054565220354,-0.0078832196374183
2025-11-26,SS,12540.0,ss2512,12280.0,ss2601,12445.0,2512,2601,-260.0,-95.0,-0.0207336523125997,-0.0075757575757575
2025-11-27,SS,12540.0,ss2512,12230.0,ss2601,12405.0,2512,2601,-310.0,-135.0,-0.0247208931419458,-0.0107655502392344
2025-11-28,SS,12573.33,ss2512,12175.0,ss2601,12355.0,2512,2601,-398.3299999999999,-218.33,-0.0316805492260204,-0.0173645327053374
2025-12-01,SS,12573.33,ss2512,12240.0,ss2601,12395.0,2512,2601,-333.3299999999999,-178.32999999999993,-0.0265108765935515,-0.0141831957007411
2025-12-02,SS,12573.33,ss2512,12270.0,ss2601,12440.0,2512,2601,-303.3299999999999,-133.32999999999993,-0.0241248738401044,-0.0106041915705703
2025-12-03,SS,12573.33,ss2512,12290.0,ss2601,12465.0,2512,2601,-283.3299999999999,-108.32999999999991,-0.0225342053378062,-0.0086158559426977
2025-12-04,SS,12573.33,ss2512,12260.0,ss2601,12435.0,2512,2601,-313.3299999999999,-138.32999999999993,-0.0249202080912535,-0.0110018586961448
2025-12-05,SS,12606.67,ss2512,12295.0,ss2601,12490.0,2512,2601,-311.6700000000001,-116.67000000000009,-0.0247226269903154,-0.0092546247343667
2025-12-08,SS,12616.67,ss2512,12270.0,ss2602,12630.0,2512,2602,-346.6700000000001,13.329999999999927,-0.0274771393719579,0.0010565386904786
2025-12-09,SS,12616.67,ss2512,12265.0,ss2602,12630.0,2512,2602,-351.6700000000001,13.329999999999927,-0.0278734404561583,0.0010565386904786
2025-12-10,SS,12656.67,ss2512,12290.0,ss2602,12660.0,2512,2602,-366.6700000000001,3.3299999999999272,-0.0289704953988687,0.0002631023800099
2025-12-11,SS,12656.67,ss2512,12250.0,ss2602,12655.0,2512,2602,-406.6700000000001,-1.6700000000000728,-0.0321308843479367,-0.0001319462386235
2025-12-12,SS,12650.0,ss2512,12250.0,ss2602,12565.0,2512,2602,-400.0,-85.0,-0.0316205533596838,-0.0067193675889327
2025-12-15,SS,12650.0,ss2512,12240.0,ss2602,12550.0,2512,2602,-410.0,-100.0,-0.0324110671936759,-0.0079051383399209
2025-12-16,SS,12650.0,ss2601,12215.0,ss2602,12355.0,2601,2602,-435.0,-295.0,-0.0343873517786561,-0.0233201581027667
2025-12-17,SS,12583.33,ss2601,12215.0,ss2602,12355.0,2601,2602,-368.3299999999999,-228.33,-0.0292712660321234,-0.0181454352703139
2025-12-18,SS,12583.33,ss2601,12280.0,ss2602,12400.0,2601,2602,-303.3299999999999,-183.33,-0.0241057017498547,-0.0145692753825894
2025-12-19,SS,12750.0,ss2601,12465.0,ss2602,12620.0,2601,2602,-285.0,-130.0,-0.0223529411764705,-0.0101960784313726
2025-12-22,SS,12716.67,ss2601,12610.0,ss2602,12780.0,2601,2602,-106.67000000000009,63.32999999999993,-0.0083882022573519,0.0049800773315655
2025-12-23,SS,12716.67,ss2601,12695.0,ss2602,12895.0,2601,2602,-21.67000000000008,178.32999999999993,-0.0017040624628932,0.0140233252887744
2025-12-24,SS,12783.33,ss2601,12805.0,ss2602,13000.0,2601,2602,21.67000000000008,216.67000000000007,0.0016951764524579,0.0169494177182314
2025-12-25,SS,12783.33,ss2601,12765.0,ss2602,12955.0,2601,2602,-18.329999999999927,171.67000000000007,-0.0014338986789826,0.0134292081953606
2025-12-26,SS,12856.67,ss2601,12745.0,ss2602,12955.0,2601,2602,-111.67000000000009,98.32999999999991,-0.0086857638875385,0.0076481701715918
2025-12-29,SS,12840.0,ss2601,12740.0,ss2602,12925.0,2601,2602,-100.0,85.0,-0.0077881619937694,0.006619937694704
2025-12-30,SS,12840.0,ss2601,12830.0,ss2602,13050.0,2601,2602,-10.0,210.0,-0.0007788161993769,0.0163551401869159
2025-12-31,SS,12873.33,ss2601,12830.0,ss2602,13105.0,2601,2602,-43.32999999999993,231.67000000000007,-0.0033658734764042686,0.0179961206618644
