date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,TA,5008.25,TA506,5000.0,TA509,4776.0,20506.0,20509.0,-8.25,-232.25,-0.0016472819847251,-0.0463734837518095
2025-06-17,TA,5045.0,TA507,4956.0,TA509,4750.0,20507.0,20509.0,-89.0,-295.0,-0.0176412289395441,-0.0584737363726461
2025-06-18,TA,5165.5,TA507,5138.0,TA509,4896.0,20507.0,20509.0,-27.5,-269.5,-0.0053237827896621,-0.0521730713386894
2025-06-19,TA,5246.5,TA507,5160.0,TA509,4918.0,20507.0,20509.0,-86.5,-328.5,-0.016487181930811,-0.0626131706852187
2025-06-20,TA,5271.5,TA507,5238.0,TA509,5008.0,20507.0,20509.0,-33.5,-263.5,-0.0063549274400075,-0.0499857725505074
2025-06-23,TA,5282.0,TA507,5224.0,TA509,4984.0,20507.0,20509.0,-58.0,-298.0,-0.0109806891329041,-0.056418023475956
2025-06-24,TA,5114.0,TA507,5060.0,TA509,4834.0,20507.0,20509.0,-54.0,-280.0,-0.0105592491200625,-0.0547516621040281
2025-06-25,TA,5114.0,TA507,5014.0,TA509,4780.0,20507.0,20509.0,-100.0,-334.0,-0.0195541650371529,-0.0653109112240907
2025-06-26,TA,5083.25,TA507,4974.0,TA509,4762.0,20507.0,20509.0,-109.25,-321.25,-0.0214921556091083,-0.0631977573402843
2025-06-27,TA,5084.75,TA507,4992.0,TA509,4768.0,20507.0,20509.0,-92.75,-316.75,-0.0182408181326515,-0.0622941147549043
2025-06-30,TA,5104.75,TA507,5016.0,TA509,4824.0,20507.0,20509.0,-88.75,-280.75,-0.0173857681571085,-0.0549977961702335
2025-07-01,TA,5081.66,TA507,4968.0,TA509,4804.0,20507.0,20509.0,-113.65999999999984,-277.65999999999985,-0.0223667069422196,-0.0546396256341431
2025-07-02,TA,5031.25,TA507,4918.0,TA509,4778.0,20507.0,20509.0,-113.25,-253.25,-0.0225093167701863,-0.050335403726708
2025-07-03,TA,5031.25,TA507,4878.0,TA509,4762.0,20507.0,20509.0,-153.25,-269.25,-0.0304596273291924,-0.0535155279503105
2025-07-04,TA,5031.25,TA507,4828.0,TA509,4738.0,20507.0,20509.0,-203.25,-293.25,-0.0403975155279503,-0.0582857142857142
2025-07-07,TA,4977.5,TA507,4778.0,TA509,4704.0,20507.0,20509.0,-199.5,-273.5,-0.0400803616273229,-0.0549472626820692
2025-07-08,TA,4930.84,TA507,4786.0,TA509,4710.0,20507.0,20509.0,-144.84000000000017,-220.8400000000001,-0.0293743053921847,-0.0447875007098181
2025-07-09,TA,4852.5,TA507,4770.0,TA509,4714.0,20507.0,20509.0,-82.5,-138.5,-0.017001545595054,-0.0285419886656362
2025-07-10,TA,4852.5,TA507,4732.0,TA509,4728.0,20507.0,20509.0,-120.5,-124.5,-0.0248325605358062,-0.0256568778979907
2025-07-11,TA,4852.5,TA507,4720.0,TA509,4710.0,20507.0,20509.0,-132.5,-142.5,-0.0273055126223595,-0.0293663060278207
2025-07-14,TA,4789.84,TA507,4726.0,TA509,4726.0,20507.0,20509.0,-63.84000000000015,-63.84000000000015,-0.013328211380756,-0.013328211380756
