date,value,change,增减
2025-05-06,69058,0.0,
2025-05-07,68858,-200.0,
2025-05-08,66106,-2752.0,
2025-05-09,65013,-1093.0,
2025-05-12,62114,-2899.0,
2025-05-13,61340,-774.0,
2025-05-14,62446,1106.0,
2025-05-15,63843,1397.0,
2025-05-16,62820,-1023.0,
2025-05-19,62497,-323.0,
2025-05-20,61146,-1351.0,
2025-05-21,59521,-1625.0,
2025-05-22,58422,-1099.0,
2025-05-23,56070,-2352.0,
2025-05-26,55342,-728.0,
2025-05-27,54567,-775.0,
2025-05-28,53542,-1025.0,
2025-05-29,51819,-1723.0,
2025-05-30,51118,-701.0,
2025-06-03,50894,-224.0,
2025-06-04,48989,-1905.0,
2025-06-05,48141,-848.0,
2025-06-06,47792,-349.0,
2025-06-09,47718,-74.0,
2025-06-10,47543,-175.0,
2025-06-11,47468,-75.0,
2025-06-12,46344,-1124.0,
2025-06-13,46193,-151.0,
2025-06-16,57178,10985.0,
2025-06-17,59457,2279.0,
2025-06-18,56683,-2774.0,
2025-06-19,53829,-2854.0,
2025-06-20,51129,-2700.0,
2025-06-23,48422,-2707.0,
2025-06-24,46041,-2381.0,
2025-06-25,44421,-1620.0,
2025-06-26,42869,-1552.0,
2025-06-27,34390,-8479.0,
2025-06-30,28730,-5660.0,
2025-07-01,28680,-50.0,
2025-07-02,28456,-224.0,
2025-07-03,28257,-199.0,
2025-07-04,38485,10228.0,
2025-07-07,45478,6993.0,
2025-07-08,47218,1740.0,
2025-07-09,47818,600.0,
2025-07-10,50045,2227.0,
2025-07-11,51980,1935.0,
2025-07-14,53842,1862.0,
2025-07-15,69828,15986.0,
2025-07-16,68928,-900.0,
2025-07-17,68049,-879.0,
2025-07-18,66548,-1501.0,
2025-07-21,63744,-2804.0,
2025-07-22,60884,-2860.0,
2025-07-23,57723,-3161.0,
2025-07-24,55673,-2050.0,
2025-07-25,54675,-998.0,
2025-07-28,53598,-1077.0,
2025-07-29,53074,-524.0,
2025-07-30,51217,-1857.0,
2025-07-31,49169,-2048.0,
2025-08-01,48658,-511.0,
2025-08-04,46649,-2009.0,
2025-08-05,44287,-2362.0,
2025-08-06,42662,-1625.0,
2025-08-07,42031,-631.0,
2025-08-08,43599,1568.0,
2025-08-11,48332,4733.0,
2025-08-12,48710,378.0,
2025-08-13,55116,6406.0,
2025-08-14,57946,2830.0,
2025-08-15,65191,7245.0,
2025-08-18,65492,301.0,
2025-08-19,65467,-25.0,
2025-08-20,62938,-2529.0,
2025-08-21,59890,-3048.0,
2025-08-22,57144,-2746.0,
2025-08-25,56670,-474.0,
2025-08-26,56274,-396.0,
2025-08-27,57351,1077.0,
2025-08-28,57275,-76.0,
2025-08-29,58629,1354.0,
2025-09-01,58529,-100.0,
2025-09-02,58654,125.0,
2025-09-03,59557,903.0,
2025-09-04,59583,26.0,
2025-09-05,59961,378.0,
2025-09-08,64533,4572.0,
2025-09-09,64459,-74.0,
2025-09-10,64937,478.0,
2025-09-11,65734,797.0,
2025-09-12,72469,6735.0,
2025-09-15,75085,2616.0,
2025-09-16,75734,649.0,
2025-09-17,74465,-1269.0,
2025-09-18,74465,0.0,
2025-09-19,71959,-2506.0,
2025-09-22,70761,-1198.0,
2025-09-23,68960,-1801.0,
2025-09-24,67736,-1224.0,
2025-09-25,64408,-3328.0,
2025-09-26,63230,-1178.0,
2025-09-29,59747,-3483.0,
2025-09-30,59121,-626.0,
2025-10-09,58894,-227.0,
2025-10-10,59119,225.0,
2025-10-13,63151,4032.0,
2025-10-14,63176,25.0,
2025-10-15,71394,8218.0,
2025-10-16,71542,148.0,
2025-10-17,70670,-872.0,
2025-10-20,69947,-723.0,
2025-10-21,69397,-550.0,
2025-10-22,67270,-2127.0,
2025-10-23,66894,-376.0,
2025-10-24,66695,-199.0,
2025-10-27,66293,-402.0,
2025-10-28,66243,-50.0,
2025-10-29,66044,-199.0,
2025-10-30,66418,374.0,
2025-10-31,64393,-2025.0,
2025-11-03,64269,-124.0,
2025-11-04,64194,-75.0,
2025-11-05,64194,0.0,
2025-11-06,63969,-225.0,
2025-11-07,63770,-199.0,-199.0
2025-11-10,64142,372.0,372.0
2025-11-11,64142,0.0,0.0
2025-11-12,63818,-324.0,-324.0
2025-11-13,64742,924.0,924.0
2025-11-14,64742,0.0,0.0
2025-11-17,69484,4742.0,4742.0
2025-11-18,69484,0.0,0.0
2025-11-19,69484,0.0,0.0
2025-11-20,69408,-76.0,-76.0
2025-11-21,69283,-125.0,-125.0
2025-11-24,68484,-799.0,-799.0
2025-11-25,67185,-1299.0,-1299.0
2025-11-26,66985,-200.0,-200.0
2025-11-27,66909,-76.0,-76.0
2025-11-28,66935,26.0,26.0
2025-12-01,66833,-102.0,-102.0
2025-12-02,66833,0.0,0.0
2025-12-03,66833,0.0,0.0
2025-12-04,66833,0.0,0.0
2025-12-05,66833,0.0,0.0
2025-12-08,67736,903.0,903.0
2025-12-09,67863,127.0,127.0
2025-12-10,68587,724.0,724.0
2025-12-11,69410,823.0,823.0
2025-12-12,69160,-250.0,-250.0
2025-12-15,77813,8653.0,8653.0
2025-12-16,77188,-625.0,-625.0
2025-12-17,76563,-625.0,-625.0
2025-12-18,76212,-351.0,-351.0
2025-12-19,76188,-24.0,-24.0
2025-12-22,76088,-100.0,-100.0
2025-12-23,76089,1.0,1.0
2025-12-24,76436,347.0,347.0
2025-12-25,76758,322.0,322.0
2025-12-26,77059,301.0,301.0
2025-12-29,78455,1396.0,1396.0
2025-12-30,78505,50.0,50.0
2025-12-31,81669,3164.0,3164.0
