date,value,change,增减
2025-05-19,900,0.0,
2025-05-20,900,0.0,
2025-05-21,900,0.0,
2025-05-22,900,0.0,
2025-05-23,0,-900.0,
2025-06-04,5400,5400.0,
2025-06-05,5400,0.0,
2025-06-06,7600,2200.0,
2025-06-09,7400,-200.0,
2025-06-10,7300,-100.0,
2025-06-11,7300,0.0,
2025-06-12,5900,-1400.0,
2025-06-13,5900,0.0,
2025-06-16,5200,-700.0,
2025-06-17,4100,-1100.0,
2025-06-18,3700,-400.0,
2025-06-19,3700,0.0,
2025-06-20,2600,-1100.0,
2025-06-23,2400,-200.0,
2025-06-24,0,-2400.0,
2025-06-26,1500,1500.0,
2025-06-27,4500,3000.0,
2025-06-30,4500,0.0,
2025-07-01,4500,0.0,
2025-07-02,4500,0.0,
2025-07-03,4500,0.0,
2025-07-04,3800,-700.0,
2025-07-07,3800,0.0,
2025-07-08,4800,1000.0,
2025-07-09,4800,0.0,
2025-07-10,4800,0.0,
2025-07-11,4000,-800.0,
2025-07-14,2700,-1300.0,
2025-07-15,1200,-1500.0,
2025-07-16,1100,-100.0,
2025-07-17,900,-200.0,
2025-07-18,700,-200.0,
2025-07-21,300,-400.0,
2025-07-22,0,-300.0,
2025-08-01,2600,2600.0,
2025-08-04,2600,0.0,
2025-08-05,2600,0.0,
2025-08-06,2600,0.0,
2025-08-07,2600,0.0,
2025-08-08,3300,700.0,
2025-08-11,3000,-300.0,
2025-08-12,3000,0.0,
2025-08-13,2900,-100.0,
2025-08-14,2900,0.0,
2025-08-15,2900,0.0,
2025-08-18,2900,0.0,
2025-08-19,2600,-300.0,
2025-08-20,2300,-300.0,
2025-08-21,1800,-500.0,
2025-08-22,0,-1800.0,
2025-09-01,200,200.0,
2025-09-02,200,0.0,
2025-09-03,300,100.0,
2025-09-04,300,0.0,
2025-09-05,300,0.0,
2025-09-08,300,0.0,
2025-09-09,300,0.0,
2025-09-10,300,0.0,
2025-09-11,300,0.0,
2025-09-12,300,0.0,
2025-09-15,100,-200.0,
2025-09-16,100,0.0,
2025-09-17,100,0.0,
2025-09-18,100,0.0,
2025-09-19,0,-100.0,
2025-10-09,500,500.0,
2025-10-10,600,100.0,
2025-10-13,600,0.0,
2025-10-14,600,0.0,
2025-10-15,600,0.0,
2025-10-16,600,0.0,
2025-10-17,500,-100.0,
2025-10-20,500,0.0,
2025-10-21,400,-100.0,
2025-10-22,100,-300.0,
2025-10-23,100,0.0,
2025-10-24,100,0.0,
2025-10-27,100,0.0,
2025-10-28,0,-100.0,
2025-11-04,400,400.0,
2025-11-05,400,0.0,
2025-11-06,1000,600.0,
2025-11-07,1000,0.0,0.0
2025-11-10,600,-400.0,-400.0
2025-11-11,600,0.0,0.0
2025-11-12,600,0.0,0.0
2025-11-13,600,0.0,0.0
2025-11-14,600,0.0,0.0
2025-11-17,600,0.0,0.0
2025-11-18,600,0.0,0.0
2025-11-19,600,0.0,0.0
2025-11-20,600,0.0,0.0
2025-11-21,600,0.0,0.0
2025-11-24,0,-600.0,-600.0
2025-12-01,4900,4900.0,4900.0
2025-12-02,7600,2700.0,2700.0
2025-12-03,7600,0.0,0.0
2025-12-04,7200,-400.0,-400.0
2025-12-05,7200,0.0,0.0
2025-12-08,7100,-100.0,-100.0
2025-12-09,7100,0.0,0.0
2025-12-10,7100,0.0,0.0
2025-12-11,7100,0.0,0.0
2025-12-12,7100,0.0,0.0
2025-12-15,7100,0.0,0.0
2025-12-16,3400,-3700.0,-3700.0
2025-12-17,3200,-200.0,-200.0
2025-12-18,3200,0.0,0.0
2025-12-19,2900,-300.0,-300.0
2025-12-22,0,-2900.0,-2900.0
