date,value,change,增减
2025-05-06,174610,0.0,
2025-05-07,183401,8791.0,
2025-05-08,197331,13930.0,
2025-05-09,197605,274.0,
2025-05-12,197605,0.0,
2025-05-13,200368,2763.0,
2025-05-14,201247,879.0,
2025-05-15,201802,555.0,
2025-05-16,201942,140.0,
2025-05-19,212135,10193.0,
2025-05-20,212135,0.0,
2025-05-21,212035,-100.0,
2025-05-22,211935,-100.0,
2025-05-23,211835,-100.0,
2025-05-26,211311,-524.0,
2025-05-27,211261,-50.0,
2025-05-28,217099,5838.0,
2025-05-29,216419,-680.0,
2025-05-30,216419,0.0,
2025-06-03,216019,-400.0,
2025-06-04,217020,1001.0,
2025-06-05,216820,-200.0,
2025-06-06,215120,-1700.0,
2025-06-09,214710,-410.0,
2025-06-10,216595,1885.0,
2025-06-11,216495,-100.0,
2025-06-12,216285,-210.0,
2025-06-13,216285,0.0,
2025-06-16,215285,-1000.0,
2025-06-17,215285,0.0,
2025-06-18,215285,0.0,
2025-06-19,216521,1236.0,
2025-06-20,216521,0.0,
2025-06-23,216521,0.0,
2025-06-24,220097,3576.0,
2025-06-25,219477,-620.0,
2025-06-26,217440,-2037.0,
2025-06-27,212917,-4523.0,
2025-06-30,212551,-366.0,
2025-07-01,210251,-2300.0,
2025-07-02,209951,-300.0,
2025-07-03,209951,0.0,
2025-07-04,204318,-5633.0,
2025-07-07,203732,-586.0,
2025-07-08,202202,-1530.0,
2025-07-09,202489,287.0,
2025-07-10,199829,-2660.0,
2025-07-11,196479,-3350.0,
2025-07-14,194126,-2353.0,
2025-07-15,185811,-8315.0,
2025-07-16,185421,-390.0,
2025-07-17,184971,-450.0,
2025-07-18,178283,-6688.0,
2025-07-21,177343,-940.0,
2025-07-22,175657,-1686.0,
2025-07-23,175450,-207.0,
2025-07-24,172203,-3247.0,
2025-07-25,169871,-2332.0,
2025-07-28,167879,-1992.0,
2025-07-29,160521,-7358.0,
2025-07-30,156591,-3930.0,
2025-07-31,154091,-2500.0,
2025-08-01,153041,-1050.0,
2025-08-04,152541,-500.0,
2025-08-05,151940,-601.0,
2025-08-06,146425,-5515.0,
2025-08-07,145795,-630.0,
2025-08-08,144037,-1758.0,
2025-08-11,143037,-1000.0,
2025-08-12,135997,-7040.0,
