date,value,change,增减
2025-05-06,11116,0.0,
2025-05-07,11172,56.0,
2025-05-08,11269,97.0,
2025-05-09,11282,13.0,
2025-05-12,11406,124.0,
2025-05-13,11365,-41.0,
2025-05-14,11486,121.0,
2025-05-15,11546,60.0,
2025-05-16,11548,2.0,
2025-05-19,11555,7.0,
2025-05-20,11501,-54.0,
2025-05-21,11455,-46.0,
2025-05-22,11409,-46.0,
2025-05-23,11359,-50.0,
2025-05-26,11343,-16.0,
2025-05-27,11260,-83.0,
2025-05-28,11209,-51.0,
2025-05-29,11157,-52.0,
2025-05-30,11102,-55.0,
2025-06-03,11062,-40.0,
2025-06-04,10977,-85.0,
2025-06-05,10939,-38.0,
2025-06-06,10870,-69.0,
2025-06-09,10835,-35.0,
2025-06-10,10815,-20.0,
2025-06-11,10794,-21.0,
2025-06-12,10769,-25.0,
2025-06-13,10753,-16.0,
2025-06-16,10725,-28.0,
2025-06-17,10682,-43.0,
2025-06-18,10651,-31.0,
2025-06-19,10607,-44.0,
2025-06-20,10532,-75.0,
2025-06-23,10493,-39.0,
2025-06-24,10419,-74.0,
2025-06-25,10379,-40.0,
2025-06-26,10334,-45.0,
2025-06-27,10302,-32.0,
2025-06-30,10273,-29.0,
2025-07-01,10211,-62.0,
2025-07-02,10190,-21.0,
2025-07-03,10140,-50.0,
2025-07-04,10067,-73.0,
2025-07-07,10039,-28.0,
2025-07-08,9971,-68.0,
2025-07-09,9932,-39.0,
2025-07-10,9882,-50.0,
2025-07-11,9850,-32.0,
2025-07-14,9807,-43.0,
2025-07-15,9716,-91.0,
2025-07-16,9643,-73.0,
2025-07-17,9585,-58.0,
2025-07-18,9532,-53.0,
2025-07-21,9501,-31.0,
2025-07-22,9436,-65.0,
2025-07-23,9382,-54.0,
2025-07-24,9337,-45.0,
2025-07-25,9265,-72.0,
2025-07-28,9226,-39.0,
2025-07-29,9156,-70.0,
2025-07-30,9055,-101.0,
2025-07-31,8940,-115.0,
2025-08-01,8807,-133.0,
2025-08-04,8684,-123.0,
2025-08-05,8563,-121.0,
2025-08-06,8464,-99.0,
2025-08-07,8329,-135.0,
2025-08-08,8252,-77.0,
2025-08-11,8172,-80.0,
2025-08-12,8087,-85.0,
2025-08-13,8006,-81.0,
2025-08-14,7922,-84.0,
2025-08-15,7829,-93.0,
2025-08-18,7762,-67.0,
2025-08-19,7596,-166.0,
2025-08-20,7455,-141.0,
2025-08-21,7335,-120.0,
2025-08-22,7198,-137.0,
2025-08-25,7104,-94.0,
2025-08-26,6977,-127.0,
2025-08-27,6859,-118.0,
2025-08-28,6720,-139.0,
2025-08-29,6514,-206.0,
2025-09-01,6320,-194.0,
2025-09-02,6131,-189.0,
2025-09-03,5996,-135.0,
2025-09-04,5829,-167.0,
2025-09-05,5710,-119.0,
2025-09-08,5571,-139.0,
2025-09-09,5459,-112.0,
2025-09-10,5322,-137.0,
2025-09-11,5159,-163.0,
2025-09-12,5017,-142.0,
2025-09-15,4899,-118.0,
2025-09-16,4759,-140.0,
2025-09-17,4615,-144.0,
2025-09-18,4438,-177.0,
2025-09-19,4232,-206.0,
2025-09-22,4096,-136.0,
2025-09-23,3915,-181.0,
2025-09-24,3716,-199.0,
2025-09-25,3583,-133.0,
2025-09-26,3397,-186.0,
2025-09-29,3173,-224.0,
2025-09-30,3081,-92.0,
2025-10-09,3030,-51.0,
2025-10-10,2942,-88.0,
2025-10-13,2867,-75.0,
2025-10-14,2823,-44.0,
2025-10-15,2773,-50.0,
2025-10-16,2724,-49.0,
2025-10-17,2653,-71.0,
2025-10-20,2598,-55.0,
2025-10-21,2579,-19.0,
2025-10-22,2565,-14.0,
2025-10-23,2526,-39.0,
2025-10-24,2503,-23.0,
2025-10-27,2488,-15.0,
2025-10-28,2471,-17.0,
2025-10-29,2460,-11.0,
2025-10-30,2434,-26.0,
2025-10-31,2414,-20.0,
2025-11-03,2494,80.0,
2025-11-04,2570,76.0,
2025-11-05,2752,182.0,
2025-11-06,2769,17.0,
2025-11-07,3013,244.0,244.0
2025-11-10,3294,281.0,281.0
2025-11-11,3619,325.0,325.0
2025-11-12,3884,265.0,265.0
2025-11-13,4180,296.0,296.0
2025-11-14,4401,221.0,221.0
2025-11-17,4396,-5.0,-5.0
2025-11-18,4386,-10.0,-10.0
2025-11-19,3486,-900.0,-900.0
2025-11-20,3503,17.0,17.0
2025-11-21,2244,-1259.0,-1259.0
2025-11-24,2240,-4.0,-4.0
2025-11-25,2319,79.0,79.0
2025-11-26,2317,-2.0,-2.0
2025-11-27,2382,65.0,65.0
2025-11-28,2408,26.0,26.0
2025-12-01,2403,-5.0,-5.0
2025-12-02,2499,96.0,96.0
2025-12-03,2589,90.0,90.0
2025-12-04,2639,50.0,50.0
2025-12-05,2709,70.0,70.0
2025-12-08,2753,44.0,44.0
2025-12-09,2749,-4.0,-4.0
2025-12-10,2970,221.0,221.0
2025-12-11,2967,-3.0,-3.0
2025-12-12,3109,142.0,142.0
2025-12-15,3166,57.0,57.0
2025-12-16,3199,33.0,33.0
2025-12-17,3482,283.0,283.0
2025-12-18,3619,137.0,137.0
2025-12-19,3870,251.0,251.0
2025-12-22,4075,205.0,205.0
2025-12-23,4088,13.0,13.0
2025-12-24,4370,282.0,282.0
2025-12-25,4626,256.0,256.0
2025-12-26,4853,227.0,227.0
2025-12-29,5085,232.0,232.0
2025-12-30,5212,127.0,127.0
2025-12-31,5712,500.0,500.0
