date,value,change,增减
2025-05-06,8498,0.0,
2025-05-07,8513,15.0,
2025-05-08,8579,66.0,
2025-05-09,8564,-15.0,
2025-05-12,8716,152.0,
2025-05-13,8758,42.0,
2025-05-14,8752,-6.0,
2025-05-15,8862,110.0,
2025-05-16,8893,31.0,
2025-05-19,8880,-13.0,
2025-05-20,8876,-4.0,
2025-05-21,8874,-2.0,
2025-05-22,8858,-16.0,
2025-05-23,8844,-14.0,
2025-05-26,8904,60.0,
2025-05-27,8855,-49.0,
2025-05-28,8799,-56.0,
2025-05-29,8688,-111.0,
2025-05-30,8604,-84.0,
2025-06-03,8535,-69.0,
2025-06-04,8413,-122.0,
2025-06-05,8394,-19.0,
2025-06-06,8383,-11.0,
2025-06-09,8383,0.0,
2025-06-10,8378,-5.0,
2025-06-11,8371,-7.0,
2025-06-12,8294,-77.0,
2025-06-13,8249,-45.0,
2025-06-16,8179,-70.0,
2025-06-17,8164,-15.0,
2025-06-18,8228,64.0,
2025-06-19,8228,0.0,
2025-06-20,8228,0.0,
2025-06-23,8228,0.0,
2025-06-24,8228,0.0,
2025-06-25,8228,0.0,
2025-06-26,8560,332.0,
2025-06-27,8543,-17.0,
2025-06-30,8543,0.0,
2025-07-01,8584,41.0,
2025-07-02,8584,0.0,
2025-07-03,8650,66.0,
2025-07-04,8699,49.0,
2025-07-07,8699,0.0,
2025-07-08,8684,-15.0,
2025-07-09,8893,209.0,
2025-07-10,8881,-12.0,
2025-07-11,9007,126.0,
2025-07-14,9007,0.0,
2025-07-15,9122,115.0,
2025-07-16,9028,-94.0,
2025-07-17,8972,-56.0,
2025-07-18,8971,-1.0,
2025-07-21,8947,-24.0,
2025-07-22,8912,-35.0,
2025-07-23,8912,0.0,
2025-07-24,8893,-19.0,
2025-07-25,8813,-80.0,
2025-07-28,8740,-73.0,
2025-07-29,8739,-1.0,
2025-07-30,8739,0.0,
2025-07-31,8739,0.0,
2025-08-01,9188,449.0,
2025-08-04,9248,60.0,
2025-08-05,9254,6.0,
2025-08-06,9226,-28.0,
2025-08-07,9220,-6.0,
2025-08-08,9214,-6.0,
2025-08-11,9214,0.0,
2025-08-12,9214,0.0,
2025-08-13,9214,0.0,
2025-08-14,9214,0.0,
2025-08-15,9214,0.0,
2025-08-18,9495,281.0,
2025-08-19,9495,0.0,
2025-08-20,9832,337.0,
2025-08-21,9826,-6.0,
2025-08-22,9891,65.0,
2025-08-25,10088,197.0,
2025-08-26,10022,-66.0,
2025-08-27,9962,-60.0,
2025-08-28,10025,63.0,
2025-08-29,10091,66.0,
2025-09-01,10089,-2.0,
2025-09-02,10089,0.0,
2025-09-03,10037,-52.0,
2025-09-04,10030,-7.0,
2025-09-05,9986,-44.0,
2025-09-08,9964,-22.0,
2025-09-09,9331,-633.0,
2025-09-10,9325,-6.0,
2025-09-11,9194,-131.0,
2025-09-12,9188,-6.0,
2025-09-15,9126,-62.0,
2025-09-16,8900,-226.0,
2025-09-17,8871,-29.0,
2025-09-18,8661,-210.0,
2025-09-19,8430,-231.0,
2025-09-22,8323,-107.0,
2025-09-23,7640,-683.0,
2025-09-24,7404,-236.0,
2025-09-25,7063,-341.0,
2025-09-26,6743,-320.0,
2025-09-29,6155,-588.0,
2025-09-30,0,-6155.0,
2025-10-09,0,0.0,
2025-10-10,0,0.0,
2025-10-13,0,0.0,
2025-10-14,0,0.0,
2025-10-15,0,0.0,
2025-10-16,0,0.0,
2025-10-17,0,0.0,
2025-10-20,0,0.0,
2025-10-21,0,0.0,
2025-10-22,0,0.0,
2025-10-23,0,0.0,
2025-10-24,0,0.0,
2025-10-27,0,0.0,
2025-10-28,0,0.0,
2025-10-29,0,0.0,
2025-10-30,0,0.0,
2025-10-31,0,0.0,
2025-11-03,0,0.0,
2025-11-04,0,0.0,
2025-11-05,0,0.0,
2025-11-06,0,0.0,
2025-11-07,0,0.0,0.0
2025-11-10,0,0.0,0.0
2025-11-11,0,0.0,0.0
2025-11-12,0,0.0,0.0
2025-11-13,0,0.0,0.0
2025-11-14,0,0.0,0.0
2025-11-17,0,0.0,0.0
2025-11-18,0,0.0,0.0
2025-11-19,0,0.0,0.0
2025-11-20,0,0.0,0.0
2025-11-21,0,0.0,0.0
2025-11-24,0,0.0,0.0
2025-11-25,0,0.0,0.0
2025-11-26,0,0.0,0.0
2025-11-27,0,0.0,0.0
2025-11-28,0,0.0,0.0
2025-12-01,54,54.0,54.0
2025-12-02,516,462.0,462.0
2025-12-03,624,108.0,108.0
2025-12-04,659,35.0,35.0
2025-12-05,659,0.0,0.0
2025-12-08,701,42.0,42.0
2025-12-09,686,-15.0,-15.0
2025-12-10,850,164.0,164.0
2025-12-11,851,1.0,1.0
2025-12-12,883,32.0,32.0
2025-12-15,883,0.0,0.0
2025-12-16,883,0.0,0.0
2025-12-17,982,99.0,99.0
2025-12-18,982,0.0,0.0
2025-12-19,1092,110.0,110.0
2025-12-22,1092,0.0,0.0
2025-12-23,1092,0.0,0.0
2025-12-24,1092,0.0,0.0
2025-12-25,1092,0.0,0.0
2025-12-26,1092,0.0,0.0
2025-12-29,1171,79.0,79.0
2025-12-30,1342,171.0,171.0
2025-12-31,2120,778.0,778.0
