date,value,change,增减
2025-05-06,4950,0.0,
2025-05-07,10189,5239.0,
2025-05-08,10389,200.0,
2025-05-09,11589,1200.0,
2025-05-12,11655,66.0,
2025-05-13,11755,100.0,
2025-05-14,13074,1319.0,
2025-05-15,13734,660.0,
2025-05-16,12241,-1493.0,
2025-05-19,10674,-1567.0,
2025-05-20,12064,1390.0,
2025-05-21,9775,-2289.0,
2025-05-22,10601,826.0,
2025-05-23,10650,49.0,
2025-05-26,10630,-20.0,
2025-05-27,10391,-239.0,
2025-05-28,10239,-152.0,
2025-05-29,10239,0.0,
2025-05-30,9227,-1012.0,
2025-06-03,8555,-672.0,
2025-06-04,8379,-176.0,
2025-06-05,9029,650.0,
2025-06-06,7709,-1320.0,
2025-06-09,7535,-174.0,
2025-06-10,6766,-769.0,
2025-06-11,6906,140.0,
2025-06-12,6906,0.0,
2025-06-13,6514,-392.0,
2025-06-16,6232,-282.0,
2025-06-17,6052,-180.0,
2025-06-18,6052,0.0,
2025-06-19,6052,0.0,
2025-06-20,6047,-5.0,
2025-06-23,6047,0.0,
2025-06-24,5947,-100.0,
2025-06-25,5947,0.0,
2025-06-26,5947,0.0,
2025-06-27,5847,-100.0,
2025-06-30,5847,0.0,
2025-07-01,5723,-124.0,
2025-07-02,5723,0.0,
2025-07-03,6428,705.0,
2025-07-04,4479,-1949.0,
2025-07-07,3709,-770.0,
2025-07-08,3621,-88.0,
2025-07-09,3404,-217.0,
2025-07-10,3104,-300.0,
2025-07-11,2733,-371.0,
2025-07-14,2733,0.0,
2025-07-15,2538,-195.0,
2025-07-16,2308,-230.0,
2025-07-17,2308,0.0,
2025-07-18,2268,-40.0,
2025-07-21,2268,0.0,
2025-07-22,2268,0.0,
2025-07-23,2168,-100.0,
2025-07-24,2168,0.0,
2025-07-25,2168,0.0,
2025-07-28,2168,0.0,
2025-07-29,2168,0.0,
2025-07-30,2168,0.0,
2025-07-31,2168,0.0,
2025-08-01,2968,800.0,
2025-08-04,2968,0.0,
2025-08-05,2968,0.0,
2025-08-06,2762,-206.0,
2025-08-07,2762,0.0,
2025-08-08,2072,-690.0,
2025-08-11,2072,0.0,
2025-08-12,2072,0.0,
2025-08-13,2072,0.0,
2025-08-14,2072,0.0,
2025-08-15,2072,0.0,
2025-08-18,2072,0.0,
2025-08-19,2072,0.0,
2025-08-20,2092,20.0,
2025-08-21,2092,0.0,
2025-08-22,2092,0.0,
2025-08-25,2392,300.0,
2025-08-26,2392,0.0,
2025-08-27,2392,0.0,
2025-08-28,2392,0.0,
2025-08-29,2392,0.0,
2025-09-01,5392,3000.0,
2025-09-02,9422,4030.0,
2025-09-03,9922,500.0,
2025-09-04,9672,-250.0,
2025-09-05,9372,-300.0,
2025-09-08,9372,0.0,
2025-09-09,9212,-160.0,
2025-09-10,9192,-20.0,
2025-09-11,9042,-150.0,
2025-09-12,9142,100.0,
2025-09-15,8944,-198.0,
2025-09-16,8544,-400.0,
2025-09-17,8544,0.0,
2025-09-18,8235,-309.0,
2025-09-19,8235,0.0,
2025-09-22,8135,-100.0,
2025-09-23,8135,0.0,
2025-09-24,7779,-356.0,
2025-09-25,7577,-202.0,
2025-09-26,7477,-100.0,
2025-09-29,7476,-1.0,
2025-09-30,7476,0.0,
2025-10-09,7476,0.0,
2025-10-10,7476,0.0,
2025-10-13,7476,0.0,
2025-10-14,7776,300.0,
2025-10-15,7776,0.0,
2025-10-16,7776,0.0,
2025-10-17,7776,0.0,
2025-10-20,7776,0.0,
2025-10-21,7966,190.0,
2025-10-22,7945,-21.0,
2025-10-23,7945,0.0,
2025-10-24,7555,-390.0,
2025-10-27,7555,0.0,
2025-10-28,7555,0.0,
2025-10-29,7555,0.0,
2025-10-30,7555,0.0,
2025-10-31,7555,0.0,
2025-11-03,7555,0.0,
2025-11-04,7555,0.0,
2025-11-05,7555,0.0,
2025-11-06,7555,0.0,
2025-11-07,7555,0.0,0.0
2025-11-10,7555,0.0,0.0
2025-11-11,7505,-50.0,-50.0
2025-11-12,7505,0.0,0.0
2025-11-13,7505,0.0,0.0
2025-11-14,7375,-130.0,-130.0
2025-11-17,7325,-50.0,-50.0
2025-11-18,7275,-50.0,-50.0
2025-11-19,7275,0.0,0.0
2025-11-20,7265,-10.0,-10.0
2025-11-21,7255,-10.0,-10.0
2025-11-24,7245,-10.0,-10.0
2025-11-25,7225,-20.0,-20.0
2025-11-26,7225,0.0,0.0
2025-11-27,7205,-20.0,-20.0
2025-11-28,7195,-10.0,-10.0
2025-12-01,7175,-20.0,-20.0
2025-12-02,7151,-24.0,-24.0
2025-12-03,7134,-17.0,-17.0
2025-12-04,7134,0.0,0.0
2025-12-05,7104,-30.0,-30.0
2025-12-08,7078,-26.0,-26.0
2025-12-09,7066,-12.0,-12.0
2025-12-10,7066,0.0,0.0
2025-12-11,7049,-17.0,-17.0
2025-12-12,7013,-36.0,-36.0
2025-12-15,7003,-10.0,-10.0
2025-12-16,6972,-31.0,-31.0
2025-12-17,6972,0.0,0.0
2025-12-18,6942,-30.0,-30.0
2025-12-19,6942,0.0,0.0
2025-12-22,6932,-10.0,-10.0
2025-12-23,6923,-9.0,-9.0
2025-12-24,6922,-1.0,-1.0
2025-12-25,6922,0.0,0.0
2025-12-26,6922,0.0,0.0
2025-12-29,7722,800.0,800.0
2025-12-30,13017,5295.0,5295.0
2025-12-31,14017,1000.0,1000.0
