date,value,change,增减
2025-05-06,14950,0.0,
2025-05-07,20125,5175.0,
2025-05-08,20125,0.0,
2025-05-09,27125,7000.0,
2025-05-12,27125,0.0,
2025-05-13,29886,2761.0,
2025-05-14,31786,1900.0,
2025-05-15,31786,0.0,
2025-05-16,36286,4500.0,
2025-05-19,38311,2025.0,
2025-05-20,38311,0.0,
2025-05-21,38311,0.0,
2025-05-22,38311,0.0,
2025-05-23,29265,-9046.0,
2025-05-26,27483,-1782.0,
2025-05-27,26939,-544.0,
2025-05-28,26899,-40.0,
2025-05-29,26789,-110.0,
2025-05-30,26598,-191.0,
2025-06-03,26598,0.0,
2025-06-04,26598,0.0,
2025-06-05,26568,-30.0,
2025-06-06,26548,-20.0,
2025-06-09,26528,-20.0,
2025-06-10,26378,-150.0,
2025-06-11,26357,-21.0,
2025-06-12,26344,-13.0,
2025-06-13,26263,-81.0,
2025-06-16,26091,-172.0,
2025-06-17,26091,0.0,
2025-06-18,26011,-80.0,
2025-06-19,26001,-10.0,
2025-06-20,26001,0.0,
2025-06-23,26001,0.0,
2025-06-24,26001,0.0,
2025-06-25,25951,-50.0,
2025-06-26,25951,0.0,
2025-06-27,35561,9610.0,
2025-06-30,40300,4739.0,
2025-07-01,40300,0.0,
2025-07-02,40300,0.0,
2025-07-03,40300,0.0,
2025-07-04,40280,-20.0,
2025-07-07,40280,0.0,
2025-07-08,42250,1970.0,
2025-07-09,42250,0.0,
2025-07-10,42200,-50.0,
2025-07-11,42150,-50.0,
2025-07-14,42140,-10.0,
2025-07-15,41840,-300.0,
2025-07-16,41840,0.0,
2025-07-17,41840,0.0,
2025-07-18,41839,-1.0,
2025-07-21,41739,-100.0,
2025-07-22,41276,-463.0,
2025-07-23,41446,170.0,
2025-07-24,40714,-732.0,
2025-07-25,40504,-210.0,
2025-07-28,39283,-1221.0,
2025-07-29,35782,-3501.0,
2025-07-30,22562,-13220.0,
2025-07-31,0,-22562.0,
2025-08-01,1000,1000.0,
2025-08-04,5275,4275.0,
2025-08-05,10950,5675.0,
2025-08-06,10950,0.0,
2025-08-07,10950,0.0,
2025-08-08,10950,0.0,
2025-08-11,10850,-100.0,
2025-08-12,10850,0.0,
2025-08-13,8925,-1925.0,
2025-08-14,10925,2000.0,
2025-08-15,10925,0.0,
2025-08-18,10925,0.0,
2025-08-19,10925,0.0,
2025-08-20,10925,0.0,
2025-08-21,10925,0.0,
2025-08-22,10925,0.0,
2025-08-25,10925,0.0,
2025-08-26,10925,0.0,
2025-08-27,10925,0.0,
2025-08-28,10925,0.0,
2025-08-29,12725,1800.0,
2025-09-01,15125,2400.0,
2025-09-02,15125,0.0,
2025-09-03,15625,500.0,
2025-09-04,19375,3750.0,
2025-09-05,19375,0.0,
2025-09-08,25875,6500.0,
2025-09-09,25915,40.0,
2025-09-10,25915,0.0,
2025-09-11,27565,1650.0,
2025-09-12,29065,1500.0,
2025-09-15,29065,0.0,
2025-09-16,29065,0.0,
2025-09-17,29065,0.0,
2025-09-18,29065,0.0,
2025-09-19,39055,9990.0,
2025-09-22,39055,0.0,
2025-09-23,39055,0.0,
2025-09-24,39055,0.0,
2025-09-25,39055,0.0,
2025-09-26,39055,0.0,
2025-09-29,39055,0.0,
2025-09-30,39055,0.0,
2025-10-09,39055,0.0,
2025-10-10,41285,2230.0,
2025-10-13,41285,0.0,
2025-10-14,41198,-87.0,
2025-10-15,43256,2058.0,
2025-10-16,43122,-134.0,
2025-10-17,42882,-240.0,
2025-10-20,42761,-121.0,
2025-10-21,42732,-29.0,
2025-10-22,42582,-150.0,
2025-10-23,42582,0.0,
2025-10-24,42582,0.0,
2025-10-27,42382,-200.0,
2025-10-28,42382,0.0,
2025-10-29,42332,-50.0,
2025-10-30,42332,0.0,
2025-10-31,42332,0.0,
2025-11-03,42332,0.0,
2025-11-04,42152,-180.0,
2025-11-05,42122,-30.0,
2025-11-06,42102,-20.0,
2025-11-07,41646,-456.0,-456.0
2025-11-10,41533,-113.0,-113.0
2025-11-11,41433,-100.0,-100.0
2025-11-12,41426,-7.0,-7.0
2025-11-13,41419,-7.0,-7.0
2025-11-14,41288,-131.0,-131.0
2025-11-17,41196,-92.0,-92.0
2025-11-18,41073,-123.0,-123.0
2025-11-19,40890,-183.0,-183.0
2025-11-20,40840,-50.0,-50.0
2025-11-21,40357,-483.0,-483.0
2025-11-24,40196,-161.0,-161.0
2025-11-25,34834,-5362.0,-5362.0
2025-11-26,31628,-3206.0,-3206.0
2025-11-27,22592,-9036.0,-9036.0
2025-11-28,0,-22592.0,-22592.0
2025-12-01,9450,9450.0,9450.0
2025-12-02,9450,0.0,0.0
2025-12-03,15430,5980.0,5980.0
2025-12-04,23830,8400.0,8400.0
2025-12-05,23830,0.0,0.0
2025-12-08,23830,0.0,0.0
2025-12-09,23830,0.0,0.0
2025-12-10,23830,0.0,0.0
2025-12-11,23830,0.0,0.0
2025-12-12,23830,0.0,0.0
2025-12-15,23830,0.0,0.0
2025-12-16,23830,0.0,0.0
2025-12-17,23830,0.0,0.0
2025-12-18,23830,0.0,0.0
2025-12-19,24830,1000.0,1000.0
2025-12-22,24830,0.0,0.0
2025-12-23,24830,0.0,0.0
2025-12-24,24830,0.0,0.0
2025-12-25,24830,0.0,0.0
2025-12-26,24830,0.0,0.0
2025-12-29,24830,0.0,0.0
2025-12-30,24780,-50.0,-50.0
2025-12-31,24780,0.0,0.0
