date,value,change,增减
2025-05-06,71569,0.0,
2025-05-07,70460,-1109.0,
2025-05-08,69251,-1209.0,
2025-05-09,74692,5441.0,
2025-05-12,77818,3126.0,
2025-05-13,78826,1008.0,
2025-05-14,75398,-3428.0,
2025-05-15,75196,-202.0,
2025-05-16,70257,-4939.0,
2025-05-19,67233,-3024.0,
2025-05-20,62596,-4637.0,
2025-05-21,59674,-2922.0,
2025-05-22,47678,-11996.0,
2025-05-23,43544,-4134.0,
2025-05-26,32055,-11489.0,
2025-05-27,30744,-1311.0,
2025-05-28,20261,-10483.0,
2025-05-29,16733,-3528.0,
2025-05-30,17641,908.0,
2025-06-03,17742,101.0,
2025-06-04,18851,1109.0,
2025-06-05,19455,604.0,
2025-06-06,21873,2418.0,
2025-06-09,25905,4032.0,
2025-06-10,30138,4233.0,
2025-06-11,34372,4234.0,
2025-06-12,34372,0.0,
2025-06-13,34876,504.0,
2025-06-16,33666,-1210.0,
2025-06-17,33465,-201.0,
2025-06-18,33062,-403.0,
2025-06-19,32659,-403.0,
2025-06-20,32256,-403.0,
2025-06-23,31852,-404.0,
2025-06-24,31349,-503.0,
2025-06-25,29030,-2319.0,
2025-06-26,28525,-505.0,
2025-06-27,27618,-907.0,
2025-06-30,26914,-704.0,
2025-07-01,27217,303.0,
2025-07-02,27418,201.0,
2025-07-03,28023,605.0,
2025-07-04,29736,1713.0,
2025-07-07,32760,3024.0,
2025-07-08,34272,1512.0,
2025-07-09,35583,1311.0,
2025-07-10,36893,1310.0,
2025-07-11,36994,101.0,
2025-07-14,37195,201.0,
2025-07-15,36792,-403.0,
2025-07-16,36389,-403.0,
2025-07-17,36691,302.0,
2025-07-18,36691,0.0,
2025-07-21,38003,1312.0,
2025-07-22,38405,402.0,
2025-07-23,37398,-1007.0,
2025-07-24,37398,0.0,
2025-07-25,37398,0.0,
2025-07-28,37599,201.0,
2025-07-29,38808,1209.0,
2025-07-30,39716,908.0,
2025-07-31,39716,0.0,
2025-08-01,39716,0.0,
2025-08-04,39816,100.0,
2025-08-05,41731,1915.0,
2025-08-06,42034,303.0,
2025-08-07,42437,403.0,
2025-08-08,42235,-202.0,
2025-08-11,42840,605.0,
2025-08-12,46166,3326.0,
2025-08-13,46771,605.0,
2025-08-14,46569,-202.0,
2025-08-15,46469,-100.0,
2025-08-18,46469,0.0,
2025-08-19,46469,0.0,
2025-08-20,45663,-806.0,
2025-08-21,44857,-806.0,
2025-08-22,44857,0.0,
2025-08-25,44655,-202.0,
2025-08-26,44352,-303.0,
2025-08-27,45662,1310.0,
2025-08-28,45662,0.0,
2025-08-29,45662,0.0,
2025-09-01,45662,0.0,
2025-09-02,45764,102.0,
2025-09-03,45664,-100.0,
2025-09-04,46368,704.0,
2025-09-05,46569,201.0,
2025-09-08,47074,505.0,
2025-09-09,47074,0.0,
2025-09-10,47678,604.0,
2025-09-11,46771,-907.0,
2025-09-12,45964,-807.0,
2025-09-15,46166,202.0,
2025-09-16,45561,-605.0,
2025-09-17,45157,-404.0,
2025-09-18,44755,-402.0,
2025-09-19,44553,-202.0,
2025-09-22,45259,706.0,
2025-09-23,44856,-403.0,
2025-09-24,44856,0.0,
2025-09-25,44756,-100.0,
2025-09-26,42942,-1814.0,
2025-09-29,42437,-505.0,
2025-09-30,42034,-403.0,
2025-10-09,41632,-402.0,
2025-10-10,41329,-303.0,
2025-10-13,41429,100.0,
2025-10-14,41429,0.0,
2025-10-15,39917,-1512.0,
2025-10-16,40119,202.0,
2025-10-17,40119,0.0,
2025-10-20,41228,1109.0,
2025-10-21,41228,0.0,
2025-10-22,42640,1412.0,
2025-10-23,42640,0.0,
2025-10-24,42640,0.0,
2025-10-27,43849,1209.0,
2025-10-28,44454,605.0,
2025-10-29,44253,-201.0,
2025-10-30,44857,604.0,
2025-10-31,44655,-202.0,
2025-11-03,45765,1110.0,
2025-11-04,46571,806.0,
2025-11-05,48082,1511.0,
2025-11-06,48586,504.0,
2025-11-07,48586,0.0,0.0
2025-11-10,50905,2319.0,2319.0
2025-11-11,51208,303.0,303.0
2025-11-12,50703,-505.0,-505.0
2025-11-13,50602,-101.0,-101.0
2025-11-14,49695,-907.0,-907.0
2025-11-17,49695,0.0,0.0
2025-11-18,49695,0.0,0.0
2025-11-19,49594,-101.0,-101.0
2025-11-20,49795,201.0,201.0
2025-11-21,50199,404.0,404.0
2025-11-24,50098,-101.0,-101.0
2025-11-25,50904,806.0,806.0
2025-11-26,51307,403.0,403.0
2025-11-27,51307,0.0,0.0
2025-11-28,51307,0.0,0.0
2025-12-01,50702,-605.0,-605.0
2025-12-02,52113,1411.0,1411.0
2025-12-03,51710,-403.0,-403.0
2025-12-04,56448,4738.0,4738.0
2025-12-05,57355,907.0,907.0
2025-12-08,57154,-201.0,-201.0
2025-12-09,56752,-402.0,-402.0
2025-12-10,60279,3527.0,3527.0
2025-12-11,60380,101.0,101.0
2025-12-12,59573,-807.0,-807.0
2025-12-15,59573,0.0,0.0
2025-12-16,59573,0.0,0.0
2025-12-17,59573,0.0,0.0
2025-12-18,58968,-605.0,-605.0
2025-12-19,58968,0.0,0.0
2025-12-22,58364,-604.0,-604.0
2025-12-23,57758,-606.0,-606.0
2025-12-24,57758,0.0,0.0
2025-12-25,57960,202.0,202.0
2025-12-26,57960,0.0,0.0
2025-12-29,58061,101.0,101.0
2025-12-30,57556,-505.0,-505.0
2025-12-31,57959,403.0,403.0
