date,value,change,增减
2025-05-06,330,0.0,
2025-05-07,330,0.0,
2025-05-08,330,0.0,
2025-05-09,330,0.0,
2025-05-12,330,0.0,
2025-05-13,330,0.0,
2025-05-14,330,0.0,
2025-05-15,330,0.0,
2025-05-16,330,0.0,
2025-05-19,330,0.0,
2025-05-20,330,0.0,
2025-05-21,330,0.0,
2025-05-22,330,0.0,
2025-05-23,302,-28.0,
2025-05-26,0,-302.0,
2025-06-06,340,340.0,
2025-06-09,340,0.0,
2025-06-10,340,0.0,
2025-06-11,460,120.0,
2025-06-12,540,80.0,
2025-06-13,540,0.0,
2025-06-16,540,0.0,
2025-06-17,540,0.0,
2025-06-18,540,0.0,
2025-06-19,540,0.0,
2025-06-20,540,0.0,
2025-06-23,0,-540.0,
2025-06-27,470,470.0,
2025-06-30,470,0.0,
2025-07-01,470,0.0,
2025-07-02,470,0.0,
2025-07-03,670,200.0,
2025-07-04,670,0.0,
2025-07-07,670,0.0,
2025-07-08,670,0.0,
2025-07-09,854,184.0,
2025-07-10,854,0.0,
2025-07-11,854,0.0,
2025-07-14,854,0.0,
2025-07-15,854,0.0,
2025-07-16,854,0.0,
2025-07-17,854,0.0,
2025-07-18,854,0.0,
2025-07-21,334,-520.0,
2025-07-22,0,-334.0,
2025-07-28,570,570.0,
2025-07-29,570,0.0,
2025-07-30,570,0.0,
2025-07-31,570,0.0,
2025-08-01,570,0.0,
2025-08-04,570,0.0,
2025-08-05,570,0.0,
2025-08-06,570,0.0,
2025-08-07,570,0.0,
2025-08-08,570,0.0,
2025-08-11,1420,850.0,
2025-08-12,1420,0.0,
2025-08-13,1420,0.0,
2025-08-14,1420,0.0,
2025-08-15,1420,0.0,
2025-08-18,1420,0.0,
2025-08-19,1420,0.0,
2025-08-20,1404,-16.0,
2025-08-21,790,-614.0,
2025-08-22,0,-790.0,
2025-08-27,439,439.0,
2025-08-28,439,0.0,
2025-08-29,439,0.0,
2025-09-01,439,0.0,
2025-09-02,439,0.0,
2025-09-03,439,0.0,
2025-09-04,639,200.0,
2025-09-05,639,0.0,
2025-09-08,639,0.0,
2025-09-09,1280,641.0,
2025-09-10,1485,205.0,
2025-09-11,1570,85.0,
2025-09-12,1570,0.0,
2025-09-15,1570,0.0,
2025-09-16,1570,0.0,
2025-09-17,1570,0.0,
2025-09-18,1570,0.0,
2025-09-19,1500,-70.0,
2025-09-22,0,-1500.0,
2025-09-25,410,410.0,
2025-09-26,410,0.0,
2025-09-29,410,0.0,
2025-09-30,500,90.0,
2025-10-09,500,0.0,
2025-10-10,500,0.0,
2025-10-13,500,0.0,
2025-10-14,500,0.0,
2025-10-15,500,0.0,
2025-10-16,500,0.0,
2025-10-17,500,0.0,
2025-10-20,600,100.0,
2025-10-21,600,0.0,
2025-10-22,600,0.0,
2025-10-23,600,0.0,
2025-10-24,600,0.0,
2025-10-27,600,0.0,
2025-10-28,512,-88.0,
2025-10-29,0,-512.0,
2025-11-03,250,250.0,
2025-11-04,650,400.0,
2025-11-05,650,0.0,
2025-11-06,650,0.0,
2025-11-07,650,0.0,0.0
2025-11-10,530,-120.0,-120.0
2025-11-11,530,0.0,0.0
2025-11-12,530,0.0,0.0
2025-11-13,730,200.0,200.0
2025-11-14,730,0.0,0.0
2025-11-17,730,0.0,0.0
2025-11-18,730,0.0,0.0
2025-11-19,730,0.0,0.0
2025-11-20,500,-230.0,-230.0
2025-11-21,50,-450.0,-450.0
2025-11-24,0,-50.0,-50.0
2025-11-27,380,380.0,380.0
2025-11-28,352,-28.0,-28.0
2025-12-01,352,0.0,0.0
2025-12-02,352,0.0,0.0
2025-12-03,352,0.0,0.0
2025-12-04,452,100.0,100.0
2025-12-05,452,0.0,0.0
2025-12-08,702,250.0,250.0
2025-12-09,702,0.0,0.0
2025-12-10,950,248.0,248.0
2025-12-11,950,0.0,0.0
2025-12-12,950,0.0,0.0
2025-12-15,950,0.0,0.0
2025-12-16,950,0.0,0.0
2025-12-17,950,0.0,0.0
2025-12-18,946,-4.0,-4.0
2025-12-19,596,-350.0,-350.0
2025-12-22,0,-596.0,-596.0
2025-12-25,260,260.0,260.0
2025-12-26,260,0.0,0.0
2025-12-29,260,0.0,0.0
2025-12-30,260,0.0,0.0
2025-12-31,260,0.0,0.0
