date,value,change,增减
2025-05-06,124571,0.0,
2025-05-07,123166,-1405.0,
2025-05-08,120174,-2992.0,
2025-05-09,119697,-477.0,
2025-05-12,118816,-881.0,
2025-05-13,119280,464.0,
2025-05-14,118693,-587.0,
2025-05-15,118553,-140.0,
2025-05-16,118187,-366.0,
2025-05-19,117896,-291.0,
2025-05-20,117049,-847.0,
2025-05-21,115203,-1846.0,
2025-05-22,114862,-341.0,
2025-05-23,114457,-405.0,
2025-05-26,113290,-1167.0,
2025-05-27,112625,-665.0,
2025-05-28,111953,-672.0,
2025-05-29,111154,-799.0,
2025-05-30,106973,-4181.0,
2025-06-03,104578,-2395.0,
2025-06-04,103247,-1331.0,
2025-06-05,102183,-1064.0,
2025-06-06,101012,-1171.0,
2025-06-09,100765,-247.0,
2025-06-10,100048,-717.0,
2025-06-11,100336,288.0,
2025-06-12,99455,-881.0,
2025-06-13,97951,-1504.0,
2025-06-16,96168,-1783.0,
2025-06-17,95641,-527.0,
2025-06-18,94895,-746.0,
2025-06-19,95545,650.0,
2025-06-20,94951,-594.0,
2025-06-23,95000,49.0,
2025-06-24,93769,-1231.0,
2025-06-25,93468,-301.0,
2025-06-26,92481,-987.0,
2025-06-27,91999,-482.0,
2025-06-30,88732,-3267.0,
2025-07-01,88062,-670.0,
2025-07-02,87845,-217.0,
2025-07-03,89598,1753.0,
2025-07-04,88686,-912.0,
2025-07-07,88213,-473.0,
2025-07-08,87849,-364.0,
2025-07-09,85991,-1858.0,
2025-07-10,85444,-547.0,
2025-07-11,85037,-407.0,
2025-07-14,84776,-261.0,
2025-07-15,84381,-395.0,
2025-07-16,83835,-546.0,
2025-07-17,83372,-463.0,
2025-07-18,79931,-3441.0,
2025-07-21,78754,-1177.0,
2025-07-22,78495,-259.0,
2025-07-23,77972,-523.0,
2025-07-24,77552,-420.0,
2025-07-25,77656,104.0,
2025-07-28,77604,-52.0,
2025-07-29,79190,1586.0,
2025-07-30,78736,-454.0,
2025-07-31,78527,-209.0,
2025-08-01,77854,-673.0,
2025-08-04,77611,-243.0,
2025-08-05,77295,-316.0,
2025-08-06,77190,-105.0,
2025-08-07,76542,-648.0,
2025-08-08,76045,-497.0,
2025-08-11,75707,-338.0,
2025-08-12,75520,-187.0,
2025-08-13,75446,-74.0,
2025-08-14,75359,-87.0,
2025-08-15,74797,-562.0,
2025-08-18,73660,-1137.0,
2025-08-19,73191,-469.0,
2025-08-20,73048,-143.0,
2025-08-21,71820,-1228.0,
2025-08-22,70094,-1726.0,
2025-08-25,68919,-1175.0,
2025-08-26,68108,-811.0,
2025-08-27,67498,-610.0,
2025-08-28,66783,-715.0,
2025-08-29,66567,-216.0,
2025-09-01,65760,-807.0,
2025-09-02,64682,-1078.0,
2025-09-03,63870,-812.0,
2025-09-04,63588,-282.0,
2025-09-05,62860,-728.0,
2025-09-08,62584,-276.0,
2025-09-09,62410,-174.0,
2025-09-10,62288,-122.0,
2025-09-11,62170,-118.0,
2025-09-12,61440,-730.0,
2025-09-15,60935,-505.0,
2025-09-16,59992,-943.0,
2025-09-17,61342,1350.0,
2025-09-18,60996,-346.0,
2025-09-19,60676,-320.0,
2025-09-22,60126,-550.0,
2025-09-23,59497,-629.0,
2025-09-24,60014,517.0,
2025-09-25,59475,-539.0,
2025-09-26,56113,-3362.0,
2025-09-29,55212,-901.0,
2025-09-30,54861,-351.0,
2025-10-09,54335,-526.0,
2025-10-10,54041,-294.0,
2025-10-13,52402,-1639.0,
2025-10-14,49917,-2485.0,
2025-10-15,49756,-161.0,
2025-10-16,48976,-780.0,
2025-10-17,47940,-1036.0,
2025-10-20,47636,-304.0,
2025-10-21,46638,-998.0,
2025-10-22,46292,-346.0,
2025-10-23,45836,-456.0,
2025-10-24,44876,-960.0,
2025-10-27,44027,-849.0,
2025-10-28,38603,-5424.0,
2025-10-29,0,-38603.0,
2025-10-30,8100,8100.0,
2025-10-31,9794,1694.0,
2025-11-03,10020,226.0,
2025-11-04,10818,798.0,
2025-11-05,12758,1940.0,
2025-11-06,12758,0.0,
2025-11-07,14358,1600.0,1600.0
2025-11-10,16357,1999.0,1999.0
2025-11-11,18113,1756.0,1756.0
2025-11-12,18263,150.0,150.0
2025-11-13,18663,400.0,400.0
2025-11-14,19863,1200.0,1200.0
2025-11-17,19863,0.0,0.0
2025-11-18,19863,0.0,0.0
2025-11-19,19744,-119.0,-119.0
2025-11-20,20343,599.0,599.0
2025-11-21,20337,-6.0,-6.0
2025-11-24,20797,460.0,460.0
2025-11-25,21189,392.0,392.0
2025-11-26,21189,0.0,0.0
2025-11-27,20989,-200.0,-200.0
2025-11-28,14758,-6231.0,-6231.0
2025-12-01,14758,0.0,0.0
2025-12-02,15851,1093.0,1093.0
2025-12-03,15851,0.0,0.0
2025-12-04,21116,5265.0,5265.0
2025-12-05,21207,91.0,91.0
2025-12-08,24528,3321.0,3321.0
2025-12-09,24664,136.0,136.0
2025-12-10,24664,0.0,0.0
2025-12-11,25248,584.0,584.0
2025-12-12,25232,-16.0,-16.0
2025-12-15,25232,0.0,0.0
2025-12-16,25032,-200.0,-200.0
2025-12-17,24832,-200.0,-200.0
2025-12-18,25031,199.0,199.0
2025-12-19,23651,-1380.0,-1380.0
2025-12-22,23651,0.0,0.0
2025-12-23,23251,-400.0,-400.0
2025-12-24,23551,300.0,300.0
2025-12-25,23464,-87.0,-87.0
2025-12-26,23277,-187.0,-187.0
2025-12-29,23077,-200.0,-200.0
2025-12-30,23218,141.0,141.0
2025-12-31,23518,300.0,300.0
