date,value,change,增减
2025-05-06,8461,0.0,
2025-05-07,8368,-93.0,
2025-05-08,8334,-34.0,
2025-05-09,8402,68.0,
2025-05-12,8331,-71.0,
2025-05-13,8239,-92.0,
2025-05-14,8179,-60.0,
2025-05-15,8163,-16.0,
2025-05-16,8183,20.0,
2025-05-19,8119,-64.0,
2025-05-20,8025,-94.0,
2025-05-21,8070,45.0,
2025-05-22,8056,-14.0,
2025-05-23,8076,20.0,
2025-05-26,8016,-60.0,
2025-05-27,7998,-18.0,
2025-05-28,7984,-14.0,
2025-05-29,7908,-76.0,
2025-05-30,7872,-36.0,
2025-06-03,7520,-352.0,
2025-06-04,7228,-292.0,
2025-06-05,7144,-84.0,
2025-06-06,7020,-124.0,
2025-06-09,6904,-116.0,
2025-06-10,6866,-38.0,
2025-06-11,6810,-56.0,
2025-06-12,6842,32.0,
2025-06-13,6774,-68.0,
2025-06-16,6760,-14.0,
2025-06-17,6662,-98.0,
2025-06-18,6574,-88.0,
2025-06-19,6613,39.0,
2025-06-20,6502,-111.0,
2025-06-23,6444,-58.0,
2025-06-24,6462,18.0,
2025-06-25,6472,10.0,
2025-06-26,6591,119.0,
2025-06-27,6551,-40.0,
2025-06-30,6750,199.0,
2025-07-01,6766,16.0,
2025-07-02,6888,122.0,
2025-07-03,6882,-6.0,
2025-07-04,6807,-75.0,
2025-07-07,6868,61.0,
2025-07-08,6742,-126.0,
2025-07-09,6738,-4.0,
2025-07-10,6685,-53.0,
2025-07-11,6631,-54.0,
2025-07-14,6605,-26.0,
2025-07-15,6847,242.0,
2025-07-16,6777,-70.0,
2025-07-17,6713,-64.0,
2025-07-18,6817,104.0,
2025-07-21,6809,-8.0,
2025-07-22,6791,-18.0,
2025-07-23,6807,16.0,
2025-07-24,6863,56.0,
2025-07-25,7125,262.0,
2025-07-28,7369,244.0,
2025-07-29,7529,160.0,
2025-07-30,7433,-96.0,
2025-07-31,7429,-4.0,
2025-08-01,7286,-143.0,
2025-08-04,7293,7.0,
2025-08-05,7283,-10.0,
2025-08-06,7358,75.0,
2025-08-07,7332,-26.0,
2025-08-08,7469,137.0,
2025-08-11,7326,-143.0,
2025-08-12,7397,71.0,
2025-08-13,7430,33.0,
2025-08-14,7422,-8.0,
2025-08-15,7426,4.0,
2025-08-18,7587,161.0,
2025-08-19,7513,-74.0,
2025-08-20,7329,-184.0,
2025-08-21,7258,-71.0,
2025-08-22,7053,-205.0,
2025-08-25,7032,-21.0,
2025-08-26,7152,120.0,
2025-08-27,7163,11.0,
2025-08-28,7120,-43.0,
2025-08-29,7273,153.0,
2025-09-01,7215,-58.0,
2025-09-02,7263,48.0,
2025-09-03,7407,144.0,
2025-09-04,7495,88.0,
2025-09-05,7397,-98.0,
2025-09-08,7405,8.0,
2025-09-09,7538,133.0,
2025-09-10,7482,-56.0,
2025-09-11,7504,22.0,
2025-09-12,7326,-178.0,
2025-09-15,7402,76.0,
2025-09-16,7310,-92.0,
2025-09-17,7204,-106.0,
2025-09-18,6914,-290.0,
2025-09-19,6558,-356.0,
2025-09-22,6600,42.0,
2025-09-23,6418,-182.0,
2025-09-24,6342,-76.0,
2025-09-25,6276,-66.0,
2025-09-26,6077,-199.0,
2025-09-29,5950,-127.0,
2025-09-30,5841,-109.0,
2025-10-09,5851,10.0,
2025-10-10,5809,-42.0,
2025-10-13,5745,-64.0,
2025-10-14,5627,-118.0,
2025-10-15,5677,50.0,
2025-10-16,5609,-68.0,
2025-10-17,5652,43.0,
2025-10-20,5627,-25.0,
2025-10-21,5535,-92.0,
2025-10-22,5600,65.0,
2025-10-23,5470,-130.0,
2025-10-24,5567,97.0,
2025-10-27,5652,85.0,
2025-10-28,5609,-43.0,
2025-10-29,5682,73.0,
2025-10-30,5732,50.0,
2025-10-31,5674,-58.0,
2025-11-03,5730,56.0,
2025-11-04,5976,246.0,
2025-11-05,5959,-17.0,
2025-11-06,5865,-94.0,
2025-11-07,5803,-62.0,-62.0
2025-11-10,5694,-109.0,-109.0
2025-11-11,5582,-112.0,-112.0
2025-11-12,5446,-136.0,-136.0
2025-11-13,5698,252.0,252.0
2025-11-14,5932,234.0,234.0
2025-11-17,6099,167.0,167.0
2025-11-18,6062,-37.0,-37.0
2025-11-19,5960,-102.0,-102.0
2025-11-20,5991,31.0,31.0
2025-11-21,5906,-85.0,-85.0
2025-11-24,5884,-22.0,-22.0
2025-11-25,6093,209.0,209.0
2025-11-26,6185,92.0,92.0
2025-11-27,6219,34.0,34.0
2025-11-28,6263,44.0,44.0
2025-12-01,6290,27.0,27.0
2025-12-02,6401,111.0,111.0
2025-12-03,6391,-10.0,-10.0
2025-12-04,6576,185.0,185.0
2025-12-05,6683,107.0,107.0
2025-12-08,7266,583.0,583.0
2025-12-09,7237,-29.0,-29.0
2025-12-10,7151,-86.0,-86.0
2025-12-11,7024,-127.0,-127.0
2025-12-12,7244,220.0,220.0
2025-12-15,7332,88.0,88.0
2025-12-16,7463,131.0,131.0
2025-12-17,7497,34.0,34.0
2025-12-18,7602,105.0,105.0
2025-12-19,7844,242.0,242.0
2025-12-22,7685,-159.0,-159.0
2025-12-23,8340,655.0,655.0
2025-12-24,8331,-9.0,-9.0
2025-12-25,8153,-178.0,-178.0
2025-12-26,7969,-184.0,-184.0
2025-12-29,7905,-64.0,-64.0
2025-12-30,7772,-133.0,-133.0
2025-12-31,7442,-330.0,-330.0
