date,value,change,增减
2025-05-06,163992,0.0,
2025-05-07,162151,-1841.0,
2025-05-08,159685,-2466.0,
2025-05-09,158856,-829.0,
2025-05-12,160244,1388.0,
2025-05-13,159232,-1012.0,
2025-05-14,158809,-423.0,
2025-05-15,158715,-94.0,
2025-05-16,157878,-837.0,
2025-05-19,156362,-1516.0,
2025-05-20,143780,-12582.0,
2025-05-21,143056,-724.0,
2025-05-22,141742,-1314.0,
2025-05-23,140425,-1317.0,
2025-05-26,139121,-1304.0,
2025-05-27,134611,-4510.0,
2025-05-28,133225,-1386.0,
2025-05-29,131555,-1670.0,
2025-05-30,129990,-1565.0,
2025-06-03,129690,-300.0,
2025-06-04,124391,-5299.0,
2025-06-05,123122,-1269.0,
2025-06-06,122945,-177.0,
2025-06-09,121663,-1282.0,
2025-06-10,120039,-1624.0,
2025-06-11,119305,-734.0,
2025-06-12,118985,-320.0,
2025-06-13,118383,-602.0,
2025-06-16,118022,-361.0,
2025-06-17,117410,-612.0,
2025-06-18,116979,-431.0,
2025-06-19,114869,-2110.0,
2025-06-20,114089,-780.0,
2025-06-23,113903,-186.0,
2025-06-24,113234,-669.0,
2025-06-25,112867,-367.0,
2025-06-26,112446,-421.0,
2025-06-27,112327,-119.0,
2025-06-30,112140,-187.0,
2025-07-01,111956,-184.0,
2025-07-02,111895,-61.0,
2025-07-03,111774,-121.0,
2025-07-04,111595,-179.0,
2025-07-07,111533,-62.0,
2025-07-08,111410,-123.0,
2025-07-09,111290,-120.0,
2025-07-10,111290,0.0,
2025-07-11,111051,-239.0,
2025-07-14,111051,0.0,
2025-07-15,110991,-60.0,
2025-07-16,110872,-119.0,
2025-07-17,110572,-300.0,
2025-07-18,103599,-6973.0,
2025-07-21,103599,0.0,
2025-07-22,103475,-124.0,
2025-07-23,103415,-60.0,
2025-07-24,103354,-61.0,
2025-07-25,103354,0.0,
2025-07-28,103296,-58.0,
2025-07-29,103296,0.0,
2025-07-30,103234,-62.0,
2025-07-31,103234,0.0,
2025-08-01,102986,-248.0,
2025-08-04,102925,-61.0,
2025-08-05,102865,-60.0,
2025-08-06,102803,-62.0,
2025-08-07,103226,423.0,
2025-08-08,102983,-243.0,
2025-08-11,103036,53.0,
2025-08-12,103940,904.0,
2025-08-13,103518,-422.0,
2025-08-14,103521,3.0,
2025-08-15,103277,-244.0,
2025-08-18,103093,-184.0,
2025-08-19,122103,19010.0,
2025-08-20,119769,-2334.0,
2025-08-21,118640,-1129.0,
2025-08-22,101925,-16715.0,
2025-08-25,101687,-238.0,
2025-08-26,101026,-661.0,
2025-08-27,100851,-175.0,
2025-08-28,100431,-420.0,
2025-08-29,99772,-659.0,
2025-09-01,99418,-354.0,
2025-09-02,100156,738.0,
2025-09-03,99616,-540.0,
2025-09-04,99743,127.0,
2025-09-05,99439,-304.0,
2025-09-08,98956,-483.0,
2025-09-09,98534,-422.0,
2025-09-10,98288,-246.0,
2025-09-11,97554,-734.0,
2025-09-12,96949,-605.0,
2025-09-15,96349,-600.0,
2025-09-16,95745,-604.0,
2025-09-17,95265,-480.0,
2025-09-18,90146,-5119.0,
2025-09-19,89732,-414.0,
2025-09-22,89377,-355.0,
2025-09-23,89008,-369.0,
2025-09-24,88233,-775.0,
2025-09-25,87803,-430.0,
2025-09-26,87505,-298.0,
2025-09-29,87148,-357.0,
2025-09-30,86969,-179.0,
2025-10-09,86551,-418.0,
2025-10-10,86254,-297.0,
2025-10-13,85166,-1088.0,
2025-10-14,84497,-669.0,
2025-10-15,84007,-490.0,
2025-10-16,83231,-776.0,
2025-10-17,82748,-483.0,
2025-10-20,74619,-8129.0,
2025-10-21,74497,-122.0,
2025-10-22,74376,-121.0,
2025-10-23,74376,0.0,
2025-10-24,74195,-181.0,
2025-10-27,73896,-299.0,
2025-10-28,73896,0.0,
2025-10-29,73777,-119.0,
2025-10-30,73777,0.0,
2025-10-31,73657,-120.0,
2025-11-03,73482,-175.0,
2025-11-04,73300,-182.0,
2025-11-05,73300,0.0,
2025-11-06,72462,-838.0,
2025-11-07,72091,-371.0,-371.0
2025-11-10,72031,-60.0,-60.0
2025-11-11,71735,-296.0,-296.0
2025-11-12,71436,-299.0,-299.0
2025-11-13,71197,-239.0,-239.0
2025-11-14,70365,-832.0,-832.0
2025-11-17,69289,-1076.0,-1076.0
2025-11-18,68795,-494.0,-494.0
2025-11-19,68310,-485.0,-485.0
2025-11-20,65340,-2970.0,-2970.0
2025-11-21,64924,-416.0,-416.0
2025-11-24,64382,-542.0,-542.0
2025-11-25,63890,-492.0,-492.0
2025-11-26,63765,-125.0,-125.0
2025-11-27,63473,-292.0,-292.0
2025-11-28,63119,-354.0,-354.0
2025-12-01,62998,-121.0,-121.0
2025-12-02,62514,-484.0,-484.0
2025-12-03,62337,-177.0,-177.0
2025-12-04,62157,-180.0,-180.0
2025-12-05,61619,-538.0,-538.0
2025-12-08,61556,-63.0,-63.0
2025-12-09,61556,0.0,0.0
2025-12-10,61498,-58.0,-58.0
2025-12-11,61378,-120.0,-120.0
2025-12-12,60601,-777.0,-777.0
2025-12-15,60419,-182.0,-182.0
2025-12-16,59803,-616.0,-616.0
2025-12-17,58647,-1156.0,-1156.0
2025-12-18,48855,-9792.0,-9792.0
2025-12-19,48495,-360.0,-360.0
2025-12-22,48312,-183.0,-183.0
2025-12-23,47705,-607.0,-607.0
2025-12-24,47580,-125.0,-125.0
2025-12-25,47580,0.0,0.0
2025-12-26,47888,308.0,308.0
2025-12-29,47462,-426.0,-426.0
2025-12-30,47697,235.0,235.0
2025-12-31,47697,0.0,0.0
