排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,16990,827.0,2025-12-25,a2605,多单持仓,A
2,中信期货,11107,1657.0,2025-12-25,a2605,多单持仓,A
3,海通期货,10775,-155.0,2025-12-25,a2605,多单持仓,A
4,银河期货,9954,-436.0,2025-12-25,a2605,多单持仓,A
5,国泰君安,8368,440.0,2025-12-25,a2605,多单持仓,A
6,摩根大通,6658,100.0,2025-12-25,a2605,多单持仓,A
7,南华期货,5040,-270.0,2025-12-25,a2605,多单持仓,A
8,乾坤期货,4977,7.0,2025-12-25,a2605,多单持仓,A
9,永安期货,4554,-821.0,2025-12-25,a2605,多单持仓,A
10,浙商期货,4472,118.0,2025-12-25,a2605,多单持仓,A
11,中信建投,3710,385.0,2025-12-25,a2605,多单持仓,A
12,国投期货,3705,357.0,2025-12-25,a2605,多单持仓,A
13,瑞银期货,2930,0.0,2025-12-25,a2605,多单持仓,A
14,宏源期货,2736,81.0,2025-12-25,a2605,多单持仓,A
15,中金财富,2604,-11.0,2025-12-25,a2605,多单持仓,A
16,东航期货,2434,143.0,2025-12-25,a2605,多单持仓,A
17,中泰期货,2313,345.0,2025-12-25,a2605,多单持仓,A
18,国信期货,2253,-8.0,2025-12-25,a2605,多单持仓,A
19,创元期货,2186,118.0,2025-12-25,a2605,多单持仓,A
20,徽商期货,2081,718.0,2025-12-25,a2605,多单持仓,A
1,东证期货,16576,-414.0,2025-12-26,a2605,多单持仓,A
2,中信期货,11383,276.0,2025-12-26,a2605,多单持仓,A
3,海通期货,10747,-28.0,2025-12-26,a2605,多单持仓,A
4,银河期货,10090,136.0,2025-12-26,a2605,多单持仓,A
5,国泰君安,8517,149.0,2025-12-26,a2605,多单持仓,A
6,摩根大通,6966,308.0,2025-12-26,a2605,多单持仓,A
7,乾坤期货,4982,5.0,2025-12-26,a2605,多单持仓,A
8,浙商期货,4631,159.0,2025-12-26,a2605,多单持仓,A
9,南华期货,4430,-610.0,2025-12-26,a2605,多单持仓,A
10,永安期货,4334,-220.0,2025-12-26,a2605,多单持仓,A
11,国投期货,3547,-158.0,2025-12-26,a2605,多单持仓,A
12,中信建投,3526,-184.0,2025-12-26,a2605,多单持仓,A
13,瑞银期货,2930,0.0,2025-12-26,a2605,多单持仓,A
14,东航期货,2367,-67.0,2025-12-26,a2605,多单持仓,A
15,创元期货,2296,110.0,2025-12-26,a2605,多单持仓,A
16,中金财富,2203,-401.0,2025-12-26,a2605,多单持仓,A
17,徽商期货,2200,119.0,2025-12-26,a2605,多单持仓,A
18,国信期货,2191,-62.0,2025-12-26,a2605,多单持仓,A
19,中泰期货,2184,-129.0,2025-12-26,a2605,多单持仓,A
20,光大期货,2042,175.0,2025-12-26,a2605,多单持仓,A
1,东证期货,16413,-163.0,2025-12-29,a2605,多单持仓,A
2,中信期货,12255,872.0,2025-12-29,a2605,多单持仓,A
3,海通期货,11023,276.0,2025-12-29,a2605,多单持仓,A
4,国泰君安,9921,1404.0,2025-12-29,a2605,多单持仓,A
5,银河期货,9895,-195.0,2025-12-29,a2605,多单持仓,A
6,摩根大通,7388,422.0,2025-12-29,a2605,多单持仓,A
7,乾坤期货,6491,1509.0,2025-12-29,a2605,多单持仓,A
8,浙商期货,4963,332.0,2025-12-29,a2605,多单持仓,A
9,中信建投,4042,516.0,2025-12-29,a2605,多单持仓,A
10,瑞银期货,3675,745.0,2025-12-29,a2605,多单持仓,A
11,国投期货,3585,38.0,2025-12-29,a2605,多单持仓,A
12,中泰期货,2824,640.0,2025-12-29,a2605,多单持仓,A
13,永安期货,2755,-1579.0,2025-12-29,a2605,多单持仓,A
14,国信期货,2555,364.0,2025-12-29,a2605,多单持仓,A
15,东航期货,2474,107.0,2025-12-29,a2605,多单持仓,A
16,创元期货,2392,96.0,2025-12-29,a2605,多单持仓,A
17,徽商期货,2342,142.0,2025-12-29,a2605,多单持仓,A
18,中金财富,2327,124.0,2025-12-29,a2605,多单持仓,A
19,南华期货,2191,-2239.0,2025-12-29,a2605,多单持仓,A
20,海证期货,2156,622.0,2025-12-29,a2605,多单持仓,A
1,东证期货,20244,3831.0,2025-12-30,a2605,多单持仓,A
2,中信期货,16553,4298.0,2025-12-30,a2605,多单持仓,A
3,海通期货,13494,2471.0,2025-12-30,a2605,多单持仓,A
4,国泰君安,12047,2126.0,2025-12-30,a2605,多单持仓,A
5,银河期货,10633,738.0,2025-12-30,a2605,多单持仓,A
6,摩根大通,9396,2008.0,2025-12-30,a2605,多单持仓,A
7,乾坤期货,9289,2798.0,2025-12-30,a2605,多单持仓,A
8,浙商期货,5325,362.0,2025-12-30,a2605,多单持仓,A
9,中信建投,4158,116.0,2025-12-30,a2605,多单持仓,A
10,国投期货,3942,357.0,2025-12-30,a2605,多单持仓,A
11,华泰期货,3805,1776.0,2025-12-30,a2605,多单持仓,A
12,瑞银期货,3736,61.0,2025-12-30,a2605,多单持仓,A
13,中金财富,3718,1391.0,2025-12-30,a2605,多单持仓,A
14,中泰期货,3525,701.0,2025-12-30,a2605,多单持仓,A
15,徽商期货,3187,845.0,2025-12-30,a2605,多单持仓,A
16,东航期货,2882,408.0,2025-12-30,a2605,多单持仓,A
17,创元期货,2809,417.0,2025-12-30,a2605,多单持仓,A
18,光大期货,2798,823.0,2025-12-30,a2605,多单持仓,A
19,国信期货,2457,-98.0,2025-12-30,a2605,多单持仓,A
20,方正中期,2353,987.0,2025-12-30,a2605,多单持仓,A
