排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,银河期货,26479,381.0,2025-12-25,a2605,空单持仓,A
2,中信期货,11859,-328.0,2025-12-25,a2605,空单持仓,A
3,东证期货,10533,1265.0,2025-12-25,a2605,空单持仓,A
4,乾坤期货,8176,849.0,2025-12-25,a2605,空单持仓,A
5,国泰君安,6376,1355.0,2025-12-25,a2605,空单持仓,A
6,国投期货,5612,1511.0,2025-12-25,a2605,空单持仓,A
7,国信期货,5602,1.0,2025-12-25,a2605,空单持仓,A
8,北京首创,5386,173.0,2025-12-25,a2605,空单持仓,A
9,摩根大通,5203,48.0,2025-12-25,a2605,空单持仓,A
10,华泰期货,5034,-89.0,2025-12-25,a2605,空单持仓,A
11,永安期货,4981,345.0,2025-12-25,a2605,空单持仓,A
12,一德期货,4666,1460.0,2025-12-25,a2605,空单持仓,A
13,南华期货,4042,48.0,2025-12-25,a2605,空单持仓,A
14,中泰期货,3743,1072.0,2025-12-25,a2605,空单持仓,A
15,平安期货,3435,137.0,2025-12-25,a2605,空单持仓,A
16,瑞银期货,2907,0.0,2025-12-25,a2605,空单持仓,A
17,中财期货,2232,-539.0,2025-12-25,a2605,空单持仓,A
18,兴证期货,2148,231.0,2025-12-25,a2605,空单持仓,A
19,瑞达期货,2107,83.0,2025-12-25,a2605,空单持仓,A
20,中州期货,2107,-66.0,2025-12-25,a2605,空单持仓,A
1,银河期货,26396,-83.0,2025-12-26,a2605,空单持仓,A
2,东证期货,12879,2346.0,2025-12-26,a2605,空单持仓,A
3,中信期货,11744,-115.0,2025-12-26,a2605,空单持仓,A
4,乾坤期货,8363,187.0,2025-12-26,a2605,空单持仓,A
5,国投期货,6889,1277.0,2025-12-26,a2605,空单持仓,A
6,国信期货,5572,-30.0,2025-12-26,a2605,空单持仓,A
7,北京首创,5544,158.0,2025-12-26,a2605,空单持仓,A
8,国泰君安,5481,-895.0,2025-12-26,a2605,空单持仓,A
9,摩根大通,5005,-198.0,2025-12-26,a2605,空单持仓,A
10,永安期货,4899,-82.0,2025-12-26,a2605,空单持仓,A
11,一德期货,4591,-75.0,2025-12-26,a2605,空单持仓,A
12,华泰期货,4349,-685.0,2025-12-26,a2605,空单持仓,A
13,平安期货,4036,601.0,2025-12-26,a2605,空单持仓,A
14,南华期货,3834,-208.0,2025-12-26,a2605,空单持仓,A
15,中泰期货,3610,-133.0,2025-12-26,a2605,空单持仓,A
16,瑞银期货,2907,0.0,2025-12-26,a2605,空单持仓,A
17,兴证期货,2238,90.0,2025-12-26,a2605,空单持仓,A
18,瑞达期货,2210,103.0,2025-12-26,a2605,空单持仓,A
19,中州期货,2095,-12.0,2025-12-26,a2605,空单持仓,A
20,国海良时,2014,-13.0,2025-12-26,a2605,空单持仓,A
1,银河期货,28808,2412.0,2025-12-29,a2605,空单持仓,A
2,东证期货,17686,4807.0,2025-12-29,a2605,空单持仓,A
3,中信期货,9996,-1748.0,2025-12-29,a2605,空单持仓,A
4,国投期货,9334,2445.0,2025-12-29,a2605,空单持仓,A
5,乾坤期货,8097,-266.0,2025-12-29,a2605,空单持仓,A
6,北京首创,6617,1073.0,2025-12-29,a2605,空单持仓,A
7,一德期货,6277,1686.0,2025-12-29,a2605,空单持仓,A
8,国信期货,5481,-91.0,2025-12-29,a2605,空单持仓,A
9,国泰君安,5005,-476.0,2025-12-29,a2605,空单持仓,A
10,中粮期货,3914,2100.0,2025-12-29,a2605,空单持仓,A
11,中泰期货,3798,188.0,2025-12-29,a2605,空单持仓,A
12,摩根大通,3613,-1392.0,2025-12-29,a2605,空单持仓,A
13,南华期货,3504,-330.0,2025-12-29,a2605,空单持仓,A
14,瑞达期货,3320,1110.0,2025-12-29,a2605,空单持仓,A
15,平安期货,3275,-761.0,2025-12-29,a2605,空单持仓,A
16,宏源期货,3020,2001.0,2025-12-29,a2605,空单持仓,A
17,瑞银期货,2901,-6.0,2025-12-29,a2605,空单持仓,A
18,华泰期货,2842,-1507.0,2025-12-29,a2605,空单持仓,A
19,永安期货,2821,-2078.0,2025-12-29,a2605,空单持仓,A
20,国富期货,2166,820.0,2025-12-29,a2605,空单持仓,A
1,银河期货,33837,5029.0,2025-12-30,a2605,空单持仓,A
2,东证期货,25515,7829.0,2025-12-30,a2605,空单持仓,A
3,一德期货,13572,7295.0,2025-12-30,a2605,空单持仓,A
4,国投期货,10784,1450.0,2025-12-30,a2605,空单持仓,A
5,乾坤期货,7827,-270.0,2025-12-30,a2605,空单持仓,A
6,北京首创,7130,513.0,2025-12-30,a2605,空单持仓,A
7,南华期货,6940,3436.0,2025-12-30,a2605,空单持仓,A
8,中粮期货,6609,2695.0,2025-12-30,a2605,空单持仓,A
9,国泰君安,6070,1065.0,2025-12-30,a2605,空单持仓,A
10,国信期货,5935,454.0,2025-12-30,a2605,空单持仓,A
11,中信期货,5606,-4390.0,2025-12-30,a2605,空单持仓,A
12,宏源期货,4850,1830.0,2025-12-30,a2605,空单持仓,A
13,瑞达期货,4161,841.0,2025-12-30,a2605,空单持仓,A
14,中泰期货,3843,45.0,2025-12-30,a2605,空单持仓,A
15,永安期货,3471,650.0,2025-12-30,a2605,空单持仓,A
16,摩根大通,3200,-413.0,2025-12-30,a2605,空单持仓,A
17,瑞银期货,2890,-11.0,2025-12-30,a2605,空单持仓,A
18,国富期货,2876,710.0,2025-12-30,a2605,空单持仓,A
19,平安期货,2819,-456.0,2025-12-30,a2605,空单持仓,A
20,海通期货,2623,2052.0,2025-12-30,a2605,空单持仓,A
