排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,22086,-19396.0,2025-12-25,a2605,成交量,A
2,国投期货,16030,-6726.0,2025-12-25,a2605,成交量,A
3,国泰君安,14455,-7281.0,2025-12-25,a2605,成交量,A
4,中信期货,9149,-6664.0,2025-12-25,a2605,成交量,A
5,银河期货,5247,-3881.0,2025-12-25,a2605,成交量,A
6,华泰期货,4747,-1375.0,2025-12-25,a2605,成交量,A
7,永安期货,4002,-3034.0,2025-12-25,a2605,成交量,A
8,徽商期货,3561,940.0,2025-12-25,a2605,成交量,A
9,中泰期货,3319,979.0,2025-12-25,a2605,成交量,A
10,浙商期货,2956,-5416.0,2025-12-25,a2605,成交量,A
11,宏源期货,2695,-2497.0,2025-12-25,a2605,成交量,A
12,招商期货,2258,-1829.0,2025-12-25,a2605,成交量,A
13,光大期货,2202,-554.0,2025-12-25,a2605,成交量,A
14,海通期货,1828,-1135.0,2025-12-25,a2605,成交量,A
15,南华期货,1786,-774.0,2025-12-25,a2605,成交量,A
16,瑞达期货,1703,710.0,2025-12-25,a2605,成交量,A
17,冠通期货,1531,-1499.0,2025-12-25,a2605,成交量,A
18,一德期货,1520,906.0,2025-12-25,a2605,成交量,A
19,兴证期货,1424,-1488.0,2025-12-25,a2605,成交量,A
20,中信建投,1302,-398.0,2025-12-25,a2605,成交量,A
1,东证期货,28038,5952.0,2025-12-26,a2605,成交量,A
2,国投期货,18619,2589.0,2025-12-26,a2605,成交量,A
3,国泰君安,16302,1847.0,2025-12-26,a2605,成交量,A
4,中信期货,11163,2014.0,2025-12-26,a2605,成交量,A
5,华泰期货,6814,2067.0,2025-12-26,a2605,成交量,A
6,银河期货,5739,492.0,2025-12-26,a2605,成交量,A
7,永安期货,4388,386.0,2025-12-26,a2605,成交量,A
8,浙商期货,4304,1348.0,2025-12-26,a2605,成交量,A
9,光大期货,2739,537.0,2025-12-26,a2605,成交量,A
10,招商期货,2518,260.0,2025-12-26,a2605,成交量,A
11,徽商期货,2457,-1104.0,2025-12-26,a2605,成交量,A
12,南华期货,2154,368.0,2025-12-26,a2605,成交量,A
13,中泰期货,1902,-1417.0,2025-12-26,a2605,成交量,A
14,宏源期货,1898,-797.0,2025-12-26,a2605,成交量,A
15,冠通期货,1863,332.0,2025-12-26,a2605,成交量,A
16,华闻期货,1830,696.0,2025-12-26,a2605,成交量,A
17,中金财富,1685,811.0,2025-12-26,a2605,成交量,A
18,乾坤期货,1682,744.0,2025-12-26,a2605,成交量,A
19,中信建投,1659,357.0,2025-12-26,a2605,成交量,A
20,弘业期货,1581,1347.0,2025-12-26,a2605,成交量,A
1,东证期货,53240,25202.0,2025-12-29,a2605,成交量,A
2,国泰君安,24544,8242.0,2025-12-29,a2605,成交量,A
3,中信期货,21392,10229.0,2025-12-29,a2605,成交量,A
4,银河期货,14269,8530.0,2025-12-29,a2605,成交量,A
5,华泰期货,10718,3904.0,2025-12-29,a2605,成交量,A
6,国投期货,10075,-8544.0,2025-12-29,a2605,成交量,A
7,永安期货,9763,5375.0,2025-12-29,a2605,成交量,A
8,宏源期货,8340,6442.0,2025-12-29,a2605,成交量,A
9,南华期货,5125,2971.0,2025-12-29,a2605,成交量,A
10,招商期货,4317,1799.0,2025-12-29,a2605,成交量,A
11,中泰期货,4158,2256.0,2025-12-29,a2605,成交量,A
12,乾坤期货,4027,2345.0,2025-12-29,a2605,成交量,A
13,光大期货,3982,1243.0,2025-12-29,a2605,成交量,A
14,中粮期货,3925,3104.0,2025-12-29,a2605,成交量,A
15,海通期货,3852,2554.0,2025-12-29,a2605,成交量,A
16,徽商期货,3715,1258.0,2025-12-29,a2605,成交量,A
17,浙商期货,3618,-686.0,2025-12-29,a2605,成交量,A
18,东吴期货,3344,2232.0,2025-12-29,a2605,成交量,A
19,格林大华,3213,2028.0,2025-12-29,a2605,成交量,A
20,华闻期货,3171,1341.0,2025-12-29,a2605,成交量,A
1,东证期货,65114,11874.0,2025-12-30,a2605,成交量,A
2,国泰君安,30253,5709.0,2025-12-30,a2605,成交量,A
3,中信期货,24722,3330.0,2025-12-30,a2605,成交量,A
4,银河期货,16150,1881.0,2025-12-30,a2605,成交量,A
5,华泰期货,12715,1997.0,2025-12-30,a2605,成交量,A
6,国投期货,8321,-1754.0,2025-12-30,a2605,成交量,A
7,永安期货,8021,-1742.0,2025-12-30,a2605,成交量,A
8,海通期货,7551,3699.0,2025-12-30,a2605,成交量,A
9,宏源期货,6046,-2294.0,2025-12-30,a2605,成交量,A
10,一德期货,5496,3225.0,2025-12-30,a2605,成交量,A
11,徽商期货,5459,1744.0,2025-12-30,a2605,成交量,A
12,冠通期货,5058,2791.0,2025-12-30,a2605,成交量,A
13,乾坤期货,5050,1023.0,2025-12-30,a2605,成交量,A
14,中辉期货,4594,2510.0,2025-12-30,a2605,成交量,A
15,浙商期货,4520,902.0,2025-12-30,a2605,成交量,A
16,招商期货,4427,110.0,2025-12-30,a2605,成交量,A
17,华闻期货,4314,1143.0,2025-12-30,a2605,成交量,A
18,南华期货,4296,-829.0,2025-12-30,a2605,成交量,A
19,中信建投,3845,675.0,2025-12-30,a2605,成交量,A
20,光大期货,3767,-215.0,2025-12-30,a2605,成交量,A
