排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,26615,-3124.0,2025-12-25,ag2602,多单持仓,AG
2,国泰君安,26030,-1613.0,2025-12-25,ag2602,多单持仓,AG
3,东证期货,14421,-2489.0,2025-12-25,ag2602,多单持仓,AG
4,银河期货,10460,-866.0,2025-12-25,ag2602,多单持仓,AG
5,永安期货,10322,-694.0,2025-12-25,ag2602,多单持仓,AG
6,广发期货,8473,34.0,2025-12-25,ag2602,多单持仓,AG
7,华泰期货,8462,-1263.0,2025-12-25,ag2602,多单持仓,AG
8,东吴期货,6421,-845.0,2025-12-25,ag2602,多单持仓,AG
9,平安期货,6131,-275.0,2025-12-25,ag2602,多单持仓,AG
10,中信建投,5192,-90.0,2025-12-25,ag2602,多单持仓,AG
11,海通期货,5147,-1435.0,2025-12-25,ag2602,多单持仓,AG
12,五矿期货,5072,-451.0,2025-12-25,ag2602,多单持仓,AG
13,光大期货,4916,-38.0,2025-12-25,ag2602,多单持仓,AG
14,方正中期,4718,-375.0,2025-12-25,ag2602,多单持仓,AG
15,东亚期货,4456,-937.0,2025-12-25,ag2602,多单持仓,AG
16,申万期货,4437,97.0,2025-12-25,ag2602,多单持仓,AG
17,国投期货,4344,-1337.0,2025-12-25,ag2602,多单持仓,AG
18,一德期货,4242,-113.0,2025-12-25,ag2602,多单持仓,AG
19,乾坤期货,3832,241.0,2025-12-25,ag2602,多单持仓,AG
20,齐盛期货,3655,1383.0,2025-12-25,ag2602,多单持仓,AG
1,中信期货,23551,-3064.0,2025-12-26,ag2602,多单持仓,AG
2,国泰君安,22470,-3560.0,2025-12-26,ag2602,多单持仓,AG
3,东证期货,12896,-1525.0,2025-12-26,ag2602,多单持仓,AG
4,银河期货,9973,-487.0,2025-12-26,ag2602,多单持仓,AG
5,华泰期货,9615,1153.0,2025-12-26,ag2602,多单持仓,AG
6,海通期货,8345,3198.0,2025-12-26,ag2602,多单持仓,AG
7,广发期货,8234,-239.0,2025-12-26,ag2602,多单持仓,AG
8,永安期货,6967,-3355.0,2025-12-26,ag2602,多单持仓,AG
9,东吴期货,6298,-123.0,2025-12-26,ag2602,多单持仓,AG
10,中信建投,5319,127.0,2025-12-26,ag2602,多单持仓,AG
11,平安期货,5117,-1014.0,2025-12-26,ag2602,多单持仓,AG
12,五矿期货,5094,22.0,2025-12-26,ag2602,多单持仓,AG
13,方正中期,4683,-35.0,2025-12-26,ag2602,多单持仓,AG
14,国投期货,4489,145.0,2025-12-26,ag2602,多单持仓,AG
15,一德期货,4408,166.0,2025-12-26,ag2602,多单持仓,AG
16,光大期货,4307,-609.0,2025-12-26,ag2602,多单持仓,AG
17,乾坤期货,3855,23.0,2025-12-26,ag2602,多单持仓,AG
18,齐盛期货,3825,170.0,2025-12-26,ag2602,多单持仓,AG
19,华鑫期货,3584,79.0,2025-12-26,ag2602,多单持仓,AG
20,申万期货,3346,-1091.0,2025-12-26,ag2602,多单持仓,AG
1,中信期货,20911,-2640.0,2025-12-29,ag2602,多单持仓,AG
2,国泰君安,17991,-4479.0,2025-12-29,ag2602,多单持仓,AG
3,东证期货,11281,-1615.0,2025-12-29,ag2602,多单持仓,AG
4,银河期货,7005,-2968.0,2025-12-29,ag2602,多单持仓,AG
5,海通期货,5821,-2524.0,2025-12-29,ag2602,多单持仓,AG
6,广发期货,5759,-2475.0,2025-12-29,ag2602,多单持仓,AG
7,东吴期货,5339,-959.0,2025-12-29,ag2602,多单持仓,AG
8,永安期货,5041,-1926.0,2025-12-29,ag2602,多单持仓,AG
9,平安期货,5020,-97.0,2025-12-29,ag2602,多单持仓,AG
10,国投期货,4973,484.0,2025-12-29,ag2602,多单持仓,AG
11,华泰期货,4709,-4906.0,2025-12-29,ag2602,多单持仓,AG
12,东亚期货,4282,1452.0,2025-12-29,ag2602,多单持仓,AG
13,方正中期,3947,-736.0,2025-12-29,ag2602,多单持仓,AG
14,中信建投,3947,-1372.0,2025-12-29,ag2602,多单持仓,AG
15,福能期货,3604,457.0,2025-12-29,ag2602,多单持仓,AG
16,申万期货,3205,-141.0,2025-12-29,ag2602,多单持仓,AG
17,华鑫期货,3177,-407.0,2025-12-29,ag2602,多单持仓,AG
18,南华期货,3169,166.0,2025-12-29,ag2602,多单持仓,AG
19,西南期货,3117,112.0,2025-12-29,ag2602,多单持仓,AG
20,国联期货,2964,-372.0,2025-12-29,ag2602,多单持仓,AG
1,中信期货,22566,1831.0,2025-12-30,ag2604,多单持仓,AG
