排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,250236,-11191.0,2025-12-25,ag2602,成交量,AG
2,中信期货,230476,-17077.0,2025-12-25,ag2602,成交量,AG
3,东证期货,138946,-31470.0,2025-12-25,ag2602,成交量,AG
4,银河期货,99156,8546.0,2025-12-25,ag2602,成交量,AG
5,广发期货,96093,14294.0,2025-12-25,ag2602,成交量,AG
6,海通期货,93368,-4751.0,2025-12-25,ag2602,成交量,AG
7,华泰期货,80457,-12155.0,2025-12-25,ag2602,成交量,AG
8,中泰期货,68626,-1186.0,2025-12-25,ag2602,成交量,AG
9,中信建投,62371,-5052.0,2025-12-25,ag2602,成交量,AG
10,东方财富,57058,2522.0,2025-12-25,ag2602,成交量,AG
11,国信期货,51705,-23392.0,2025-12-25,ag2602,成交量,AG
12,平安期货,49388,582.0,2025-12-25,ag2602,成交量,AG
13,方正中期,45797,-8992.0,2025-12-25,ag2602,成交量,AG
14,南华期货,44858,-4702.0,2025-12-25,ag2602,成交量,AG
15,徽商期货,43280,-4400.0,2025-12-25,ag2602,成交量,AG
16,浙商期货,41401,126.0,2025-12-25,ag2602,成交量,AG
17,东吴期货,35938,1995.0,2025-12-25,ag2602,成交量,AG
18,宏源期货,34106,-11.0,2025-12-25,ag2602,成交量,AG
19,中辉期货,32743,-267.0,2025-12-25,ag2602,成交量,AG
20,申万期货,32657,-13700.0,2025-12-25,ag2602,成交量,AG
1,中信期货,206578,-23898.0,2025-12-26,ag2602,成交量,AG
2,国泰君安,200608,-49628.0,2025-12-26,ag2602,成交量,AG
3,东证期货,84926,-54020.0,2025-12-26,ag2602,成交量,AG
4,广发期货,81887,-14206.0,2025-12-26,ag2602,成交量,AG
5,海通期货,71082,-22286.0,2025-12-26,ag2602,成交量,AG
6,银河期货,66728,-32428.0,2025-12-26,ag2602,成交量,AG
7,中泰期货,55348,-13278.0,2025-12-26,ag2602,成交量,AG
8,华泰期货,49218,-31239.0,2025-12-26,ag2602,成交量,AG
9,平安期货,45503,-3885.0,2025-12-26,ag2602,成交量,AG
10,中信建投,44319,-18052.0,2025-12-26,ag2602,成交量,AG
11,东方财富,40795,-16263.0,2025-12-26,ag2602,成交量,AG
12,方正中期,37461,-8336.0,2025-12-26,ag2602,成交量,AG
13,徽商期货,33320,-9960.0,2025-12-26,ag2602,成交量,AG
14,国信期货,30673,-21032.0,2025-12-26,ag2602,成交量,AG
15,浙商期货,29970,-11431.0,2025-12-26,ag2602,成交量,AG
16,瑞达期货,26098,379.0,2025-12-26,ag2602,成交量,AG
17,华闻期货,25729,2423.0,2025-12-26,ag2602,成交量,AG
18,申万期货,24896,-7761.0,2025-12-26,ag2602,成交量,AG
19,民生期货,24261,-5194.0,2025-12-26,ag2602,成交量,AG
20,中辉期货,23758,-8985.0,2025-12-26,ag2602,成交量,AG
1,国泰君安,303146,102538.0,2025-12-29,ag2602,成交量,AG
2,中信期货,233278,26700.0,2025-12-29,ag2602,成交量,AG
3,广发期货,147958,66071.0,2025-12-29,ag2602,成交量,AG
4,东证期货,146069,61143.0,2025-12-29,ag2602,成交量,AG
5,华泰期货,114294,65076.0,2025-12-29,ag2602,成交量,AG
6,银河期货,112601,45873.0,2025-12-29,ag2602,成交量,AG
7,国信期货,79307,48634.0,2025-12-29,ag2602,成交量,AG
8,平安期货,66888,21385.0,2025-12-29,ag2602,成交量,AG
9,中泰期货,66072,10724.0,2025-12-29,ag2602,成交量,AG
10,中信建投,65414,21095.0,2025-12-29,ag2602,成交量,AG
11,海通期货,64740,-6342.0,2025-12-29,ag2602,成交量,AG
12,东方财富,62649,21854.0,2025-12-29,ag2602,成交量,AG
13,方正中期,50970,13509.0,2025-12-29,ag2602,成交量,AG
14,华闻期货,46602,20873.0,2025-12-29,ag2602,成交量,AG
