排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,30027,-1752.0,2025-12-25,al2602,空单持仓,AL
2,国泰君安,26755,2294.0,2025-12-25,al2602,空单持仓,AL
3,浙商期货,20836,-49.0,2025-12-25,al2602,空单持仓,AL
4,中泰期货,13356,58.0,2025-12-25,al2602,空单持仓,AL
5,银河期货,13241,-1078.0,2025-12-25,al2602,空单持仓,AL
6,东证期货,11444,-755.0,2025-12-25,al2602,空单持仓,AL
7,方正中期,11159,-92.0,2025-12-25,al2602,空单持仓,AL
8,中信建投,9347,-1310.0,2025-12-25,al2602,空单持仓,AL
9,华泰期货,8156,385.0,2025-12-25,al2602,空单持仓,AL
10,金瑞期货,5992,202.0,2025-12-25,al2602,空单持仓,AL
11,先融期货,5321,-26.0,2025-12-25,al2602,空单持仓,AL
12,中粮期货,4724,-46.0,2025-12-25,al2602,空单持仓,AL
13,申万期货,4610,-32.0,2025-12-25,al2602,空单持仓,AL
14,国贸期货,4297,31.0,2025-12-25,al2602,空单持仓,AL
15,招商期货,4280,-70.0,2025-12-25,al2602,空单持仓,AL
16,广发期货,4225,-124.0,2025-12-25,al2602,空单持仓,AL
17,永安期货,4097,148.0,2025-12-25,al2602,空单持仓,AL
18,国联期货,4092,-606.0,2025-12-25,al2602,空单持仓,AL
19,长江期货,3840,-133.0,2025-12-25,al2602,空单持仓,AL
20,光大期货,3827,301.0,2025-12-25,al2602,空单持仓,AL
1,中信期货,33556,3529.0,2025-12-26,al2602,空单持仓,AL
2,国泰君安,25208,-1547.0,2025-12-26,al2602,空单持仓,AL
3,浙商期货,20738,-98.0,2025-12-26,al2602,空单持仓,AL
4,银河期货,14109,868.0,2025-12-26,al2602,空单持仓,AL
5,中泰期货,14049,693.0,2025-12-26,al2602,空单持仓,AL
6,东证期货,10691,-753.0,2025-12-26,al2602,空单持仓,AL
7,方正中期,10238,-921.0,2025-12-26,al2602,空单持仓,AL
8,华泰期货,9992,1836.0,2025-12-26,al2602,空单持仓,AL
9,中信建投,8939,-408.0,2025-12-26,al2602,空单持仓,AL
10,金瑞期货,6516,524.0,2025-12-26,al2602,空单持仓,AL
11,中粮期货,5985,1261.0,2025-12-26,al2602,空单持仓,AL
12,先融期货,5334,13.0,2025-12-26,al2602,空单持仓,AL
13,国贸期货,4941,644.0,2025-12-26,al2602,空单持仓,AL
14,长江期货,4662,822.0,2025-12-26,al2602,空单持仓,AL
15,申万期货,4505,-105.0,2025-12-26,al2602,空单持仓,AL
16,招商期货,4200,-80.0,2025-12-26,al2602,空单持仓,AL
17,广发期货,4175,-50.0,2025-12-26,al2602,空单持仓,AL
18,国联期货,4173,81.0,2025-12-26,al2602,空单持仓,AL
19,永安期货,4031,-66.0,2025-12-26,al2602,空单持仓,AL
20,东吴期货,3946,305.0,2025-12-26,al2602,空单持仓,AL
1,中信期货,33940,384.0,2025-12-29,al2602,空单持仓,AL
2,国泰君安,25802,594.0,2025-12-29,al2602,空单持仓,AL
3,浙商期货,20172,-566.0,2025-12-29,al2602,空单持仓,AL
4,银河期货,13881,-228.0,2025-12-29,al2602,空单持仓,AL
5,中泰期货,13133,-916.0,2025-12-29,al2602,空单持仓,AL
6,东证期货,11768,1077.0,2025-12-29,al2602,空单持仓,AL
7,华泰期货,11027,1035.0,2025-12-29,al2602,空单持仓,AL
8,方正中期,9498,-740.0,2025-12-29,al2602,空单持仓,AL
9,中信建投,7574,-1365.0,2025-12-29,al2602,空单持仓,AL
10,金瑞期货,5883,-633.0,2025-12-29,al2602,空单持仓,AL
11,中粮期货,5802,-183.0,2025-12-29,al2602,空单持仓,AL
12,先融期货,5307,-27.0,2025-12-29,al2602,空单持仓,AL
13,国贸期货,4904,-37.0,2025-12-29,al2602,空单持仓,AL
14,招商期货,4254,54.0,2025-12-29,al2602,空单持仓,AL
15,永安期货,4244,213.0,2025-12-29,al2602,空单持仓,AL
16,长江期货,3970,-692.0,2025-12-29,al2602,空单持仓,AL
17,新湖期货,3950,190.0,2025-12-29,al2602,空单持仓,AL
18,广发期货,3825,-350.0,2025-12-29,al2602,空单持仓,AL
19,申万期货,3737,-768.0,2025-12-29,al2602,空单持仓,AL
20,华宝期货,3511,4.0,2025-12-29,al2602,空单持仓,AL
1,中信期货,29830,-4110.0,2025-12-30,al2602,空单持仓,AL
2,国泰君安,21311,-4491.0,2025-12-30,al2602,空单持仓,AL
3,浙商期货,19537,-635.0,2025-12-30,al2602,空单持仓,AL
4,银河期货,13773,-108.0,2025-12-30,al2602,空单持仓,AL
5,中泰期货,12671,-462.0,2025-12-30,al2602,空单持仓,AL
6,东证期货,10948,-820.0,2025-12-30,al2602,空单持仓,AL
7,方正中期,8952,-546.0,2025-12-30,al2602,空单持仓,AL
8,华泰期货,8677,-2350.0,2025-12-30,al2602,空单持仓,AL
9,中信建投,7094,-480.0,2025-12-30,al2602,空单持仓,AL
