排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,17626,-1497.0,2025-12-25,au2602,多单持仓,AU
2,中信期货,16702,-412.0,2025-12-25,au2602,多单持仓,AU
3,东证期货,13382,12.0,2025-12-25,au2602,多单持仓,AU
4,国投期货,8573,84.0,2025-12-25,au2602,多单持仓,AU
5,华泰期货,5890,-7.0,2025-12-25,au2602,多单持仓,AU
6,银河期货,5679,-415.0,2025-12-25,au2602,多单持仓,AU
7,中信建投,5058,1.0,2025-12-25,au2602,多单持仓,AU
8,永安期货,4311,-76.0,2025-12-25,au2602,多单持仓,AU
9,广发期货,4292,-543.0,2025-12-25,au2602,多单持仓,AU
10,中财期货,3715,-825.0,2025-12-25,au2602,多单持仓,AU
11,平安期货,3404,39.0,2025-12-25,au2602,多单持仓,AU
12,招商期货,3207,-200.0,2025-12-25,au2602,多单持仓,AU
13,东吴期货,3168,-308.0,2025-12-25,au2602,多单持仓,AU
14,方正中期,3046,-57.0,2025-12-25,au2602,多单持仓,AU
15,申万期货,2520,-18.0,2025-12-25,au2602,多单持仓,AU
16,光大期货,2448,-144.0,2025-12-25,au2602,多单持仓,AU
17,中辉期货,2434,-28.0,2025-12-25,au2602,多单持仓,AU
18,国金期货,2403,22.0,2025-12-25,au2602,多单持仓,AU
19,南华期货,2241,117.0,2025-12-25,au2602,多单持仓,AU
20,中金财富,2234,-112.0,2025-12-25,au2602,多单持仓,AU
1,国泰君安,16910,-716.0,2025-12-26,au2602,多单持仓,AU
2,中信期货,16020,-682.0,2025-12-26,au2602,多单持仓,AU
3,东证期货,13951,569.0,2025-12-26,au2602,多单持仓,AU
4,国投期货,8904,331.0,2025-12-26,au2602,多单持仓,AU
5,华泰期货,5940,50.0,2025-12-26,au2602,多单持仓,AU
6,银河期货,5625,-54.0,2025-12-26,au2602,多单持仓,AU
7,中信建投,4942,-116.0,2025-12-26,au2602,多单持仓,AU
8,广发期货,4404,112.0,2025-12-26,au2602,多单持仓,AU
9,永安期货,4156,-155.0,2025-12-26,au2602,多单持仓,AU
10,中财期货,3978,263.0,2025-12-26,au2602,多单持仓,AU
11,平安期货,3733,329.0,2025-12-26,au2602,多单持仓,AU
12,招商期货,3287,80.0,2025-12-26,au2602,多单持仓,AU
13,东吴期货,3105,-63.0,2025-12-26,au2602,多单持仓,AU
14,方正中期,2752,-294.0,2025-12-26,au2602,多单持仓,AU
15,光大期货,2550,102.0,2025-12-26,au2602,多单持仓,AU
16,申万期货,2502,-18.0,2025-12-26,au2602,多单持仓,AU
17,国金期货,2490,87.0,2025-12-26,au2602,多单持仓,AU
18,南华期货,2475,234.0,2025-12-26,au2602,多单持仓,AU
19,中辉期货,2451,17.0,2025-12-26,au2602,多单持仓,AU
20,中金财富,2277,43.0,2025-12-26,au2602,多单持仓,AU
1,国泰君安,15557,-1353.0,2025-12-29,au2602,多单持仓,AU
2,中信期货,15411,-609.0,2025-12-29,au2602,多单持仓,AU
