排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,8995,181.0,2025-12-25,au2602,空单持仓,AU
2,华泰期货,4799,155.0,2025-12-25,au2602,空单持仓,AU
3,中信期货,4462,327.0,2025-12-25,au2602,空单持仓,AU
4,中信建投,3058,-113.0,2025-12-25,au2602,空单持仓,AU
5,东证期货,2535,152.0,2025-12-25,au2602,空单持仓,AU
6,齐盛期货,2445,-379.0,2025-12-25,au2602,空单持仓,AU
7,金瑞期货,2149,-30.0,2025-12-25,au2602,空单持仓,AU
8,银河期货,2000,-194.0,2025-12-25,au2602,空单持仓,AU
9,方正中期,1400,38.0,2025-12-25,au2602,空单持仓,AU
10,五矿期货,1078,-37.0,2025-12-25,au2602,空单持仓,AU
11,光大期货,779,-57.0,2025-12-25,au2602,空单持仓,AU
12,铜冠金源,726,56.0,2025-12-25,au2602,空单持仓,AU
13,国投期货,679,24.0,2025-12-25,au2602,空单持仓,AU
14,大有期货,663,-9.0,2025-12-25,au2602,空单持仓,AU
15,永安期货,593,66.0,2025-12-25,au2602,空单持仓,AU
16,广发期货,571,66.0,2025-12-25,au2602,空单持仓,AU
17,建信期货,538,-150.0,2025-12-25,au2602,空单持仓,AU
18,招商期货,490,-16.0,2025-12-25,au2602,空单持仓,AU
19,中泰期货,437,0.0,2025-12-25,au2602,空单持仓,AU
20,海通期货,417,-12.0,2025-12-25,au2602,空单持仓,AU
1,国泰君安,8807,-188.0,2025-12-26,au2602,空单持仓,AU
2,华泰期货,5166,367.0,2025-12-26,au2602,空单持仓,AU
3,中信期货,4481,19.0,2025-12-26,au2602,空单持仓,AU
4,中信建投,3060,2.0,2025-12-26,au2602,空单持仓,AU
5,齐盛期货,2673,228.0,2025-12-26,au2602,空单持仓,AU
6,东证期货,2410,-125.0,2025-12-26,au2602,空单持仓,AU
7,银河期货,1996,-4.0,2025-12-26,au2602,空单持仓,AU
8,金瑞期货,1688,-461.0,2025-12-26,au2602,空单持仓,AU
9,方正中期,1363,-37.0,2025-12-26,au2602,空单持仓,AU
10,五矿期货,1060,-18.0,2025-12-26,au2602,空单持仓,AU
11,铜冠金源,811,85.0,2025-12-26,au2602,空单持仓,AU
12,光大期货,789,10.0,2025-12-26,au2602,空单持仓,AU
13,国投期货,699,20.0,2025-12-26,au2602,空单持仓,AU
14,大有期货,642,-21.0,2025-12-26,au2602,空单持仓,AU
15,广发期货,607,36.0,2025-12-26,au2602,空单持仓,AU
16,永安期货,578,-15.0,2025-12-26,au2602,空单持仓,AU
17,建信期货,558,20.0,2025-12-26,au2602,空单持仓,AU
18,徽商期货,549,150.0,2025-12-26,au2602,空单持仓,AU
19,招商期货,488,-2.0,2025-12-26,au2602,空单持仓,AU
20,平安期货,488,122.0,2025-12-26,au2602,空单持仓,AU
1,国泰君安,8045,-762.0,2025-12-29,au2602,空单持仓,AU
2,华泰期货,4819,-347.0,2025-12-29,au2602,空单持仓,AU
3,中信期货,4093,-388.0,2025-12-29,au2602,空单持仓,AU
4,中信建投,3032,-28.0,2025-12-29,au2602,空单持仓,AU
5,东证期货,2545,135.0,2025-12-29,au2602,空单持仓,AU
6,齐盛期货,2332,-341.0,2025-12-29,au2602,空单持仓,AU
7,银河期货,1904,-92.0,2025-12-29,au2602,空单持仓,AU
8,金瑞期货,1630,-58.0,2025-12-29,au2602,空单持仓,AU
9,方正中期,1234,-129.0,2025-12-29,au2602,空单持仓,AU
10,五矿期货,1016,-44.0,2025-12-29,au2602,空单持仓,AU
11,铜冠金源,811,0.0,2025-12-29,au2602,空单持仓,AU
12,浙商期货,729,366.0,2025-12-29,au2602,空单持仓,AU
13,光大期货,691,-98.0,2025-12-29,au2602,空单持仓,AU
14,国投期货,685,-14.0,2025-12-29,au2602,空单持仓,AU
15,永安期货,546,-32.0,2025-12-29,au2602,空单持仓,AU
16,广发期货,541,-66.0,2025-12-29,au2602,空单持仓,AU
17,大有期货,496,-146.0,2025-12-29,au2602,空单持仓,AU
18,海通期货,426,16.0,2025-12-29,au2602,空单持仓,AU
19,中泰期货,419,-25.0,2025-12-29,au2602,空单持仓,AU
20,平安期货,403,-85.0,2025-12-29,au2602,空单持仓,AU
1,国泰君安,7039,-1006.0,2025-12-30,au2602,空单持仓,AU
2,中信期货,3102,-991.0,2025-12-30,au2602,空单持仓,AU
3,中信建投,2963,-69.0,2025-12-30,au2602,空单持仓,AU
4,东证期货,2777,232.0,2025-12-30,au2602,空单持仓,AU
5,齐盛期货,2486,154.0,2025-12-30,au2602,空单持仓,AU
6,华泰期货,2483,-2336.0,2025-12-30,au2602,空单持仓,AU
7,银河期货,1765,-139.0,2025-12-30,au2602,空单持仓,AU
8,金瑞期货,1675,45.0,2025-12-30,au2602,空单持仓,AU
9,中银期货,1266,878.0,2025-12-30,au2602,空单持仓,AU
10,方正中期,1133,-101.0,2025-12-30,au2602,空单持仓,AU
11,五矿期货,1098,82.0,2025-12-30,au2602,空单持仓,AU
12,铜冠金源,854,43.0,2025-12-30,au2602,空单持仓,AU
