排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,14873,-590.0,2025-12-25,bu2602,空单持仓,BU
2,银河期货,10865,28.0,2025-12-25,bu2602,空单持仓,BU
3,国泰君安,10373,-208.0,2025-12-25,bu2602,空单持仓,BU
4,东证期货,10266,189.0,2025-12-25,bu2602,空单持仓,BU
5,乾坤期货,9566,-2083.0,2025-12-25,bu2602,空单持仓,BU
6,华泰期货,8416,24.0,2025-12-25,bu2602,空单持仓,BU
7,永安期货,7194,-87.0,2025-12-25,bu2602,空单持仓,BU
8,国投期货,5986,-193.0,2025-12-25,bu2602,空单持仓,BU
9,五矿期货,5648,-75.0,2025-12-25,bu2602,空单持仓,BU
10,中泰期货,5527,-743.0,2025-12-25,bu2602,空单持仓,BU
11,宏源期货,5110,425.0,2025-12-25,bu2602,空单持仓,BU
12,盛达期货,4722,23.0,2025-12-25,bu2602,空单持仓,BU
13,大地期货,4452,639.0,2025-12-25,bu2602,空单持仓,BU
14,浙商期货,4373,-1312.0,2025-12-25,bu2602,空单持仓,BU
15,广发期货,4142,352.0,2025-12-25,bu2602,空单持仓,BU
16,物产中大,3869,386.0,2025-12-25,bu2602,空单持仓,BU
17,海通期货,3447,-392.0,2025-12-25,bu2602,空单持仓,BU
18,申万期货,3291,-821.0,2025-12-25,bu2602,空单持仓,BU
19,东海期货,3074,-2032.0,2025-12-25,bu2602,空单持仓,BU
20,瑞银期货,3033,-9.0,2025-12-25,bu2602,空单持仓,BU
1,中信期货,10882,-3991.0,2025-12-26,bu2602,空单持仓,BU
2,银河期货,10431,-434.0,2025-12-26,bu2602,空单持仓,BU
3,国泰君安,10290,-83.0,2025-12-26,bu2602,空单持仓,BU
4,东证期货,8998,-1268.0,2025-12-26,bu2602,空单持仓,BU
5,华泰期货,8500,84.0,2025-12-26,bu2602,空单持仓,BU
6,永安期货,7986,792.0,2025-12-26,bu2602,空单持仓,BU
7,乾坤期货,7290,-2276.0,2025-12-26,bu2602,空单持仓,BU
8,中泰期货,4887,-640.0,2025-12-26,bu2602,空单持仓,BU
9,大地期货,4841,389.0,2025-12-26,bu2602,空单持仓,BU
10,盛达期货,4691,-31.0,2025-12-26,bu2602,空单持仓,BU
11,物产中大,4363,494.0,2025-12-26,bu2602,空单持仓,BU
12,国投期货,4090,-1896.0,2025-12-26,bu2602,空单持仓,BU
13,五矿期货,3731,-1917.0,2025-12-26,bu2602,空单持仓,BU
14,浙商期货,3667,-706.0,2025-12-26,bu2602,空单持仓,BU
15,广发期货,3627,-515.0,2025-12-26,bu2602,空单持仓,BU
16,宏源期货,3074,-2036.0,2025-12-26,bu2602,空单持仓,BU
17,申万期货,2922,-369.0,2025-12-26,bu2602,空单持仓,BU
18,华安期货,2657,257.0,2025-12-26,bu2602,空单持仓,BU
19,中融汇信,2128,2.0,2025-12-26,bu2602,空单持仓,BU
20,中航期货,2018,-11.0,2025-12-26,bu2602,空单持仓,BU
1,乾坤期货,13651,3175.0,2025-12-29,bu2603,空单持仓,BU
2,中信期货,12905,1628.0,2025-12-29,bu2603,空单持仓,BU
3,浙商期货,12838,84.0,2025-12-29,bu2603,空单持仓,BU
4,银河期货,12470,292.0,2025-12-29,bu2603,空单持仓,BU
5,国泰君安,10363,955.0,2025-12-29,bu2603,空单持仓,BU
6,华泰期货,7174,1452.0,2025-12-29,bu2603,空单持仓,BU
7,中泰期货,7063,-396.0,2025-12-29,bu2603,空单持仓,BU
8,中粮期货,5431,-95.0,2025-12-29,bu2603,空单持仓,BU
9,申万期货,5125,435.0,2025-12-29,bu2603,空单持仓,BU
10,东证期货,4771,-169.0,2025-12-29,bu2603,空单持仓,BU
11,宏源期货,4315,373.0,2025-12-29,bu2603,空单持仓,BU
12,国投期货,4182,-606.0,2025-12-29,bu2603,空单持仓,BU
13,招商期货,4051,520.0,2025-12-29,bu2603,空单持仓,BU
14,五矿期货,4050,328.0,2025-12-29,bu2603,空单持仓,BU
15,国贸期货,3974,549.0,2025-12-29,bu2603,空单持仓,BU
16,东海期货,3723,17.0,2025-12-29,bu2603,空单持仓,BU
17,国元期货,3601,184.0,2025-12-29,bu2603,空单持仓,BU
18,中金财富,3295,26.0,2025-12-29,bu2603,空单持仓,BU
19,海通期货,3161,108.0,2025-12-29,bu2603,空单持仓,BU
20,物产中大,2675,-518.0,2025-12-29,bu2603,空单持仓,BU
1,乾坤期货,14214,563.0,2025-12-30,bu2603,空单持仓,BU
2,浙商期货,14173,1335.0,2025-12-30,bu2603,空单持仓,BU
3,中信期货,13388,483.0,2025-12-30,bu2603,空单持仓,BU
4,银河期货,13135,665.0,2025-12-30,bu2603,空单持仓,BU
5,国泰君安,10335,-28.0,2025-12-30,bu2603,空单持仓,BU
6,华泰期货,7889,715.0,2025-12-30,bu2603,空单持仓,BU
7,中泰期货,7674,611.0,2025-12-30,bu2603,空单持仓,BU
8,中粮期货,5704,273.0,2025-12-30,bu2603,空单持仓,BU
9,东证期货,5372,601.0,2025-12-30,bu2603,空单持仓,BU
10,申万期货,5270,145.0,2025-12-30,bu2603,空单持仓,BU
11,五矿期货,5018,968.0,2025-12-30,bu2603,空单持仓,BU
12,宏源期货,4938,623.0,2025-12-30,bu2603,空单持仓,BU
13,招商期货,4460,409.0,2025-12-30,bu2603,空单持仓,BU
14,海通期货,4362,1201.0,2025-12-30,bu2603,空单持仓,BU
15,国贸期货,4053,79.0,2025-12-30,bu2603,空单持仓,BU
16,国元期货,3836,235.0,2025-12-30,bu2603,空单持仓,BU
17,东海期货,3778,55.0,2025-12-30,bu2603,空单持仓,BU
18,国投期货,3464,-718.0,2025-12-30,bu2603,空单持仓,BU
19,中金财富,3181,-114.0,2025-12-30,bu2603,空单持仓,BU
20,盛达期货,2570,350.0,2025-12-30,bu2603,空单持仓,BU
1,中信期货,15047,1659.0,2025-12-31,bu2603,空单持仓,BU
2,乾坤期货,14536,322.0,2025-12-31,bu2603,空单持仓,BU
3,浙商期货,14218,45.0,2025-12-31,bu2603,空单持仓,BU
4,银河期货,13161,26.0,2025-12-31,bu2603,空单持仓,BU
5,国泰君安,11843,1508.0,2025-12-31,bu2603,空单持仓,BU
6,华泰期货,7814,-75.0,2025-12-31,bu2603,空单持仓,BU
7,中泰期货,7553,-121.0,2025-12-31,bu2603,空单持仓,BU
8,东证期货,6467,1095.0,2025-12-31,bu2603,空单持仓,BU
9,五矿期货,6225,1207.0,2025-12-31,bu2603,空单持仓,BU
