排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,87819,-21169.0,2025-12-25,bu2602,成交量,BU
2,东证期货,34207,-14915.0,2025-12-25,bu2602,成交量,BU
3,国泰君安,23892,-2349.0,2025-12-25,bu2602,成交量,BU
4,中泰期货,18153,-2747.0,2025-12-25,bu2602,成交量,BU
5,华闻期货,13824,-3629.0,2025-12-25,bu2602,成交量,BU
6,银河期货,9347,-3216.0,2025-12-25,bu2602,成交量,BU
7,海通期货,8032,-1909.0,2025-12-25,bu2602,成交量,BU
8,广发期货,7007,2789.0,2025-12-25,bu2602,成交量,BU
9,华泰期货,6978,-3380.0,2025-12-25,bu2602,成交量,BU
10,浙商期货,6347,-2174.0,2025-12-25,bu2602,成交量,BU
11,申万期货,4057,-628.0,2025-12-25,bu2602,成交量,BU
12,招商期货,4006,1093.0,2025-12-25,bu2602,成交量,BU
13,宏源期货,3776,-1278.0,2025-12-25,bu2602,成交量,BU
14,东海期货,3699,947.0,2025-12-25,bu2602,成交量,BU
15,中信建投,3665,-808.0,2025-12-25,bu2602,成交量,BU
16,民生期货,3130,1768.0,2025-12-25,bu2602,成交量,BU
17,国信期货,2923,-199.0,2025-12-25,bu2602,成交量,BU
18,徽商期货,2866,-634.0,2025-12-25,bu2602,成交量,BU
19,永安期货,2828,31.0,2025-12-25,bu2602,成交量,BU
20,五矿期货,2816,902.0,2025-12-25,bu2602,成交量,BU
1,中信期货,98729,10910.0,2025-12-26,bu2602,成交量,BU
2,东证期货,40947,6740.0,2025-12-26,bu2602,成交量,BU
3,国泰君安,27152,3260.0,2025-12-26,bu2602,成交量,BU
4,华闻期货,18954,5130.0,2025-12-26,bu2602,成交量,BU
5,浙商期货,15835,9488.0,2025-12-26,bu2602,成交量,BU
6,海通期货,12580,4548.0,2025-12-26,bu2602,成交量,BU
7,银河期货,10532,1185.0,2025-12-26,bu2602,成交量,BU
8,中泰期货,10077,-8076.0,2025-12-26,bu2602,成交量,BU
9,宏源期货,7349,3573.0,2025-12-26,bu2602,成交量,BU
10,华泰期货,7008,30.0,2025-12-26,bu2602,成交量,BU
11,国投期货,6239,4509.0,2025-12-26,bu2602,成交量,BU
12,广发期货,5491,-1516.0,2025-12-26,bu2602,成交量,BU
13,五矿期货,4955,2139.0,2025-12-26,bu2602,成交量,BU
14,申万期货,4268,211.0,2025-12-26,bu2602,成交量,BU
15,徽商期货,4031,1165.0,2025-12-26,bu2602,成交量,BU
16,招商期货,3452,-554.0,2025-12-26,bu2602,成交量,BU
17,乾坤期货,3417,1334.0,2025-12-26,bu2602,成交量,BU
18,永安期货,3068,240.0,2025-12-26,bu2602,成交量,BU
19,东海期货,3045,-654.0,2025-12-26,bu2602,成交量,BU
20,中信建投,2770,-895.0,2025-12-26,bu2602,成交量,BU
1,中信期货,40184,15618.0,2025-12-29,bu2603,成交量,BU
2,东证期货,30027,13583.0,2025-12-29,bu2603,成交量,BU
3,国泰君安,19270,3854.0,2025-12-29,bu2603,成交量,BU
4,华泰期货,7342,4511.0,2025-12-29,bu2603,成交量,BU
5,中泰期货,6465,869.0,2025-12-29,bu2603,成交量,BU
6,海通期货,5520,1107.0,2025-12-29,bu2603,成交量,BU
7,银河期货,5356,2432.0,2025-12-29,bu2603,成交量,BU
8,乾坤期货,4769,2548.0,2025-12-29,bu2603,成交量,BU
9,华闻期货,3814,-1016.0,2025-12-29,bu2603,成交量,BU
10,宏源期货,2968,985.0,2025-12-29,bu2603,成交量,BU
11,五矿期货,2928,1787.0,2025-12-29,bu2603,成交量,BU
12,东海期货,2632,1713.0,2025-12-29,bu2603,成交量,BU
13,申万期货,2323,221.0,2025-12-29,bu2603,成交量,BU
14,国投期货,2306,1839.0,2025-12-29,bu2603,成交量,BU
15,国信期货,2276,889.0,2025-12-29,bu2603,成交量,BU
16,国元期货,2199,899.0,2025-12-29,bu2603,成交量,BU
17,浙商期货,2081,-2727.0,2025-12-29,bu2603,成交量,BU
18,瑞达期货,1965,461.0,2025-12-29,bu2603,成交量,BU
19,国贸期货,1912,-461.0,2025-12-29,bu2603,成交量,BU
20,中原期货,1888,745.0,2025-12-29,bu2603,成交量,BU
1,中信期货,54606,14422.0,2025-12-30,bu2603,成交量,BU
2,东证期货,36763,6736.0,2025-12-30,bu2603,成交量,BU
3,国泰君安,25312,6042.0,2025-12-30,bu2603,成交量,BU
4,海通期货,10408,4888.0,2025-12-30,bu2603,成交量,BU
5,中泰期货,9127,2662.0,2025-12-30,bu2603,成交量,BU
6,华泰期货,8605,1263.0,2025-12-30,bu2603,成交量,BU
7,银河期货,6582,1226.0,2025-12-30,bu2603,成交量,BU
8,华闻期货,5891,2077.0,2025-12-30,bu2603,成交量,BU
9,浙商期货,5801,3720.0,2025-12-30,bu2603,成交量,BU
10,五矿期货,4942,2014.0,2025-12-30,bu2603,成交量,BU
11,中财期货,4544,4122.0,2025-12-30,bu2603,成交量,BU
12,海证期货,4010,3504.0,2025-12-30,bu2603,成交量,BU
13,南华期货,3968,3425.0,2025-12-30,bu2603,成交量,BU
14,申万期货,3836,1513.0,2025-12-30,bu2603,成交量,BU
15,广发期货,3633,1873.0,2025-12-30,bu2603,成交量,BU
16,盛达期货,3412,1964.0,2025-12-30,bu2603,成交量,BU
17,国投期货,3321,1015.0,2025-12-30,bu2603,成交量,BU
18,宏源期货,3225,257.0,2025-12-30,bu2603,成交量,BU
19,瑞达期货,3210,1245.0,2025-12-30,bu2603,成交量,BU
20,东海期货,3109,477.0,2025-12-30,bu2603,成交量,BU
1,中信期货,39482,-15124.0,2025-12-31,bu2603,成交量,BU
2,东证期货,28602,-8161.0,2025-12-31,bu2603,成交量,BU
3,国泰君安,20209,-5103.0,2025-12-31,bu2603,成交量,BU
4,海通期货,7323,-3085.0,2025-12-31,bu2603,成交量,BU
5,华泰期货,7235,-1370.0,2025-12-31,bu2603,成交量,BU
6,中泰期货,4951,-4176.0,2025-12-31,bu2603,成交量,BU
7,华闻期货,4679,-1212.0,2025-12-31,bu2603,成交量,BU
8,永安期货,4320,1371.0,2025-12-31,bu2603,成交量,BU
9,银河期货,4219,-2363.0,2025-12-31,bu2603,成交量,BU
10,浙商期货,3704,-2097.0,2025-12-31,bu2603,成交量,BU
11,国投期货,2471,-850.0,2025-12-31,bu2603,成交量,BU
12,方正中期,2288,-249.0,2025-12-31,bu2603,成交量,BU
13,五矿期货,2247,-2695.0,2025-12-31,bu2603,成交量,BU
14,东海期货,2245,-864.0,2025-12-31,bu2603,成交量,BU
15,国信期货,2137,-810.0,2025-12-31,bu2603,成交量,BU
16,申万期货,2037,-1799.0,2025-12-31,bu2603,成交量,BU
17,宝城期货,2027,142.0,2025-12-31,bu2603,成交量,BU
18,物产中大,2024,557.0,2025-12-31,bu2603,成交量,BU
19,宏源期货,2012,-1213.0,2025-12-31,bu2603,成交量,BU
