排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,125836,-7120.0,2025-12-25,c2603,多单持仓,C
2,东证期货,98867,2946.0,2025-12-25,c2603,多单持仓,C
3,中信期货,95442,675.0,2025-12-25,c2603,多单持仓,C
4,银河期货,72537,3837.0,2025-12-25,c2603,多单持仓,C
5,浙商期货,51495,-3592.0,2025-12-25,c2603,多单持仓,C
6,中信建投,44175,398.0,2025-12-25,c2603,多单持仓,C
7,永安期货,38359,4225.0,2025-12-25,c2603,多单持仓,C
8,中粮期货,38209,2002.0,2025-12-25,c2603,多单持仓,C
9,广发期货,37676,1645.0,2025-12-25,c2603,多单持仓,C
10,国投期货,21063,431.0,2025-12-25,c2603,多单持仓,C
11,中金财富,20832,-1194.0,2025-12-25,c2603,多单持仓,C
12,五矿期货,20147,90.0,2025-12-25,c2603,多单持仓,C
13,中泰期货,16445,-158.0,2025-12-25,c2603,多单持仓,C
14,华泰期货,14717,-1446.0,2025-12-25,c2603,多单持仓,C
15,瑞达期货,14078,-112.0,2025-12-25,c2603,多单持仓,C
16,平安期货,12247,420.0,2025-12-25,c2603,多单持仓,C
17,华金期货,12043,745.0,2025-12-25,c2603,多单持仓,C
18,南华期货,11844,1514.0,2025-12-25,c2603,多单持仓,C
19,东方财富,11407,1056.0,2025-12-25,c2603,多单持仓,C
20,光大期货,10232,-1561.0,2025-12-25,c2603,多单持仓,C
1,国泰君安,133301,7465.0,2025-12-26,c2603,多单持仓,C
2,中信期货,114128,18686.0,2025-12-26,c2603,多单持仓,C
3,东证期货,103815,4948.0,2025-12-26,c2603,多单持仓,C
4,浙商期货,53907,2412.0,2025-12-26,c2603,多单持仓,C
5,银河期货,51501,-21036.0,2025-12-26,c2603,多单持仓,C
6,中信建投,43386,-789.0,2025-12-26,c2603,多单持仓,C
7,广发期货,36897,-779.0,2025-12-26,c2603,多单持仓,C
8,中粮期货,35961,-2248.0,2025-12-26,c2603,多单持仓,C
9,永安期货,31340,-7019.0,2025-12-26,c2603,多单持仓,C
10,国投期货,23437,2374.0,2025-12-26,c2603,多单持仓,C
11,中金财富,22501,1669.0,2025-12-26,c2603,多单持仓,C
12,五矿期货,18332,-1815.0,2025-12-26,c2603,多单持仓,C
13,华泰期货,16879,2162.0,2025-12-26,c2603,多单持仓,C
14,中泰期货,16577,132.0,2025-12-26,c2603,多单持仓,C
15,瑞达期货,16096,2018.0,2025-12-26,c2603,多单持仓,C
16,平安期货,13867,1620.0,2025-12-26,c2603,多单持仓,C
17,南华期货,12783,939.0,2025-12-26,c2603,多单持仓,C
18,华金期货,11516,-527.0,2025-12-26,c2603,多单持仓,C
19,兴证期货,10970,4979.0,2025-12-26,c2603,多单持仓,C
20,华闻期货,10392,2240.0,2025-12-26,c2603,多单持仓,C
1,国泰君安,145472,12171.0,2025-12-29,c2603,多单持仓,C
2,中信期货,118548,4420.0,2025-12-29,c2603,多单持仓,C
3,东证期货,92091,-11724.0,2025-12-29,c2603,多单持仓,C
4,银河期货,48719,-2782.0,2025-12-29,c2603,多单持仓,C
5,浙商期货,46253,-7654.0,2025-12-29,c2603,多单持仓,C
6,中信建投,44245,859.0,2025-12-29,c2603,多单持仓,C
7,广发期货,36605,-292.0,2025-12-29,c2603,多单持仓,C
8,中粮期货,29014,-6947.0,2025-12-29,c2603,多单持仓,C
9,永安期货,28619,-2721.0,2025-12-29,c2603,多单持仓,C
10,中金财富,25902,3401.0,2025-12-29,c2603,多单持仓,C
11,国投期货,23123,-314.0,2025-12-29,c2603,多单持仓,C
12,五矿期货,19944,1612.0,2025-12-29,c2603,多单持仓,C
13,瑞达期货,17868,1772.0,2025-12-29,c2603,多单持仓,C
14,中泰期货,17526,949.0,2025-12-29,c2603,多单持仓,C
15,华泰期货,17460,581.0,2025-12-29,c2603,多单持仓,C
16,平安期货,16796,2929.0,2025-12-29,c2603,多单持仓,C
17,兴证期货,14250,3280.0,2025-12-29,c2603,多单持仓,C
18,南华期货,13091,308.0,2025-12-29,c2603,多单持仓,C
19,光大期货,11162,1147.0,2025-12-29,c2603,多单持仓,C
20,海通期货,11158,3703.0,2025-12-29,c2603,多单持仓,C
1,国泰君安,153269,7797.0,2025-12-30,c2603,多单持仓,C
2,中信期货,117050,-1498.0,2025-12-30,c2603,多单持仓,C
3,东证期货,80713,-11378.0,2025-12-30,c2603,多单持仓,C
4,银河期货,48526,-193.0,2025-12-30,c2603,多单持仓,C
5,中信建投,39637,-4608.0,2025-12-30,c2603,多单持仓,C
6,广发期货,33479,-3126.0,2025-12-30,c2603,多单持仓,C
7,永安期货,31642,3023.0,2025-12-30,c2603,多单持仓,C
8,中金财富,31129,5227.0,2025-12-30,c2603,多单持仓,C
9,浙商期货,30390,-15863.0,2025-12-30,c2603,多单持仓,C
10,中粮期货,25778,-3236.0,2025-12-30,c2603,多单持仓,C
11,国投期货,23969,846.0,2025-12-30,c2603,多单持仓,C
12,华泰期货,21982,4522.0,2025-12-30,c2603,多单持仓,C
13,五矿期货,20987,1043.0,2025-12-30,c2603,多单持仓,C
14,中泰期货,18002,476.0,2025-12-30,c2603,多单持仓,C
15,华金期货,17084,10773.0,2025-12-30,c2603,多单持仓,C
16,平安期货,14950,-1846.0,2025-12-30,c2603,多单持仓,C
17,广州金控,14579,6817.0,2025-12-30,c2603,多单持仓,C
18,海通期货,13932,2774.0,2025-12-30,c2603,多单持仓,C
19,兴证期货,13651,-599.0,2025-12-30,c2603,多单持仓,C
20,瑞达期货,13264,-4604.0,2025-12-30,c2603,多单持仓,C
