排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,130060,2275.0,2025-12-25,c2603,空单持仓,C
2,国泰君安,120884,8526.0,2025-12-25,c2603,空单持仓,C
3,中粮期货,91302,-2486.0,2025-12-25,c2603,空单持仓,C
4,国投期货,73264,287.0,2025-12-25,c2603,空单持仓,C
5,东证期货,73211,3096.0,2025-12-25,c2603,空单持仓,C
6,银河期货,41214,326.0,2025-12-25,c2603,空单持仓,C
7,申银万国,35279,71.0,2025-12-25,c2603,空单持仓,C
8,国贸期货,35177,-152.0,2025-12-25,c2603,空单持仓,C
9,中信建投,26068,-121.0,2025-12-25,c2603,空单持仓,C
10,永安期货,24654,-2383.0,2025-12-25,c2603,空单持仓,C
11,五矿期货,23045,-152.0,2025-12-25,c2603,空单持仓,C
12,广发期货,22979,-312.0,2025-12-25,c2603,空单持仓,C
13,华泰期货,22174,-450.0,2025-12-25,c2603,空单持仓,C
14,南华期货,21753,-163.0,2025-12-25,c2603,空单持仓,C
15,新湖期货,16850,882.0,2025-12-25,c2603,空单持仓,C
16,瑞达期货,16587,1012.0,2025-12-25,c2603,空单持仓,C
17,一德期货,14380,-1649.0,2025-12-25,c2603,空单持仓,C
18,光大期货,13117,1430.0,2025-12-25,c2603,空单持仓,C
19,中辉期货,11906,-1.0,2025-12-25,c2603,空单持仓,C
20,格林大华,10398,-210.0,2025-12-25,c2603,空单持仓,C
1,中信期货,133806,3746.0,2025-12-26,c2603,空单持仓,C
2,国泰君安,120178,-706.0,2025-12-26,c2603,空单持仓,C
3,中粮期货,93390,2088.0,2025-12-26,c2603,空单持仓,C
4,国投期货,72399,-865.0,2025-12-26,c2603,空单持仓,C
5,东证期货,69516,-3695.0,2025-12-26,c2603,空单持仓,C
6,银河期货,54019,12805.0,2025-12-26,c2603,空单持仓,C
7,申银万国,38510,3231.0,2025-12-26,c2603,空单持仓,C
8,国贸期货,36168,991.0,2025-12-26,c2603,空单持仓,C
9,广发期货,25400,2421.0,2025-12-26,c2603,空单持仓,C
10,中信建投,23920,-2148.0,2025-12-26,c2603,空单持仓,C
11,一德期货,23633,9253.0,2025-12-26,c2603,空单持仓,C
12,南华期货,22194,441.0,2025-12-26,c2603,空单持仓,C
13,华泰期货,22156,-18.0,2025-12-26,c2603,空单持仓,C
14,五矿期货,18922,-4123.0,2025-12-26,c2603,空单持仓,C
15,新湖期货,17189,339.0,2025-12-26,c2603,空单持仓,C
16,永安期货,15413,-9241.0,2025-12-26,c2603,空单持仓,C
17,瑞达期货,13702,-2885.0,2025-12-26,c2603,空单持仓,C
18,中辉期货,11667,-239.0,2025-12-26,c2603,空单持仓,C
19,格林大华,11603,1205.0,2025-12-26,c2603,空单持仓,C
20,光大期货,10411,-2706.0,2025-12-26,c2603,空单持仓,C
1,中信期货,124651,-9155.0,2025-12-29,c2603,空单持仓,C
2,国泰君安,120190,12.0,2025-12-29,c2603,空单持仓,C
3,中粮期货,93370,-20.0,2025-12-29,c2603,空单持仓,C
4,东证期货,73768,4252.0,2025-12-29,c2603,空单持仓,C
5,国投期货,72304,-95.0,2025-12-29,c2603,空单持仓,C
6,银河期货,62596,8577.0,2025-12-29,c2603,空单持仓,C
7,申银万国,43887,5377.0,2025-12-29,c2603,空单持仓,C
8,国贸期货,38209,2041.0,2025-12-29,c2603,空单持仓,C
9,一德期货,28814,5181.0,2025-12-29,c2603,空单持仓,C
10,广发期货,26854,1454.0,2025-12-29,c2603,空单持仓,C
11,中信建投,24504,584.0,2025-12-29,c2603,空单持仓,C
12,南华期货,23555,1361.0,2025-12-29,c2603,空单持仓,C
13,五矿期货,20270,1348.0,2025-12-29,c2603,空单持仓,C
14,瑞达期货,18654,4952.0,2025-12-29,c2603,空单持仓,C
15,新湖期货,16916,-273.0,2025-12-29,c2603,空单持仓,C
16,华泰期货,15167,-6989.0,2025-12-29,c2603,空单持仓,C
17,永安期货,14954,-459.0,2025-12-29,c2603,空单持仓,C
18,中辉期货,11469,-198.0,2025-12-29,c2603,空单持仓,C
19,格林大华,10571,-1032.0,2025-12-29,c2603,空单持仓,C
20,光大期货,9726,-685.0,2025-12-29,c2603,空单持仓,C
1,中信期货,122707,-1944.0,2025-12-30,c2603,空单持仓,C
2,国泰君安,110024,-10166.0,2025-12-30,c2603,空单持仓,C
3,中粮期货,95052,1682.0,2025-12-30,c2603,空单持仓,C
4,东证期货,91664,17896.0,2025-12-30,c2603,空单持仓,C
5,国投期货,71352,-952.0,2025-12-30,c2603,空单持仓,C
6,银河期货,47857,-14739.0,2025-12-30,c2603,空单持仓,C
7,申银万国,45372,1485.0,2025-12-30,c2603,空单持仓,C
8,一德期货,39632,10818.0,2025-12-30,c2603,空单持仓,C
9,国贸期货,37709,-500.0,2025-12-30,c2603,空单持仓,C
10,广发期货,25474,-1380.0,2025-12-30,c2603,空单持仓,C
11,中信建投,23477,-1027.0,2025-12-30,c2603,空单持仓,C
12,南华期货,22751,-804.0,2025-12-30,c2603,空单持仓,C
13,五矿期货,21352,1082.0,2025-12-30,c2603,空单持仓,C
14,瑞达期货,20711,2057.0,2025-12-30,c2603,空单持仓,C
15,新湖期货,18823,1907.0,2025-12-30,c2603,空单持仓,C
16,永安期货,15949,995.0,2025-12-30,c2603,空单持仓,C
17,华泰期货,14336,-831.0,2025-12-30,c2603,空单持仓,C
18,光大期货,11456,1730.0,2025-12-30,c2603,空单持仓,C
19,中泰期货,11132,6478.0,2025-12-30,c2603,空单持仓,C
20,中辉期货,11042,-427.0,2025-12-30,c2603,空单持仓,C
