排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,93021,1306.0,2025-12-25,CF2605,多单持仓,CF
2,国泰君安,63359,3774.0,2025-12-25,CF2605,多单持仓,CF
3,永安期货,46220,2177.0,2025-12-25,CF2605,多单持仓,CF
4,东证期货,41943,1120.0,2025-12-25,CF2605,多单持仓,CF
5,银河期货,32267,133.0,2025-12-25,CF2605,多单持仓,CF
6,中粮期货,28781,271.0,2025-12-25,CF2605,多单持仓,CF
7,中金财富,27571,1761.0,2025-12-25,CF2605,多单持仓,CF
8,华泰期货,22151,366.0,2025-12-25,CF2605,多单持仓,CF
9,国投期货,20614,369.0,2025-12-25,CF2605,多单持仓,CF
10,中信建投,17674,957.0,2025-12-25,CF2605,多单持仓,CF
11,中金期货,17538,77.0,2025-12-25,CF2605,多单持仓,CF
12,招商期货,15493,18.0,2025-12-25,CF2605,多单持仓,CF
13,国贸期货,15153,-685.0,2025-12-25,CF2605,多单持仓,CF
14,融达期货,14673,810.0,2025-12-25,CF2605,多单持仓,CF
15,光大期货,14291,875.0,2025-12-25,CF2605,多单持仓,CF
16,新湖期货,14069,100.0,2025-12-25,CF2605,多单持仓,CF
17,广发期货,11656,-161.0,2025-12-25,CF2605,多单持仓,CF
18,浙商期货,11419,651.0,2025-12-25,CF2605,多单持仓,CF
19,海通期货,11088,2402.0,2025-12-25,CF2605,多单持仓,CF
20,平安期货,10641,-78.0,2025-12-25,CF2605,多单持仓,CF
1,中信期货,91169,-1852.0,2025-12-26,CF2605,多单持仓,CF
2,国泰君安,68667,5308.0,2025-12-26,CF2605,多单持仓,CF
3,永安期货,47527,1307.0,2025-12-26,CF2605,多单持仓,CF
4,东证期货,46076,4133.0,2025-12-26,CF2605,多单持仓,CF
5,银河期货,33394,1127.0,2025-12-26,CF2605,多单持仓,CF
6,中粮期货,30407,1626.0,2025-12-26,CF2605,多单持仓,CF
7,中金财富,27478,-93.0,2025-12-26,CF2605,多单持仓,CF
8,华泰期货,26117,3966.0,2025-12-26,CF2605,多单持仓,CF
9,中信建投,20294,2620.0,2025-12-26,CF2605,多单持仓,CF
10,国投期货,18740,-1874.0,2025-12-26,CF2605,多单持仓,CF
11,中金期货,15908,-1630.0,2025-12-26,CF2605,多单持仓,CF
12,融达期货,15892,1219.0,2025-12-26,CF2605,多单持仓,CF
13,光大期货,15640,1349.0,2025-12-26,CF2605,多单持仓,CF
14,一德期货,14933,13096.0,2025-12-26,CF2605,多单持仓,CF
15,国贸期货,14887,-266.0,2025-12-26,CF2605,多单持仓,CF
16,新湖期货,14730,661.0,2025-12-26,CF2605,多单持仓,CF
17,招商期货,14651,-842.0,2025-12-26,CF2605,多单持仓,CF
18,浙商期货,14216,2797.0,2025-12-26,CF2605,多单持仓,CF
19,广发期货,13912,2256.0,2025-12-26,CF2605,多单持仓,CF
20,平安期货,11275,634.0,2025-12-26,CF2605,多单持仓,CF
1,中信期货,89777,-1392.0,2025-12-29,CF2605,多单持仓,CF
2,国泰君安,68867,200.0,2025-12-29,CF2605,多单持仓,CF
3,永安期货,46386,-1141.0,2025-12-29,CF2605,多单持仓,CF
4,东证期货,44025,-2051.0,2025-12-29,CF2605,多单持仓,CF
5,银河期货,32602,-792.0,2025-12-29,CF2605,多单持仓,CF
