排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,91893,1271.0,2025-12-25,CF2605,空单持仓,CF
2,银河期货,69475,216.0,2025-12-25,CF2605,空单持仓,CF
3,国泰君安,68034,1113.0,2025-12-25,CF2605,空单持仓,CF
4,中国国际,65350,3345.0,2025-12-25,CF2605,空单持仓,CF
5,中粮期货,56932,6902.0,2025-12-25,CF2605,空单持仓,CF
6,永安期货,52832,3781.0,2025-12-25,CF2605,空单持仓,CF
7,国贸期货,43542,3078.0,2025-12-25,CF2605,空单持仓,CF
8,国元期货,29649,39.0,2025-12-25,CF2605,空单持仓,CF
9,建信期货,22467,-1540.0,2025-12-25,CF2605,空单持仓,CF
10,东证期货,17456,-2289.0,2025-12-25,CF2605,空单持仓,CF
11,融达期货,16942,165.0,2025-12-25,CF2605,空单持仓,CF
12,浙商期货,16174,942.0,2025-12-25,CF2605,空单持仓,CF
13,申银万国,15796,323.0,2025-12-25,CF2605,空单持仓,CF
14,华泰期货,15196,2672.0,2025-12-25,CF2605,空单持仓,CF
15,国联期货,15176,1064.0,2025-12-25,CF2605,空单持仓,CF
16,国投期货,13845,-5112.0,2025-12-25,CF2605,空单持仓,CF
17,瑞达期货,12702,606.0,2025-12-25,CF2605,空单持仓,CF
18,新湖期货,12351,-146.0,2025-12-25,CF2605,空单持仓,CF
19,招商期货,9695,-749.0,2025-12-25,CF2605,空单持仓,CF
20,创元期货,9481,-102.0,2025-12-25,CF2605,空单持仓,CF
1,中信期货,104050,12157.0,2025-12-26,CF2605,空单持仓,CF
2,银河期货,78123,8648.0,2025-12-26,CF2605,空单持仓,CF
3,国泰君安,73096,5062.0,2025-12-26,CF2605,空单持仓,CF
4,中粮期货,65483,8551.0,2025-12-26,CF2605,空单持仓,CF
5,永安期货,56514,3682.0,2025-12-26,CF2605,空单持仓,CF
6,中国国际,52350,-13000.0,2025-12-26,CF2605,空单持仓,CF
7,国贸期货,50963,7421.0,2025-12-26,CF2605,空单持仓,CF
8,国元期货,29723,74.0,2025-12-26,CF2605,空单持仓,CF
9,东证期货,23461,6005.0,2025-12-26,CF2605,空单持仓,CF
10,建信期货,22242,-225.0,2025-12-26,CF2605,空单持仓,CF
11,融达期货,20127,3185.0,2025-12-26,CF2605,空单持仓,CF
12,华泰期货,18861,3665.0,2025-12-26,CF2605,空单持仓,CF
13,国投期货,18715,4870.0,2025-12-26,CF2605,空单持仓,CF
14,浙商期货,16294,120.0,2025-12-26,CF2605,空单持仓,CF
15,国联期货,15709,533.0,2025-12-26,CF2605,空单持仓,CF
16,申银万国,15094,-702.0,2025-12-26,CF2605,空单持仓,CF
17,瑞达期货,13408,706.0,2025-12-26,CF2605,空单持仓,CF
18,新湖期货,12317,-34.0,2025-12-26,CF2605,空单持仓,CF
19,长江期货,11121,2170.0,2025-12-26,CF2605,空单持仓,CF
20,物产中大,10179,1821.0,2025-12-26,CF2605,空单持仓,CF
