排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,95683,10528.0,2025-12-25,CF2605,成交量,CF
2,中信期货,70491,8395.0,2025-12-25,CF2605,成交量,CF
3,东证期货,61473,7205.0,2025-12-25,CF2605,成交量,CF
4,银河期货,39183,11131.0,2025-12-25,CF2605,成交量,CF
5,华泰期货,15722,3856.0,2025-12-25,CF2605,成交量,CF
6,国信期货,13742,5165.0,2025-12-25,CF2605,成交量,CF
7,招商期货,13415,416.0,2025-12-25,CF2605,成交量,CF
8,华闻期货,13411,4215.0,2025-12-25,CF2605,成交量,CF
9,中粮期货,13059,-3480.0,2025-12-25,CF2605,成交量,CF
10,新湖期货,12360,3161.0,2025-12-25,CF2605,成交量,CF
11,海通期货,10788,6097.0,2025-12-25,CF2605,成交量,CF
12,永安期货,10274,6811.0,2025-12-25,CF2605,成交量,CF
13,国投期货,9563,5364.0,2025-12-25,CF2605,成交量,CF
14,中信建投,8813,4091.0,2025-12-25,CF2605,成交量,CF
15,五矿期货,8717,774.0,2025-12-25,CF2605,成交量,CF
16,国贸期货,8645,5346.0,2025-12-25,CF2605,成交量,CF
17,国联期货,7597,2134.0,2025-12-25,CF2605,成交量,CF
18,南华期货,6690,1205.0,2025-12-25,CF2605,成交量,CF
19,兴证期货,5527,1553.0,2025-12-25,CF2605,成交量,CF
20,中泰期货,5396,562.0,2025-12-25,CF2605,成交量,CF
1,国泰君安,215070,119387.0,2025-12-26,CF2605,成交量,CF
2,东证期货,137332,75859.0,2025-12-26,CF2605,成交量,CF
3,中信期货,136087,65596.0,2025-12-26,CF2605,成交量,CF
4,银河期货,74439,35256.0,2025-12-26,CF2605,成交量,CF
5,华泰期货,38783,23061.0,2025-12-26,CF2605,成交量,CF
6,华闻期货,34342,20931.0,2025-12-26,CF2605,成交量,CF
7,招商期货,34320,20905.0,2025-12-26,CF2605,成交量,CF
8,海通期货,33088,22300.0,2025-12-26,CF2605,成交量,CF
9,中信建投,27971,19158.0,2025-12-26,CF2605,成交量,CF
10,国信期货,27576,13834.0,2025-12-26,CF2605,成交量,CF
11,永安期货,27329,17055.0,2025-12-26,CF2605,成交量,CF
12,新湖期货,23481,11121.0,2025-12-26,CF2605,成交量,CF
13,中粮期货,23235,10176.0,2025-12-26,CF2605,成交量,CF
14,中国国际,21633,16690.0,2025-12-26,CF2605,成交量,CF
15,国投期货,19336,9773.0,2025-12-26,CF2605,成交量,CF
16,中辉期货,19025,15369.0,2025-12-26,CF2605,成交量,CF
17,国贸期货,19009,10364.0,2025-12-26,CF2605,成交量,CF
18,东吴期货,18193,13624.0,2025-12-26,CF2605,成交量,CF
19,南华期货,18165,11475.0,2025-12-26,CF2605,成交量,CF
20,浙商期货,17293,12616.0,2025-12-26,CF2605,成交量,CF
1,国泰君安,177820,-37250.0,2025-12-29,CF2605,成交量,CF
2,中信期货,89423,-46664.0,2025-12-29,CF2605,成交量,CF
3,东证期货,77258,-60074.0,2025-12-29,CF2605,成交量,CF
4,银河期货,53836,-20603.0,2025-12-29,CF2605,成交量,CF
5,华闻期货,28445,-5897.0,2025-12-29,CF2605,成交量,CF
6,海通期货,24120,-8968.0,2025-12-29,CF2605,成交量,CF
7,五矿期货,22635,8167.0,2025-12-29,CF2605,成交量,CF
8,南华期货,21315,3150.0,2025-12-29,CF2605,成交量,CF
9,华泰期货,19820,-18963.0,2025-12-29,CF2605,成交量,CF
10,新湖期货,19000,-4481.0,2025-12-29,CF2605,成交量,CF
11,中信建投,18033,-9938.0,2025-12-29,CF2605,成交量,CF
12,中泰期货,16222,2208.0,2025-12-29,CF2605,成交量,CF
13,国信期货,15640,-11936.0,2025-12-29,CF2605,成交量,CF
14,招商期货,15293,-19027.0,2025-12-29,CF2605,成交量,CF
15,永安期货,13556,-13773.0,2025-12-29,CF2605,成交量,CF
16,浙商期货,13229,-4064.0,2025-12-29,CF2605,成交量,CF
17,国投期货,13033,-6303.0,2025-12-29,CF2605,成交量,CF
18,中粮期货,12454,-10781.0,2025-12-29,CF2605,成交量,CF
19,中辉期货,11328,-7697.0,2025-12-29,CF2605,成交量,CF
20,广发期货,9782,-3693.0,2025-12-29,CF2605,成交量,CF
1,国泰君安,118215,-59605.0,2025-12-30,CF2605,成交量,CF
2,东证期货,76255,-1003.0,2025-12-30,CF2605,成交量,CF
3,中信期货,58425,-30998.0,2025-12-30,CF2605,成交量,CF
4,银河期货,40522,-13314.0,2025-12-30,CF2605,成交量,CF
5,华闻期货,23577,-4868.0,2025-12-30,CF2605,成交量,CF
6,新湖期货,20398,1398.0,2025-12-30,CF2605,成交量,CF
7,南华期货,18842,-2473.0,2025-12-30,CF2605,成交量,CF
8,海通期货,18699,-5421.0,2025-12-30,CF2605,成交量,CF
9,华泰期货,18657,-1163.0,2025-12-30,CF2605,成交量,CF
10,中信建投,18387,354.0,2025-12-30,CF2605,成交量,CF
11,五矿期货,17519,-5116.0,2025-12-30,CF2605,成交量,CF
12,国信期货,15088,-552.0,2025-12-30,CF2605,成交量,CF
13,中泰期货,13743,-2479.0,2025-12-30,CF2605,成交量,CF
14,浙商期货,11000,-2229.0,2025-12-30,CF2605,成交量,CF
15,招商期货,10288,-5005.0,2025-12-30,CF2605,成交量,CF
16,方正中期,9644,712.0,2025-12-30,CF2605,成交量,CF
17,广发期货,9258,-524.0,2025-12-30,CF2605,成交量,CF
18,永安期货,9172,-4384.0,2025-12-30,CF2605,成交量,CF
19,国投期货,8758,-4275.0,2025-12-30,CF2605,成交量,CF
20,东吴期货,8134,-1562.0,2025-12-30,CF2605,成交量,CF
1,国泰君安,132874,14659.0,2025-12-31,CF2605,成交量,CF
2,中信期货,59883,1458.0,2025-12-31,CF2605,成交量,CF
3,东证期货,50324,-25931.0,2025-12-31,CF2605,成交量,CF
4,银河期货,30771,-9751.0,2025-12-31,CF2605,成交量,CF
5,华闻期货,18718,-4859.0,2025-12-31,CF2605,成交量,CF
6,中泰期货,15926,2183.0,2025-12-31,CF2605,成交量,CF
