排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,金瑞期货,32915,-1350.0,2025-12-25,cu2602,空单持仓,CU
2,中信期货,22063,-41.0,2025-12-25,cu2602,空单持仓,CU
3,国泰君安,13972,-680.0,2025-12-25,cu2602,空单持仓,CU
4,东证期货,9501,-1155.0,2025-12-25,cu2602,空单持仓,CU
5,国贸期货,8984,-566.0,2025-12-25,cu2602,空单持仓,CU
6,云晨期货,8477,-556.0,2025-12-25,cu2602,空单持仓,CU
7,银河期货,6746,-896.0,2025-12-25,cu2602,空单持仓,CU
8,五矿期货,6552,-347.0,2025-12-25,cu2602,空单持仓,CU
9,光大期货,5967,-221.0,2025-12-25,cu2602,空单持仓,CU
10,国投期货,5370,-43.0,2025-12-25,cu2602,空单持仓,CU
11,华泰期货,5276,183.0,2025-12-25,cu2602,空单持仓,CU
12,广发期货,5024,-325.0,2025-12-25,cu2602,空单持仓,CU
13,方正中期,4418,-290.0,2025-12-25,cu2602,空单持仓,CU
14,南华期货,4357,88.0,2025-12-25,cu2602,空单持仓,CU
15,物产中大,4333,-317.0,2025-12-25,cu2602,空单持仓,CU
16,铜冠金源,3902,320.0,2025-12-25,cu2602,空单持仓,CU
17,新湖期货,3740,-331.0,2025-12-25,cu2602,空单持仓,CU
18,国信期货,3579,-453.0,2025-12-25,cu2602,空单持仓,CU
19,海通期货,3550,-823.0,2025-12-25,cu2602,空单持仓,CU
20,中信建投,3239,-287.0,2025-12-25,cu2602,空单持仓,CU
1,金瑞期货,32689,-226.0,2025-12-26,cu2602,空单持仓,CU
2,中信期货,22548,485.0,2025-12-26,cu2602,空单持仓,CU
3,国泰君安,13684,-288.0,2025-12-26,cu2602,空单持仓,CU
4,东证期货,10683,1182.0,2025-12-26,cu2602,空单持仓,CU
5,云晨期货,8458,-19.0,2025-12-26,cu2602,空单持仓,CU
6,国贸期货,8064,-920.0,2025-12-26,cu2602,空单持仓,CU
7,银河期货,7402,656.0,2025-12-26,cu2602,空单持仓,CU
8,五矿期货,5814,-738.0,2025-12-26,cu2602,空单持仓,CU
9,光大期货,5728,-239.0,2025-12-26,cu2602,空单持仓,CU
10,国投期货,5452,82.0,2025-12-26,cu2602,空单持仓,CU
11,华泰期货,5263,-13.0,2025-12-26,cu2602,空单持仓,CU
12,广发期货,5213,189.0,2025-12-26,cu2602,空单持仓,CU
13,物产中大,4762,429.0,2025-12-26,cu2602,空单持仓,CU
14,方正中期,4546,128.0,2025-12-26,cu2602,空单持仓,CU
15,海通期货,4311,761.0,2025-12-26,cu2602,空单持仓,CU
16,南华期货,4141,-216.0,2025-12-26,cu2602,空单持仓,CU
17,新湖期货,3926,186.0,2025-12-26,cu2602,空单持仓,CU
18,铜冠金源,3626,-276.0,2025-12-26,cu2602,空单持仓,CU
19,国信期货,3436,-143.0,2025-12-26,cu2602,空单持仓,CU
20,中信建投,3283,44.0,2025-12-26,cu2602,空单持仓,CU
1,金瑞期货,28941,-3748.0,2025-12-29,cu2602,空单持仓,CU
2,中信期货,22389,-159.0,2025-12-29,cu2602,空单持仓,CU
3,国泰君安,14082,398.0,2025-12-29,cu2602,空单持仓,CU
4,东证期货,12374,1691.0,2025-12-29,cu2602,空单持仓,CU
