排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,57373,-2172.0,2025-12-25,cu2602,成交量,CU
2,国泰君安,56267,-10210.0,2025-12-25,cu2602,成交量,CU
3,东证期货,34419,-13299.0,2025-12-25,cu2602,成交量,CU
4,中泰期货,17112,-4890.0,2025-12-25,cu2602,成交量,CU
5,华泰期货,17066,-4469.0,2025-12-25,cu2602,成交量,CU
6,海通期货,16569,-1791.0,2025-12-25,cu2602,成交量,CU
7,银河期货,13512,-2285.0,2025-12-25,cu2602,成交量,CU
8,浙商期货,13317,-1703.0,2025-12-25,cu2602,成交量,CU
9,国信期货,12783,-2770.0,2025-12-25,cu2602,成交量,CU
10,华闻期货,9655,-3215.0,2025-12-25,cu2602,成交量,CU
11,方正中期,8583,-2704.0,2025-12-25,cu2602,成交量,CU
12,广发期货,8301,-2330.0,2025-12-25,cu2602,成交量,CU
13,南华期货,7797,-1364.0,2025-12-25,cu2602,成交量,CU
14,新湖期货,7327,-2738.0,2025-12-25,cu2602,成交量,CU
15,申万期货,6740,-3804.0,2025-12-25,cu2602,成交量,CU
16,金瑞期货,6095,458.0,2025-12-25,cu2602,成交量,CU
17,中信建投,6012,-1210.0,2025-12-25,cu2602,成交量,CU
18,国贸期货,5731,-2858.0,2025-12-25,cu2602,成交量,CU
19,永安期货,5703,-579.0,2025-12-25,cu2602,成交量,CU
20,五矿期货,5571,-1405.0,2025-12-25,cu2602,成交量,CU
1,国泰君安,68046,11779.0,2025-12-26,cu2602,成交量,CU
2,中信期货,48909,-8464.0,2025-12-26,cu2602,成交量,CU
3,东证期货,40030,5611.0,2025-12-26,cu2602,成交量,CU
4,华泰期货,20445,3379.0,2025-12-26,cu2602,成交量,CU
5,中泰期货,20397,3285.0,2025-12-26,cu2602,成交量,CU
6,海通期货,19336,2767.0,2025-12-26,cu2602,成交量,CU
7,浙商期货,15768,2451.0,2025-12-26,cu2602,成交量,CU
8,银河期货,15547,2035.0,2025-12-26,cu2602,成交量,CU
9,华闻期货,11765,2110.0,2025-12-26,cu2602,成交量,CU
10,方正中期,11755,3172.0,2025-12-26,cu2602,成交量,CU
11,广发期货,10948,2647.0,2025-12-26,cu2602,成交量,CU
12,国信期货,10060,-2723.0,2025-12-26,cu2602,成交量,CU
13,中信建投,9363,3351.0,2025-12-26,cu2602,成交量,CU
14,南华期货,9235,1438.0,2025-12-26,cu2602,成交量,CU
15,新湖期货,7600,273.0,2025-12-26,cu2602,成交量,CU
16,申万期货,7516,776.0,2025-12-26,cu2602,成交量,CU
17,津投期货,7430,3384.0,2025-12-26,cu2602,成交量,CU
18,光大期货,7400,2020.0,2025-12-26,cu2602,成交量,CU
19,永安期货,6916,1213.0,2025-12-26,cu2602,成交量,CU
20,国贸期货,6862,1131.0,2025-12-26,cu2602,成交量,CU
1,国泰君安,126014,57968.0,2025-12-29,cu2602,成交量,CU
2,中信期货,101584,52675.0,2025-12-29,cu2602,成交量,CU
3,东证期货,65262,25232.0,2025-12-29,cu2602,成交量,CU
4,华泰期货,39974,19529.0,2025-12-29,cu2602,成交量,CU
5,中泰期货,31293,10896.0,2025-12-29,cu2602,成交量,CU
6,银河期货,30230,14683.0,2025-12-29,cu2602,成交量,CU
7,海通期货,28993,9657.0,2025-12-29,cu2602,成交量,CU
8,华闻期货,25431,13666.0,2025-12-29,cu2602,成交量,CU
9,广发期货,23377,12429.0,2025-12-29,cu2602,成交量,CU
10,国信期货,22344,12284.0,2025-12-29,cu2602,成交量,CU
11,浙商期货,21107,5339.0,2025-12-29,cu2602,成交量,CU
12,方正中期,18615,6860.0,2025-12-29,cu2602,成交量,CU
13,申万期货,17567,10051.0,2025-12-29,cu2602,成交量,CU
14,中信建投,17191,7828.0,2025-12-29,cu2602,成交量,CU
15,创元期货,14210,10151.0,2025-12-29,cu2602,成交量,CU
16,五矿期货,13700,9410.0,2025-12-29,cu2602,成交量,CU
17,国贸期货,13675,6813.0,2025-12-29,cu2602,成交量,CU
18,光大期货,13124,5724.0,2025-12-29,cu2602,成交量,CU
19,东吴期货,12917,6176.0,2025-12-29,cu2602,成交量,CU
20,新湖期货,12515,4915.0,2025-12-29,cu2602,成交量,CU
1,国泰君安,93765,-32249.0,2025-12-30,cu2602,成交量,CU
2,中信期货,78104,-23480.0,2025-12-30,cu2602,成交量,CU
3,东证期货,51601,-13661.0,2025-12-30,cu2602,成交量,CU
4,华泰期货,32133,-7841.0,2025-12-30,cu2602,成交量,CU
5,中泰期货,31118,-175.0,2025-12-30,cu2602,成交量,CU
6,海通期货,25451,-3542.0,2025-12-30,cu2602,成交量,CU
7,银河期货,23450,-6780.0,2025-12-30,cu2602,成交量,CU
8,国信期货,19700,-2644.0,2025-12-30,cu2602,成交量,CU
9,广发期货,19042,-4335.0,2025-12-30,cu2602,成交量,CU
10,华闻期货,17990,-7441.0,2025-12-30,cu2602,成交量,CU
11,浙商期货,15355,-5752.0,2025-12-30,cu2602,成交量,CU
12,申万期货,14507,-3060.0,2025-12-30,cu2602,成交量,CU
13,中信建投,14233,-2958.0,2025-12-30,cu2602,成交量,CU
14,方正中期,13631,-4984.0,2025-12-30,cu2602,成交量,CU
15,光大期货,10856,-2268.0,2025-12-30,cu2602,成交量,CU
16,金瑞期货,10751,233.0,2025-12-30,cu2602,成交量,CU
17,东吴期货,10595,-2322.0,2025-12-30,cu2602,成交量,CU
18,南华期货,10553,-1479.0,2025-12-30,cu2602,成交量,CU
19,五矿期货,10240,-3460.0,2025-12-30,cu2602,成交量,CU
20,新湖期货,9103,-3412.0,2025-12-30,cu2602,成交量,CU
1,国泰君安,67765,-26000.0,2025-12-31,cu2602,成交量,CU
2,中信期货,52502,-25602.0,2025-12-31,cu2602,成交量,CU
3,东证期货,35236,-16365.0,2025-12-31,cu2602,成交量,CU
4,海通期货,27602,2151.0,2025-12-31,cu2602,成交量,CU
5,银河期货,21960,-1490.0,2025-12-31,cu2602,成交量,CU
6,中泰期货,21802,-9316.0,2025-12-31,cu2602,成交量,CU
7,华泰期货,19871,-12262.0,2025-12-31,cu2602,成交量,CU
8,华闻期货,13114,-4876.0,2025-12-31,cu2602,成交量,CU
9,浙商期货,12496,-2859.0,2025-12-31,cu2602,成交量,CU
10,广发期货,12192,-6850.0,2025-12-31,cu2602,成交量,CU
11,国信期货,11868,-7832.0,2025-12-31,cu2602,成交量,CU
12,中信建投,10473,-3760.0,2025-12-31,cu2602,成交量,CU
13,申万期货,10327,-4180.0,2025-12-31,cu2602,成交量,CU
14,方正中期,10165,-3466.0,2025-12-31,cu2602,成交量,CU
15,五矿期货,10071,-169.0,2025-12-31,cu2602,成交量,CU
16,南华期货,9589,-964.0,2025-12-31,cu2602,成交量,CU
17,津投期货,7513,-1096.0,2025-12-31,cu2602,成交量,CU
18,光大期货,7317,-3539.0,2025-12-31,cu2602,成交量,CU
19,瑞达期货,7274,-1666.0,2025-12-31,cu2602,成交量,CU
20,新湖期货,7023,-2080.0,2025-12-31,cu2602,成交量,CU
