排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,宏源期货,2265,13.0,2025-12-25,CY2603,多单持仓,CY
2,国投期货,2236,33.0,2025-12-25,CY2603,多单持仓,CY
3,招商期货,2056,10.0,2025-12-25,CY2603,多单持仓,CY
4,锦泰期货,2000,-2.0,2025-12-25,CY2603,多单持仓,CY
5,五矿期货,1891,-798.0,2025-12-25,CY2603,多单持仓,CY
6,浙商期货,1593,307.0,2025-12-25,CY2603,多单持仓,CY
7,瑞达期货,1512,7.0,2025-12-25,CY2603,多单持仓,CY
8,永安期货,1393,-439.0,2025-12-25,CY2603,多单持仓,CY
9,国海良时,1301,-9.0,2025-12-25,CY2603,多单持仓,CY
10,弘业期货,1246,-3.0,2025-12-25,CY2603,多单持仓,CY
11,南华期货,1216,-29.0,2025-12-25,CY2603,多单持仓,CY
12,国泰君安,695,22.0,2025-12-25,CY2603,多单持仓,CY
13,中融汇信,529,1.0,2025-12-25,CY2603,多单持仓,CY
14,中信期货,302,91.0,2025-12-25,CY2603,多单持仓,CY
15,盛达期货,144,50.0,2025-12-25,CY2603,多单持仓,CY
16,东航期货,141,20.0,2025-12-25,CY2603,多单持仓,CY
17,东证期货,140,36.0,2025-12-25,CY2603,多单持仓,CY
18,东方财富,139,39.0,2025-12-25,CY2603,多单持仓,CY
19,徽商期货,105,71.0,2025-12-25,CY2603,多单持仓,CY
20,民生期货,99,-70.0,2025-12-25,CY2603,多单持仓,CY
1,国投期货,2336,100.0,2025-12-26,CY2603,多单持仓,CY
2,宏源期货,2279,14.0,2025-12-26,CY2603,多单持仓,CY
3,锦泰期货,2001,1.0,2025-12-26,CY2603,多单持仓,CY
4,浙商期货,1684,91.0,2025-12-26,CY2603,多单持仓,CY
5,招商期货,1590,-466.0,2025-12-26,CY2603,多单持仓,CY
6,永安期货,1529,136.0,2025-12-26,CY2603,多单持仓,CY
7,瑞达期货,1512,0.0,2025-12-26,CY2603,多单持仓,CY
8,国海良时,1301,0.0,2025-12-26,CY2603,多单持仓,CY
9,南华期货,1260,44.0,2025-12-26,CY2603,多单持仓,CY
10,弘业期货,1259,13.0,2025-12-26,CY2603,多单持仓,CY
11,五矿期货,1245,-646.0,2025-12-26,CY2603,多单持仓,CY
12,国泰君安,689,-6.0,2025-12-26,CY2603,多单持仓,CY
13,中融汇信,520,-9.0,2025-12-26,CY2603,多单持仓,CY
14,中信期货,443,141.0,2025-12-26,CY2603,多单持仓,CY
15,盛达期货,195,51.0,2025-12-26,CY2603,多单持仓,CY
16,银河期货,180,99.0,2025-12-26,CY2603,多单持仓,CY
17,民生期货,167,68.0,2025-12-26,CY2603,多单持仓,CY
18,广州期货,161,158.0,2025-12-26,CY2603,多单持仓,CY
