排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,2490,716.0,2025-12-25,CY2603,空单持仓,CY
2,宏源期货,2268,52.0,2025-12-25,CY2603,空单持仓,CY
3,国投期货,2019,18.0,2025-12-25,CY2603,空单持仓,CY
4,锦泰期货,2000,0.0,2025-12-25,CY2603,空单持仓,CY
5,招商期货,1997,0.0,2025-12-25,CY2603,空单持仓,CY
6,永安期货,1857,-401.0,2025-12-25,CY2603,空单持仓,CY
7,五矿期货,1800,-799.0,2025-12-25,CY2603,空单持仓,CY
8,瑞达期货,1502,5.0,2025-12-25,CY2603,空单持仓,CY
9,国海良时,1293,-2.0,2025-12-25,CY2603,空单持仓,CY
10,弘业期货,1210,10.0,2025-12-25,CY2603,空单持仓,CY
11,浙商期货,1203,-2.0,2025-12-25,CY2603,空单持仓,CY
12,南华期货,1203,-4.0,2025-12-25,CY2603,空单持仓,CY
13,广州期货,649,1.0,2025-12-25,CY2603,空单持仓,CY
14,银河期货,343,-15.0,2025-12-25,CY2603,空单持仓,CY
15,东证期货,155,17.0,2025-12-25,CY2603,空单持仓,CY
16,兴证期货,146,-22.0,2025-12-25,CY2603,空单持仓,CY
17,佛山金控,84,0.0,2025-12-25,CY2603,空单持仓,CY
18,中信建投,83,1.0,2025-12-25,CY2603,空单持仓,CY
19,中粮期货,69,-50.0,2025-12-25,CY2603,空单持仓,CY
20,中信期货,45,-35.0,2025-12-25,CY2603,空单持仓,CY
1,国泰君安,2843,353.0,2025-12-26,CY2603,空单持仓,CY
2,宏源期货,2220,-48.0,2025-12-26,CY2603,空单持仓,CY
3,永安期货,2062,205.0,2025-12-26,CY2603,空单持仓,CY
4,国投期货,2025,6.0,2025-12-26,CY2603,空单持仓,CY
5,锦泰期货,2000,0.0,2025-12-26,CY2603,空单持仓,CY
6,广州期货,1540,891.0,2025-12-26,CY2603,空单持仓,CY
7,招商期货,1527,-470.0,2025-12-26,CY2603,空单持仓,CY
8,瑞达期货,1502,0.0,2025-12-26,CY2603,空单持仓,CY
9,国海良时,1295,2.0,2025-12-26,CY2603,空单持仓,CY
10,弘业期货,1217,7.0,2025-12-26,CY2603,空单持仓,CY
11,浙商期货,1206,3.0,2025-12-26,CY2603,空单持仓,CY
12,南华期货,1199,-4.0,2025-12-26,CY2603,空单持仓,CY
13,五矿期货,1152,-648.0,2025-12-26,CY2603,空单持仓,CY
14,中粮期货,426,357.0,2025-12-26,CY2603,空单持仓,CY
15,兴证期货,135,-11.0,2025-12-26,CY2603,空单持仓,CY
16,东证期货,107,-48.0,2025-12-26,CY2603,空单持仓,CY
17,中信建投,96,13.0,2025-12-26,CY2603,空单持仓,CY
18,中信期货,92,47.0,2025-12-26,CY2603,空单持仓,CY
19,佛山金控,84,0.0,2025-12-26,CY2603,空单持仓,CY
20,银河期货,68,-275.0,2025-12-26,CY2603,空单持仓,CY
1,国泰君安,2586,-257.0,2025-12-29,CY2603,空单持仓,CY
