排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,47325,582.0,2025-12-25,eb2602,多单持仓,EB
2,中信期货,23915,-1221.0,2025-12-25,eb2602,多单持仓,EB
3,东证期货,21966,4091.0,2025-12-25,eb2602,多单持仓,EB
4,华泰期货,20402,-1444.0,2025-12-25,eb2602,多单持仓,EB
5,中信建投,11578,-993.0,2025-12-25,eb2602,多单持仓,EB
6,永安期货,11119,1659.0,2025-12-25,eb2602,多单持仓,EB
7,海通期货,10359,-3.0,2025-12-25,eb2602,多单持仓,EB
8,国海良时,9115,875.0,2025-12-25,eb2602,多单持仓,EB
9,中粮期货,7047,-509.0,2025-12-25,eb2602,多单持仓,EB
10,南华期货,6902,-512.0,2025-12-25,eb2602,多单持仓,EB
11,锦泰期货,5188,-65.0,2025-12-25,eb2602,多单持仓,EB
12,中泰期货,5145,-570.0,2025-12-25,eb2602,多单持仓,EB
13,徽商期货,4922,792.0,2025-12-25,eb2602,多单持仓,EB
14,瑞银期货,4617,0.0,2025-12-25,eb2602,多单持仓,EB
15,创元期货,4474,1146.0,2025-12-25,eb2602,多单持仓,EB
16,银河期货,4372,121.0,2025-12-25,eb2602,多单持仓,EB
17,浙商期货,4270,-410.0,2025-12-25,eb2602,多单持仓,EB
18,中金财富,4162,30.0,2025-12-25,eb2602,多单持仓,EB
19,广发期货,3963,600.0,2025-12-25,eb2602,多单持仓,EB
20,宏源期货,3952,-128.0,2025-12-25,eb2602,多单持仓,EB
1,国泰君安,46035,-1290.0,2025-12-26,eb2602,多单持仓,EB
2,中信期货,25101,1186.0,2025-12-26,eb2602,多单持仓,EB
3,东证期货,23366,1400.0,2025-12-26,eb2602,多单持仓,EB
4,华泰期货,21313,911.0,2025-12-26,eb2602,多单持仓,EB
5,永安期货,11240,121.0,2025-12-26,eb2602,多单持仓,EB
6,海通期货,10447,88.0,2025-12-26,eb2602,多单持仓,EB
7,中信建投,9737,-1841.0,2025-12-26,eb2602,多单持仓,EB
8,国海良时,8770,-345.0,2025-12-26,eb2602,多单持仓,EB
9,中粮期货,6667,-380.0,2025-12-26,eb2602,多单持仓,EB
10,创元期货,6058,1584.0,2025-12-26,eb2602,多单持仓,EB
11,银河期货,5876,1504.0,2025-12-26,eb2602,多单持仓,EB
12,中泰期货,5843,698.0,2025-12-26,eb2602,多单持仓,EB
13,浙商期货,5837,1567.0,2025-12-26,eb2602,多单持仓,EB
14,锦泰期货,5366,178.0,2025-12-26,eb2602,多单持仓,EB
15,广发期货,4853,890.0,2025-12-26,eb2602,多单持仓,EB
16,瑞银期货,4617,0.0,2025-12-26,eb2602,多单持仓,EB
17,方正中期,4561,1366.0,2025-12-26,eb2602,多单持仓,EB
18,徽商期货,4443,-479.0,2025-12-26,eb2602,多单持仓,EB
19,兴证期货,4396,1456.0,2025-12-26,eb2602,多单持仓,EB
20,中金财富,4359,197.0,2025-12-26,eb2602,多单持仓,EB
1,国泰君安,43044,-2991.0,2025-12-29,eb2602,多单持仓,EB
2,中信期货,27392,2291.0,2025-12-29,eb2602,多单持仓,EB
3,华泰期货,23367,2054.0,2025-12-29,eb2602,多单持仓,EB
4,东证期货,20085,-3281.0,2025-12-29,eb2602,多单持仓,EB
5,中信建投,11128,1391.0,2025-12-29,eb2602,多单持仓,EB
6,永安期货,9735,-1505.0,2025-12-29,eb2602,多单持仓,EB
7,海通期货,9615,-832.0,2025-12-29,eb2602,多单持仓,EB
8,国海良时,7794,-976.0,2025-12-29,eb2602,多单持仓,EB
9,创元期货,6325,267.0,2025-12-29,eb2602,多单持仓,EB
10,中粮期货,6262,-405.0,2025-12-29,eb2602,多单持仓,EB
11,徽商期货,5783,1340.0,2025-12-29,eb2602,多单持仓,EB
12,锦泰期货,5409,43.0,2025-12-29,eb2602,多单持仓,EB
13,银河期货,5376,-500.0,2025-12-29,eb2602,多单持仓,EB
14,中泰期货,5181,-662.0,2025-12-29,eb2602,多单持仓,EB
15,华闻期货,4764,664.0,2025-12-29,eb2602,多单持仓,EB
16,广发期货,4582,-271.0,2025-12-29,eb2602,多单持仓,EB
17,中辉期货,4350,346.0,2025-12-29,eb2602,多单持仓,EB
18,宏源期货,4234,271.0,2025-12-29,eb2602,多单持仓,EB
19,南华期货,4232,1277.0,2025-12-29,eb2602,多单持仓,EB
20,方正中期,4051,-510.0,2025-12-29,eb2602,多单持仓,EB
1,国泰君安,41804,-1240.0,2025-12-30,eb2602,多单持仓,EB
2,中信期货,29538,2146.0,2025-12-30,eb2602,多单持仓,EB
3,华泰期货,23651,284.0,2025-12-30,eb2602,多单持仓,EB
4,东证期货,20319,234.0,2025-12-30,eb2602,多单持仓,EB
5,永安期货,9827,92.0,2025-12-30,eb2602,多单持仓,EB
6,海通期货,9189,-426.0,2025-12-30,eb2602,多单持仓,EB
7,国海良时,6961,-833.0,2025-12-30,eb2602,多单持仓,EB
8,创元期货,6454,129.0,2025-12-30,eb2602,多单持仓,EB
9,中信建投,5445,-5683.0,2025-12-30,eb2602,多单持仓,EB
10,徽商期货,5412,-371.0,2025-12-30,eb2602,多单持仓,EB
11,锦泰期货,5365,-44.0,2025-12-30,eb2602,多单持仓,EB
12,华闻期货,5328,564.0,2025-12-30,eb2602,多单持仓,EB
13,中粮期货,5218,-1044.0,2025-12-30,eb2602,多单持仓,EB
14,中泰期货,5154,-27.0,2025-12-30,eb2602,多单持仓,EB
15,银河期货,5097,-279.0,2025-12-30,eb2602,多单持仓,EB
16,瑞银期货,4638,2856.0,2025-12-30,eb2602,多单持仓,EB
17,南华期货,4587,355.0,2025-12-30,eb2602,多单持仓,EB
18,广发期货,4435,-147.0,2025-12-30,eb2602,多单持仓,EB
19,宏源期货,4360,126.0,2025-12-30,eb2602,多单持仓,EB
20,中辉期货,4071,-279.0,2025-12-30,eb2602,多单持仓,EB
