排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,79460,-43220.0,2025-12-25,eb2602,成交量,EB
2,中信期货,53912,-14095.0,2025-12-25,eb2602,成交量,EB
3,东证期货,53501,-22045.0,2025-12-25,eb2602,成交量,EB
4,中信建投,33815,-2861.0,2025-12-25,eb2602,成交量,EB
5,华泰期货,22159,-5949.0,2025-12-25,eb2602,成交量,EB
6,南华期货,20420,-6183.0,2025-12-25,eb2602,成交量,EB
7,徽商期货,19440,-2806.0,2025-12-25,eb2602,成交量,EB
8,国投期货,19371,-5384.0,2025-12-25,eb2602,成交量,EB
9,中泰期货,18415,-1778.0,2025-12-25,eb2602,成交量,EB
10,广发期货,15572,-4020.0,2025-12-25,eb2602,成交量,EB
11,浙商期货,14927,-26367.0,2025-12-25,eb2602,成交量,EB
12,银河期货,14324,-2696.0,2025-12-25,eb2602,成交量,EB
13,海通期货,12345,-1758.0,2025-12-25,eb2602,成交量,EB
14,永安期货,11742,-9465.0,2025-12-25,eb2602,成交量,EB
15,国信期货,10347,-1712.0,2025-12-25,eb2602,成交量,EB
16,华闻期货,10091,-7433.0,2025-12-25,eb2602,成交量,EB
17,瑞达期货,9654,-2469.0,2025-12-25,eb2602,成交量,EB
18,国联期货,8925,-4768.0,2025-12-25,eb2602,成交量,EB
19,华安期货,8826,-298.0,2025-12-25,eb2602,成交量,EB
20,创元期货,8076,-4097.0,2025-12-25,eb2602,成交量,EB
1,国泰君安,111549,32089.0,2025-12-26,eb2602,成交量,EB
2,东证期货,69455,15954.0,2025-12-26,eb2602,成交量,EB
3,中信期货,59769,5857.0,2025-12-26,eb2602,成交量,EB
4,中信建投,46900,13085.0,2025-12-26,eb2602,成交量,EB
5,徽商期货,27758,8318.0,2025-12-26,eb2602,成交量,EB
6,南华期货,27602,7182.0,2025-12-26,eb2602,成交量,EB
7,国投期货,25784,6413.0,2025-12-26,eb2602,成交量,EB
8,华泰期货,25613,3454.0,2025-12-26,eb2602,成交量,EB
9,中泰期货,25521,7106.0,2025-12-26,eb2602,成交量,EB
10,浙商期货,25248,10321.0,2025-12-26,eb2602,成交量,EB
11,银河期货,22961,8637.0,2025-12-26,eb2602,成交量,EB
12,广发期货,21354,5782.0,2025-12-26,eb2602,成交量,EB
13,海通期货,17710,5365.0,2025-12-26,eb2602,成交量,EB
14,永安期货,14634,2892.0,2025-12-26,eb2602,成交量,EB
15,国联期货,14600,5675.0,2025-12-26,eb2602,成交量,EB
