排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,30518,-2048.0,2025-12-25,eg2605,多单持仓,EG
2,国泰君安,26793,-4451.0,2025-12-25,eg2605,多单持仓,EG
3,中信期货,15460,-1354.0,2025-12-25,eg2605,多单持仓,EG
4,新湖期货,13324,-938.0,2025-12-25,eg2605,多单持仓,EG
5,华泰期货,12992,-453.0,2025-12-25,eg2605,多单持仓,EG
6,永安期货,12744,-227.0,2025-12-25,eg2605,多单持仓,EG
7,浙商期货,10694,434.0,2025-12-25,eg2605,多单持仓,EG
8,方正中期,8691,172.0,2025-12-25,eg2605,多单持仓,EG
9,东海期货,8069,-1519.0,2025-12-25,eg2605,多单持仓,EG
10,东吴期货,6779,-531.0,2025-12-25,eg2605,多单持仓,EG
11,银河期货,6587,-2268.0,2025-12-25,eg2605,多单持仓,EG
12,国海良时,6405,-1195.0,2025-12-25,eg2605,多单持仓,EG
13,创元期货,6302,-1549.0,2025-12-25,eg2605,多单持仓,EG
14,山金期货,6263,-99.0,2025-12-25,eg2605,多单持仓,EG
15,广发期货,5529,163.0,2025-12-25,eg2605,多单持仓,EG
16,建信期货,5395,454.0,2025-12-25,eg2605,多单持仓,EG
17,中信建投,4994,253.0,2025-12-25,eg2605,多单持仓,EG
18,国联期货,4981,-1208.0,2025-12-25,eg2605,多单持仓,EG
19,南华期货,4762,235.0,2025-12-25,eg2605,多单持仓,EG
20,兴业期货,4712,-207.0,2025-12-25,eg2605,多单持仓,EG
1,东证期货,28277,-2241.0,2025-12-26,eg2605,多单持仓,EG
2,国泰君安,25584,-1209.0,2025-12-26,eg2605,多单持仓,EG
3,中信期货,16183,723.0,2025-12-26,eg2605,多单持仓,EG
4,华泰期货,13842,850.0,2025-12-26,eg2605,多单持仓,EG
5,新湖期货,12443,-881.0,2025-12-26,eg2605,多单持仓,EG
6,永安期货,11894,-850.0,2025-12-26,eg2605,多单持仓,EG
7,浙商期货,10563,-131.0,2025-12-26,eg2605,多单持仓,EG
8,方正中期,8748,57.0,2025-12-26,eg2605,多单持仓,EG
9,东吴期货,7005,226.0,2025-12-26,eg2605,多单持仓,EG
10,银河期货,6154,-433.0,2025-12-26,eg2605,多单持仓,EG
11,东海期货,6027,-2042.0,2025-12-26,eg2605,多单持仓,EG
12,创元期货,5923,-379.0,2025-12-26,eg2605,多单持仓,EG
13,国信期货,5516,2509.0,2025-12-26,eg2605,多单持仓,EG
14,一德期货,5409,774.0,2025-12-26,eg2605,多单持仓,EG
15,广发期货,5363,-166.0,2025-12-26,eg2605,多单持仓,EG
