排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,43514,5461.0,2025-12-25,eg2605,空单持仓,EG
2,中信期货,31468,-4673.0,2025-12-25,eg2605,空单持仓,EG
3,东证期货,26744,207.0,2025-12-25,eg2605,空单持仓,EG
4,国投期货,23243,532.0,2025-12-25,eg2605,空单持仓,EG
5,银河期货,13664,-2078.0,2025-12-25,eg2605,空单持仓,EG
6,中金财富,13505,-2264.0,2025-12-25,eg2605,空单持仓,EG
7,华泰期货,11763,-620.0,2025-12-25,eg2605,空单持仓,EG
8,乾坤期货,10523,-25.0,2025-12-25,eg2605,空单持仓,EG
9,永安期货,9663,-556.0,2025-12-25,eg2605,空单持仓,EG
10,平安期货,9453,-2971.0,2025-12-25,eg2605,空单持仓,EG
11,浙商期货,8865,974.0,2025-12-25,eg2605,空单持仓,EG
12,瑞银期货,6777,-245.0,2025-12-25,eg2605,空单持仓,EG
13,华闻期货,5953,617.0,2025-12-25,eg2605,空单持仓,EG
14,国海良时,5694,12.0,2025-12-25,eg2605,空单持仓,EG
15,中信建投,5426,-531.0,2025-12-25,eg2605,空单持仓,EG
16,海证期货,5030,-346.0,2025-12-25,eg2605,空单持仓,EG
17,一德期货,4538,48.0,2025-12-25,eg2605,空单持仓,EG
18,国贸期货,4352,304.0,2025-12-25,eg2605,空单持仓,EG
19,光大期货,3636,-1218.0,2025-12-25,eg2605,空单持仓,EG
20,广发期货,3469,-1084.0,2025-12-25,eg2605,空单持仓,EG
1,国泰君安,38954,-4560.0,2025-12-26,eg2605,空单持仓,EG
2,中信期货,30251,-1217.0,2025-12-26,eg2605,空单持仓,EG
3,东证期货,27374,630.0,2025-12-26,eg2605,空单持仓,EG
4,国投期货,23988,745.0,2025-12-26,eg2605,空单持仓,EG
5,中金财富,13981,476.0,2025-12-26,eg2605,空单持仓,EG
6,银河期货,13418,-246.0,2025-12-26,eg2605,空单持仓,EG
7,华泰期货,10733,-1030.0,2025-12-26,eg2605,空单持仓,EG
8,乾坤期货,10477,-46.0,2025-12-26,eg2605,空单持仓,EG
9,永安期货,9576,-87.0,2025-12-26,eg2605,空单持仓,EG
10,平安期货,9026,-427.0,2025-12-26,eg2605,空单持仓,EG
11,浙商期货,8748,-117.0,2025-12-26,eg2605,空单持仓,EG
12,瑞银期货,6775,-2.0,2025-12-26,eg2605,空单持仓,EG
13,华闻期货,6543,590.0,2025-12-26,eg2605,空单持仓,EG
14,海证期货,5292,262.0,2025-12-26,eg2605,空单持仓,EG
15,国贸期货,4467,115.0,2025-12-26,eg2605,空单持仓,EG
16,中信建投,4432,-994.0,2025-12-26,eg2605,空单持仓,EG
17,一德期货,3994,-544.0,2025-12-26,eg2605,空单持仓,EG
18,招商期货,3678,1086.0,2025-12-26,eg2605,空单持仓,EG
19,东吴期货,3368,849.0,2025-12-26,eg2605,空单持仓,EG
20,光大期货,3347,-289.0,2025-12-26,eg2605,空单持仓,EG
1,国泰君安,38486,-468.0,2025-12-29,eg2605,空单持仓,EG
2,中信期货,30346,95.0,2025-12-29,eg2605,空单持仓,EG
3,东证期货,26973,-401.0,2025-12-29,eg2605,空单持仓,EG
4,国投期货,21987,-2001.0,2025-12-29,eg2605,空单持仓,EG
5,中金财富,13277,-704.0,2025-12-29,eg2605,空单持仓,EG
6,银河期货,12524,-894.0,2025-12-29,eg2605,空单持仓,EG
7,乾坤期货,10670,193.0,2025-12-29,eg2605,空单持仓,EG
8,华泰期货,10471,-262.0,2025-12-29,eg2605,空单持仓,EG
9,永安期货,9417,-159.0,2025-12-29,eg2605,空单持仓,EG
10,平安期货,8883,-143.0,2025-12-29,eg2605,空单持仓,EG
11,浙商期货,8454,-294.0,2025-12-29,eg2605,空单持仓,EG
12,华闻期货,6346,-197.0,2025-12-29,eg2605,空单持仓,EG
13,瑞银期货,5689,-1086.0,2025-12-29,eg2605,空单持仓,EG
14,中信建投,5313,881.0,2025-12-29,eg2605,空单持仓,EG
15,海证期货,4999,-293.0,2025-12-29,eg2605,空单持仓,EG
16,一德期货,4045,51.0,2025-12-29,eg2605,空单持仓,EG
17,招商期货,3978,300.0,2025-12-29,eg2605,空单持仓,EG
18,国贸期货,3668,-799.0,2025-12-29,eg2605,空单持仓,EG
19,创元期货,3486,589.0,2025-12-29,eg2605,空单持仓,EG
20,东吴期货,3248,-120.0,2025-12-29,eg2605,空单持仓,EG
1,国泰君安,38970,484.0,2025-12-30,eg2605,空单持仓,EG
2,中信期货,32933,2587.0,2025-12-30,eg2605,空单持仓,EG
3,东证期货,22115,-4858.0,2025-12-30,eg2605,空单持仓,EG
4,国投期货,21843,-144.0,2025-12-30,eg2605,空单持仓,EG
5,银河期货,13650,1126.0,2025-12-30,eg2605,空单持仓,EG
6,中金财富,12335,-942.0,2025-12-30,eg2605,空单持仓,EG
7,乾坤期货,10439,-231.0,2025-12-30,eg2605,空单持仓,EG
8,华泰期货,10201,-270.0,2025-12-30,eg2605,空单持仓,EG
9,平安期货,9448,565.0,2025-12-30,eg2605,空单持仓,EG
10,浙商期货,8830,376.0,2025-12-30,eg2605,空单持仓,EG
11,永安期货,8295,-1122.0,2025-12-30,eg2605,空单持仓,EG
12,中信建投,6230,917.0,2025-12-30,eg2605,空单持仓,EG
13,瑞银期货,5801,112.0,2025-12-30,eg2605,空单持仓,EG
