排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,183070,-10416.0,2025-12-25,eg2605,成交量,EG
2,中信期货,94289,-21714.0,2025-12-25,eg2605,成交量,EG
3,东证期货,64491,-24014.0,2025-12-25,eg2605,成交量,EG
4,国投期货,35263,-12000.0,2025-12-25,eg2605,成交量,EG
5,广发期货,33535,-503.0,2025-12-25,eg2605,成交量,EG
6,银河期货,29046,-2622.0,2025-12-25,eg2605,成交量,EG
7,徽商期货,28845,-423.0,2025-12-25,eg2605,成交量,EG
8,浙商期货,27370,-2871.0,2025-12-25,eg2605,成交量,EG
9,华泰期货,27303,-8882.0,2025-12-25,eg2605,成交量,EG
10,中泰期货,25786,27.0,2025-12-25,eg2605,成交量,EG
11,海通期货,21002,-7875.0,2025-12-25,eg2605,成交量,EG
12,申银万国,20608,4940.0,2025-12-25,eg2605,成交量,EG
13,中信建投,20596,-859.0,2025-12-25,eg2605,成交量,EG
14,华闻期货,18789,-6284.0,2025-12-25,eg2605,成交量,EG
15,创元期货,15675,620.0,2025-12-25,eg2605,成交量,EG
16,方正中期,15324,-3548.0,2025-12-25,eg2605,成交量,EG
17,国联期货,15057,-8199.0,2025-12-25,eg2605,成交量,EG
18,东吴期货,14424,826.0,2025-12-25,eg2605,成交量,EG
19,华安期货,14236,-4007.0,2025-12-25,eg2605,成交量,EG
20,国信期货,13414,-4957.0,2025-12-25,eg2605,成交量,EG
1,国泰君安,116803,-66267.0,2025-12-26,eg2605,成交量,EG
2,中信期货,72494,-21795.0,2025-12-26,eg2605,成交量,EG
3,东证期货,42283,-22208.0,2025-12-26,eg2605,成交量,EG
4,国投期货,23668,-11595.0,2025-12-26,eg2605,成交量,EG
5,广发期货,21932,-11603.0,2025-12-26,eg2605,成交量,EG
6,海通期货,18398,-2604.0,2025-12-26,eg2605,成交量,EG
7,华泰期货,17828,-9475.0,2025-12-26,eg2605,成交量,EG
8,徽商期货,16959,-11886.0,2025-12-26,eg2605,成交量,EG
9,中泰期货,16891,-8895.0,2025-12-26,eg2605,成交量,EG
10,浙商期货,14992,-12378.0,2025-12-26,eg2605,成交量,EG
11,华闻期货,13803,-4986.0,2025-12-26,eg2605,成交量,EG
12,国海良时,11970,3677.0,2025-12-26,eg2605,成交量,EG
13,国信期货,11627,-1787.0,2025-12-26,eg2605,成交量,EG
14,银河期货,11177,-17869.0,2025-12-26,eg2605,成交量,EG
15,中信建投,11069,-9527.0,2025-12-26,eg2605,成交量,EG
16,东吴期货,9443,-4981.0,2025-12-26,eg2605,成交量,EG
17,方正中期,9348,-5976.0,2025-12-26,eg2605,成交量,EG
18,中辉期货,9293,-119.0,2025-12-26,eg2605,成交量,EG
19,国联期货,9014,-6043.0,2025-12-26,eg2605,成交量,EG
20,光大期货,8465,-2050.0,2025-12-26,eg2605,成交量,EG
1,国泰君安,81711,-35092.0,2025-12-29,eg2605,成交量,EG
2,中信期货,50814,-21680.0,2025-12-29,eg2605,成交量,EG
3,东证期货,27514,-14769.0,2025-12-29,eg2605,成交量,EG
4,广发期货,16095,-5837.0,2025-12-29,eg2605,成交量,EG
5,国投期货,12965,-10703.0,2025-12-29,eg2605,成交量,EG
6,浙商期货,12725,-2267.0,2025-12-29,eg2605,成交量,EG
7,华泰期货,10389,-7439.0,2025-12-29,eg2605,成交量,EG
8,华闻期货,10220,-3583.0,2025-12-29,eg2605,成交量,EG
9,徽商期货,9427,-7532.0,2025-12-29,eg2605,成交量,EG
10,海通期货,9097,-9301.0,2025-12-29,eg2605,成交量,EG
11,中泰期货,9021,-7870.0,2025-12-29,eg2605,成交量,EG
12,国信期货,7784,-3843.0,2025-12-29,eg2605,成交量,EG
13,中信建投,7680,-3389.0,2025-12-29,eg2605,成交量,EG
14,银河期货,6482,-4695.0,2025-12-29,eg2605,成交量,EG
15,国联期货,5915,-3099.0,2025-12-29,eg2605,成交量,EG
16,光大期货,5765,-2700.0,2025-12-29,eg2605,成交量,EG
17,创元期货,5366,-2500.0,2025-12-29,eg2605,成交量,EG
18,平安期货,5358,-707.0,2025-12-29,eg2605,成交量,EG
19,招商期货,5133,-2410.0,2025-12-29,eg2605,成交量,EG
20,方正中期,5074,-4274.0,2025-12-29,eg2605,成交量,EG
1,国泰君安,77964,-3747.0,2025-12-30,eg2605,成交量,EG
2,中信期货,50338,-476.0,2025-12-30,eg2605,成交量,EG
3,东证期货,35790,8276.0,2025-12-30,eg2605,成交量,EG
4,国投期货,14220,1255.0,2025-12-30,eg2605,成交量,EG
