排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,84573,-9375.0,2025-12-25,FG2605,多单持仓,FG
2,东证期货,58562,-8552.0,2025-12-25,FG2605,多单持仓,FG
3,中信期货,53710,-7944.0,2025-12-25,FG2605,多单持仓,FG
4,华泰期货,33259,-322.0,2025-12-25,FG2605,多单持仓,FG
5,中泰期货,33036,-5012.0,2025-12-25,FG2605,多单持仓,FG
6,永安期货,31983,3220.0,2025-12-25,FG2605,多单持仓,FG
7,信达期货,28434,2221.0,2025-12-25,FG2605,多单持仓,FG
8,方正中期,28086,-494.0,2025-12-25,FG2605,多单持仓,FG
9,银河期货,26866,206.0,2025-12-25,FG2605,多单持仓,FG
10,中信建投,26577,2147.0,2025-12-25,FG2605,多单持仓,FG
11,宝城期货,25201,-324.0,2025-12-25,FG2605,多单持仓,FG
12,光大期货,24757,-1250.0,2025-12-25,FG2605,多单持仓,FG
13,徽商期货,23991,567.0,2025-12-25,FG2605,多单持仓,FG
14,广发期货,21595,-839.0,2025-12-25,FG2605,多单持仓,FG
15,南华期货,21208,-38.0,2025-12-25,FG2605,多单持仓,FG
16,国投期货,17961,-1214.0,2025-12-25,FG2605,多单持仓,FG
17,平安期货,17081,-1771.0,2025-12-25,FG2605,多单持仓,FG
18,申银万国,16209,504.0,2025-12-25,FG2605,多单持仓,FG
19,中财期货,16015,3123.0,2025-12-25,FG2605,多单持仓,FG
20,广州金控,15617,78.0,2025-12-25,FG2605,多单持仓,FG
1,国泰君安,82230,-2343.0,2025-12-26,FG2605,多单持仓,FG
2,东证期货,62724,4162.0,2025-12-26,FG2605,多单持仓,FG
3,中信期货,53249,-461.0,2025-12-26,FG2605,多单持仓,FG
4,华泰期货,36216,2957.0,2025-12-26,FG2605,多单持仓,FG
5,中泰期货,34417,1381.0,2025-12-26,FG2605,多单持仓,FG
6,方正中期,29852,1766.0,2025-12-26,FG2605,多单持仓,FG
7,信达期货,28499,65.0,2025-12-26,FG2605,多单持仓,FG
8,光大期货,28171,3414.0,2025-12-26,FG2605,多单持仓,FG
9,银河期货,26873,7.0,2025-12-26,FG2605,多单持仓,FG
10,广发期货,26317,4722.0,2025-12-26,FG2605,多单持仓,FG
11,中信建投,25873,-704.0,2025-12-26,FG2605,多单持仓,FG
12,永安期货,25516,-6467.0,2025-12-26,FG2605,多单持仓,FG
13,宝城期货,25259,58.0,2025-12-26,FG2605,多单持仓,FG
14,徽商期货,23712,-279.0,2025-12-26,FG2605,多单持仓,FG
15,国投期货,18586,625.0,2025-12-26,FG2605,多单持仓,FG
16,南华期货,18549,-2659.0,2025-12-26,FG2605,多单持仓,FG
17,中财期货,16301,286.0,2025-12-26,FG2605,多单持仓,FG
18,平安期货,16105,-976.0,2025-12-26,FG2605,多单持仓,FG
19,申银万国,15842,-367.0,2025-12-26,FG2605,多单持仓,FG
20,东方财富,15223,-379.0,2025-12-26,FG2605,多单持仓,FG
1,国泰君安,81417,-813.0,2025-12-29,FG2605,多单持仓,FG
2,中信期货,57860,4611.0,2025-12-29,FG2605,多单持仓,FG
3,东证期货,57725,-4999.0,2025-12-29,FG2605,多单持仓,FG
4,华泰期货,32918,-3298.0,2025-12-29,FG2605,多单持仓,FG
5,中泰期货,32652,-1765.0,2025-12-29,FG2605,多单持仓,FG
6,永安期货,30879,5363.0,2025-12-29,FG2605,多单持仓,FG
7,信达期货,30010,1511.0,2025-12-29,FG2605,多单持仓,FG
8,银河期货,28627,1754.0,2025-12-29,FG2605,多单持仓,FG
9,方正中期,28503,-1349.0,2025-12-29,FG2605,多单持仓,FG
10,广发期货,28259,1942.0,2025-12-29,FG2605,多单持仓,FG
11,中信建投,27035,1162.0,2025-12-29,FG2605,多单持仓,FG
12,光大期货,26969,-1202.0,2025-12-29,FG2605,多单持仓,FG
13,宝城期货,25132,-127.0,2025-12-29,FG2605,多单持仓,FG
14,徽商期货,24463,751.0,2025-12-29,FG2605,多单持仓,FG
15,国投期货,18200,-386.0,2025-12-29,FG2605,多单持仓,FG
16,中财期货,17260,959.0,2025-12-29,FG2605,多单持仓,FG
17,南华期货,16957,-1592.0,2025-12-29,FG2605,多单持仓,FG
18,申银万国,16524,682.0,2025-12-29,FG2605,多单持仓,FG
19,平安期货,16390,285.0,2025-12-29,FG2605,多单持仓,FG
20,海通期货,16038,2383.0,2025-12-29,FG2605,多单持仓,FG
1,国泰君安,81786,369.0,2025-12-30,FG2605,多单持仓,FG
2,东证期货,71362,13637.0,2025-12-30,FG2605,多单持仓,FG
3,中信期货,69855,11995.0,2025-12-30,FG2605,多单持仓,FG
4,华泰期货,37324,4406.0,2025-12-30,FG2605,多单持仓,FG
5,永安期货,29764,-1115.0,2025-12-30,FG2605,多单持仓,FG
6,信达期货,29404,-606.0,2025-12-30,FG2605,多单持仓,FG
7,中泰期货,28907,-3745.0,2025-12-30,FG2605,多单持仓,FG
8,方正中期,27918,-585.0,2025-12-30,FG2605,多单持仓,FG
9,银河期货,27406,-1221.0,2025-12-30,FG2605,多单持仓,FG
10,广发期货,27197,-1062.0,2025-12-30,FG2605,多单持仓,FG
11,光大期货,25519,-1450.0,2025-12-30,FG2605,多单持仓,FG
12,中信建投,23933,-3102.0,2025-12-30,FG2605,多单持仓,FG
13,徽商期货,23858,-605.0,2025-12-30,FG2605,多单持仓,FG
14,宝城期货,23033,-2099.0,2025-12-30,FG2605,多单持仓,FG
15,南华期货,17542,585.0,2025-12-30,FG2605,多单持仓,FG
16,申银万国,16956,432.0,2025-12-30,FG2605,多单持仓,FG
17,国元期货,16421,1664.0,2025-12-30,FG2605,多单持仓,FG
18,海通期货,16034,-4.0,2025-12-30,FG2605,多单持仓,FG
19,广州金控,15708,2280.0,2025-12-30,FG2605,多单持仓,FG
20,招商期货,15611,1520.0,2025-12-30,FG2605,多单持仓,FG
1,国泰君安,61850,-19936.0,2025-12-31,FG2605,多单持仓,FG
2,东证期货,58532,-12830.0,2025-12-31,FG2605,多单持仓,FG
3,中信期货,42870,-26985.0,2025-12-31,FG2605,多单持仓,FG
4,永安期货,30456,692.0,2025-12-31,FG2605,多单持仓,FG
5,信达期货,29224,-180.0,2025-12-31,FG2605,多单持仓,FG
6,方正中期,28803,885.0,2025-12-31,FG2605,多单持仓,FG
7,华泰期货,28235,-9089.0,2025-12-31,FG2605,多单持仓,FG
8,广发期货,26665,-532.0,2025-12-31,FG2605,多单持仓,FG
9,银河期货,26610,-796.0,2025-12-31,FG2605,多单持仓,FG
10,中泰期货,25915,-2992.0,2025-12-31,FG2605,多单持仓,FG
11,徽商期货,22719,-1139.0,2025-12-31,FG2605,多单持仓,FG
12,中信建投,22303,-1630.0,2025-12-31,FG2605,多单持仓,FG
13,南华期货,19854,2312.0,2025-12-31,FG2605,多单持仓,FG
14,光大期货,18718,-6801.0,2025-12-31,FG2605,多单持仓,FG
15,申银万国,17563,607.0,2025-12-31,FG2605,多单持仓,FG
16,先锋期货,17063,4153.0,2025-12-31,FG2605,多单持仓,FG
17,广州金控,16353,645.0,2025-12-31,FG2605,多单持仓,FG
18,国元期货,16250,-171.0,2025-12-31,FG2605,多单持仓,FG
19,宝城期货,15806,-7227.0,2025-12-31,FG2605,多单持仓,FG
20,国信期货,13969,343.0,2025-12-31,FG2605,多单持仓,FG
