排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,220854,-81035.0,2025-12-25,FG2605,成交量,FG
2,中信期货,184167,-65257.0,2025-12-25,FG2605,成交量,FG
3,东证期货,102577,-75207.0,2025-12-25,FG2605,成交量,FG
4,华泰期货,67678,-25312.0,2025-12-25,FG2605,成交量,FG
5,银河期货,54915,-19746.0,2025-12-25,FG2605,成交量,FG
6,中信建投,51816,-31214.0,2025-12-25,FG2605,成交量,FG
7,华闻期货,49699,-25304.0,2025-12-25,FG2605,成交量,FG
8,中泰期货,47034,646.0,2025-12-25,FG2605,成交量,FG
9,光大期货,45446,-27735.0,2025-12-25,FG2605,成交量,FG
10,新湖期货,42294,-19550.0,2025-12-25,FG2605,成交量,FG
11,徽商期货,40124,-21406.0,2025-12-25,FG2605,成交量,FG
12,广发期货,36696,-14795.0,2025-12-25,FG2605,成交量,FG
13,瑞达期货,33240,-5504.0,2025-12-25,FG2605,成交量,FG
14,海通期货,31981,-17513.0,2025-12-25,FG2605,成交量,FG
15,南华期货,30678,-21549.0,2025-12-25,FG2605,成交量,FG
16,国信期货,30495,-8942.0,2025-12-25,FG2605,成交量,FG
17,浙商期货,29605,4727.0,2025-12-25,FG2605,成交量,FG
18,平安期货,28596,-12119.0,2025-12-25,FG2605,成交量,FG
19,方正中期,28140,-20019.0,2025-12-25,FG2605,成交量,FG
20,永安期货,26416,-10307.0,2025-12-25,FG2605,成交量,FG
1,国泰君安,347689,126835.0,2025-12-26,FG2605,成交量,FG
2,中信期货,277307,93140.0,2025-12-26,FG2605,成交量,FG
3,东证期货,204405,101828.0,2025-12-26,FG2605,成交量,FG
4,华泰期货,96019,28341.0,2025-12-26,FG2605,成交量,FG
5,银河期货,93215,38300.0,2025-12-26,FG2605,成交量,FG
6,中信建投,93010,41194.0,2025-12-26,FG2605,成交量,FG
7,光大期货,81473,36027.0,2025-12-26,FG2605,成交量,FG
8,华闻期货,79938,30239.0,2025-12-26,FG2605,成交量,FG
