排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,26276,-124.0,2025-12-25,fu2603,多单持仓,FU
2,东证期货,17181,2314.0,2025-12-25,fu2603,多单持仓,FU
3,中信期货,16023,215.0,2025-12-25,fu2603,多单持仓,FU
4,永安期货,10332,-64.0,2025-12-25,fu2603,多单持仓,FU
5,华泰期货,10092,-2629.0,2025-12-25,fu2603,多单持仓,FU
6,方正中期,9830,-264.0,2025-12-25,fu2603,多单持仓,FU
7,浙商期货,7158,-1216.0,2025-12-25,fu2603,多单持仓,FU
8,申万期货,7029,386.0,2025-12-25,fu2603,多单持仓,FU
9,宏源期货,6338,109.0,2025-12-25,fu2603,多单持仓,FU
10,创元期货,5790,324.0,2025-12-25,fu2603,多单持仓,FU
11,中泰期货,5493,-548.0,2025-12-25,fu2603,多单持仓,FU
12,上海中期,5169,-71.0,2025-12-25,fu2603,多单持仓,FU
13,银河期货,4421,83.0,2025-12-25,fu2603,多单持仓,FU
14,华闻期货,4224,475.0,2025-12-25,fu2603,多单持仓,FU
15,招商期货,4149,-868.0,2025-12-25,fu2603,多单持仓,FU
16,平安期货,4038,-366.0,2025-12-25,fu2603,多单持仓,FU
17,西部期货,3224,-336.0,2025-12-25,fu2603,多单持仓,FU
18,广发期货,3123,382.0,2025-12-25,fu2603,多单持仓,FU
19,国联期货,2854,-231.0,2025-12-25,fu2603,多单持仓,FU
20,海通期货,2611,-527.0,2025-12-25,fu2603,多单持仓,FU
1,国泰君安,22474,-3802.0,2025-12-26,fu2603,多单持仓,FU
2,东证期货,11238,-5943.0,2025-12-26,fu2603,多单持仓,FU
3,中信期货,11013,-5010.0,2025-12-26,fu2603,多单持仓,FU
4,申万期货,9679,2650.0,2025-12-26,fu2603,多单持仓,FU
5,华泰期货,9420,-672.0,2025-12-26,fu2603,多单持仓,FU
6,方正中期,8884,-946.0,2025-12-26,fu2603,多单持仓,FU
7,浙商期货,7592,434.0,2025-12-26,fu2603,多单持仓,FU
8,永安期货,7556,-2776.0,2025-12-26,fu2603,多单持仓,FU
9,平安期货,4976,938.0,2025-12-26,fu2603,多单持仓,FU
10,银河期货,4304,-117.0,2025-12-26,fu2603,多单持仓,FU
11,上海中期,4230,-939.0,2025-12-26,fu2603,多单持仓,FU
12,华闻期货,4132,-92.0,2025-12-26,fu2603,多单持仓,FU
13,创元期货,4008,-1782.0,2025-12-26,fu2603,多单持仓,FU
14,中泰期货,3638,-1855.0,2025-12-26,fu2603,多单持仓,FU
15,广发期货,3363,240.0,2025-12-26,fu2603,多单持仓,FU
16,招商期货,2791,-1358.0,2025-12-26,fu2603,多单持仓,FU
17,中信建投,2781,303.0,2025-12-26,fu2603,多单持仓,FU
18,国联期货,2618,-236.0,2025-12-26,fu2603,多单持仓,FU
19,东方财富,2438,173.0,2025-12-26,fu2603,多单持仓,FU
20,宏源期货,2177,-4161.0,2025-12-26,fu2603,多单持仓,FU
1,国泰君安,19607,-2867.0,2025-12-29,fu2603,多单持仓,FU
2,东证期货,12012,774.0,2025-12-29,fu2603,多单持仓,FU
3,中信期货,9415,-1598.0,2025-12-29,fu2603,多单持仓,FU
4,方正中期,7863,-1021.0,2025-12-29,fu2603,多单持仓,FU
5,华泰期货,7182,-2238.0,2025-12-29,fu2603,多单持仓,FU
6,浙商期货,6659,-933.0,2025-12-29,fu2603,多单持仓,FU
7,永安期货,4837,-2719.0,2025-12-29,fu2603,多单持仓,FU
8,银河期货,4635,331.0,2025-12-29,fu2603,多单持仓,FU
9,平安期货,4421,-555.0,2025-12-29,fu2603,多单持仓,FU
10,创元期货,4123,115.0,2025-12-29,fu2603,多单持仓,FU
11,华闻期货,3862,-270.0,2025-12-29,fu2603,多单持仓,FU
12,广发期货,3848,485.0,2025-12-29,fu2603,多单持仓,FU
13,中泰期货,3796,158.0,2025-12-29,fu2603,多单持仓,FU
14,中信建投,3189,408.0,2025-12-29,fu2603,多单持仓,FU
