排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,24451,355.0,2025-12-25,fu2603,空单持仓,FU
2,中信期货,17857,-1595.0,2025-12-25,fu2603,空单持仓,FU
3,东证期货,13640,-1191.0,2025-12-25,fu2603,空单持仓,FU
4,银河期货,11183,3700.0,2025-12-25,fu2603,空单持仓,FU
5,中金财富,10193,-1154.0,2025-12-25,fu2603,空单持仓,FU
6,华泰期货,9198,-2207.0,2025-12-25,fu2603,空单持仓,FU
7,方正中期,7697,-729.0,2025-12-25,fu2603,空单持仓,FU
8,乾坤期货,7492,-177.0,2025-12-25,fu2603,空单持仓,FU
9,中银期货,6816,1354.0,2025-12-25,fu2603,空单持仓,FU
10,平安期货,6229,168.0,2025-12-25,fu2603,空单持仓,FU
11,浙商期货,5928,-959.0,2025-12-25,fu2603,空单持仓,FU
12,宏源期货,5832,-12.0,2025-12-25,fu2603,空单持仓,FU
13,中信建投,5330,-37.0,2025-12-25,fu2603,空单持仓,FU
14,国投期货,5081,1739.0,2025-12-25,fu2603,空单持仓,FU
15,上海中期,5058,-16.0,2025-12-25,fu2603,空单持仓,FU
16,永安期货,4935,-133.0,2025-12-25,fu2603,空单持仓,FU
17,中泰期货,4504,-746.0,2025-12-25,fu2603,空单持仓,FU
18,光大期货,3811,-318.0,2025-12-25,fu2603,空单持仓,FU
19,招商期货,3440,-679.0,2025-12-25,fu2603,空单持仓,FU
20,申万期货,3370,-1479.0,2025-12-25,fu2603,空单持仓,FU
1,国泰君安,20261,-4190.0,2025-12-26,fu2603,空单持仓,FU
2,中信期货,15983,-1874.0,2025-12-26,fu2603,空单持仓,FU
3,东证期货,11293,-2347.0,2025-12-26,fu2603,空单持仓,FU
4,华泰期货,8340,-858.0,2025-12-26,fu2603,空单持仓,FU
5,中银期货,7514,698.0,2025-12-26,fu2603,空单持仓,FU
6,银河期货,7200,-3983.0,2025-12-26,fu2603,空单持仓,FU
7,中金财富,6547,-3646.0,2025-12-26,fu2603,空单持仓,FU
8,方正中期,6293,-1404.0,2025-12-26,fu2603,空单持仓,FU
9,平安期货,5310,-919.0,2025-12-26,fu2603,空单持仓,FU
10,乾坤期货,5195,-2297.0,2025-12-26,fu2603,空单持仓,FU
11,浙商期货,5129,-799.0,2025-12-26,fu2603,空单持仓,FU
12,永安期货,4922,-13.0,2025-12-26,fu2603,空单持仓,FU
13,中信建投,4605,-725.0,2025-12-26,fu2603,空单持仓,FU
14,国投期货,4143,-938.0,2025-12-26,fu2603,空单持仓,FU
15,上海中期,4098,-960.0,2025-12-26,fu2603,空单持仓,FU
16,申万期货,3782,412.0,2025-12-26,fu2603,空单持仓,FU
17,南华期货,3711,381.0,2025-12-26,fu2603,空单持仓,FU
18,光大期货,3624,-187.0,2025-12-26,fu2603,空单持仓,FU
19,瑞达期货,3593,282.0,2025-12-26,fu2603,空单持仓,FU
20,中泰期货,3180,-1324.0,2025-12-26,fu2603,空单持仓,FU
1,国泰君安,18742,-1519.0,2025-12-29,fu2603,空单持仓,FU
2,中信期货,14307,-1676.0,2025-12-29,fu2603,空单持仓,FU
3,东证期货,10242,-1051.0,2025-12-29,fu2603,空单持仓,FU
4,银河期货,7965,765.0,2025-12-29,fu2603,空单持仓,FU
5,中银期货,7493,-21.0,2025-12-29,fu2603,空单持仓,FU
6,永安期货,6782,1860.0,2025-12-29,fu2603,空单持仓,FU
7,国投期货,6755,2612.0,2025-12-29,fu2603,空单持仓,FU
8,华泰期货,5943,-2397.0,2025-12-29,fu2603,空单持仓,FU
9,中金财富,5909,-638.0,2025-12-29,fu2603,空单持仓,FU
10,瑞达期货,5293,1700.0,2025-12-29,fu2603,空单持仓,FU
11,方正中期,4689,-1604.0,2025-12-29,fu2603,空单持仓,FU
12,平安期货,4223,-1087.0,2025-12-29,fu2603,空单持仓,FU
13,申万期货,4035,253.0,2025-12-29,fu2603,空单持仓,FU
14,中信建投,3959,-646.0,2025-12-29,fu2603,空单持仓,FU
15,海通期货,3608,1498.0,2025-12-29,fu2603,空单持仓,FU
16,浙商期货,3333,-1796.0,2025-12-29,fu2603,空单持仓,FU
17,光大期货,3187,-437.0,2025-12-29,fu2603,空单持仓,FU
