排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,134339,-12254.0,2025-12-25,fu2603,成交量,FU
2,中信期货,131116,-18202.0,2025-12-25,fu2603,成交量,FU
3,东证期货,107815,-44898.0,2025-12-25,fu2603,成交量,FU
4,中泰期货,50918,-3488.0,2025-12-25,fu2603,成交量,FU
5,华泰期货,43802,-10414.0,2025-12-25,fu2603,成交量,FU
6,华闻期货,40685,-5142.0,2025-12-25,fu2603,成交量,FU
7,浙商期货,30105,-4987.0,2025-12-25,fu2603,成交量,FU
8,广发期货,23911,-1772.0,2025-12-25,fu2603,成交量,FU
9,新湖期货,23470,8255.0,2025-12-25,fu2603,成交量,FU
10,银河期货,19049,-2018.0,2025-12-25,fu2603,成交量,FU
11,海通期货,16629,927.0,2025-12-25,fu2603,成交量,FU
12,广州期货,14717,5733.0,2025-12-25,fu2603,成交量,FU
13,中信建投,11913,-1606.0,2025-12-25,fu2603,成交量,FU
14,方正中期,11191,1435.0,2025-12-25,fu2603,成交量,FU
15,申万期货,10641,3261.0,2025-12-25,fu2603,成交量,FU
16,瑞达期货,8125,714.0,2025-12-25,fu2603,成交量,FU
17,光大期货,8009,-264.0,2025-12-25,fu2603,成交量,FU
18,东方财富,7964,-2543.0,2025-12-25,fu2603,成交量,FU
19,徽商期货,7709,-2857.0,2025-12-25,fu2603,成交量,FU
20,国信期货,7703,1059.0,2025-12-25,fu2603,成交量,FU
1,国泰君安,271094,136755.0,2025-12-26,fu2603,成交量,FU
2,中信期货,176364,45248.0,2025-12-26,fu2603,成交量,FU
3,东证期货,165988,58173.0,2025-12-26,fu2603,成交量,FU
4,中泰期货,76339,25421.0,2025-12-26,fu2603,成交量,FU
5,华闻期货,63760,23075.0,2025-12-26,fu2603,成交量,FU
6,华泰期货,60074,16272.0,2025-12-26,fu2603,成交量,FU
7,浙商期货,44171,14066.0,2025-12-26,fu2603,成交量,FU
8,广发期货,33407,9496.0,2025-12-26,fu2603,成交量,FU
9,银河期货,25420,6371.0,2025-12-26,fu2603,成交量,FU
10,申万期货,24374,13733.0,2025-12-26,fu2603,成交量,FU
11,海通期货,22252,5623.0,2025-12-26,fu2603,成交量,FU
12,新湖期货,16760,-6710.0,2025-12-26,fu2603,成交量,FU
13,平安期货,16531,9189.0,2025-12-26,fu2603,成交量,FU
14,瑞达期货,15343,7218.0,2025-12-26,fu2603,成交量,FU
15,中信建投,15280,3367.0,2025-12-26,fu2603,成交量,FU
16,兴证期货,14853,7868.0,2025-12-26,fu2603,成交量,FU
17,方正中期,14024,2833.0,2025-12-26,fu2603,成交量,FU
18,广州期货,13907,-810.0,2025-12-26,fu2603,成交量,FU
19,徽商期货,13590,5881.0,2025-12-26,fu2603,成交量,FU
20,宏源期货,12876,8501.0,2025-12-26,fu2603,成交量,FU
1,国泰君安,256774,-14320.0,2025-12-29,fu2603,成交量,FU
2,东证期货,179285,13297.0,2025-12-29,fu2603,成交量,FU
3,中信期货,178458,2094.0,2025-12-29,fu2603,成交量,FU
4,华泰期货,71017,10943.0,2025-12-29,fu2603,成交量,FU
5,华闻期货,63827,67.0,2025-12-29,fu2603,成交量,FU
6,中泰期货,62501,-13838.0,2025-12-29,fu2603,成交量,FU
7,浙商期货,46039,1868.0,2025-12-29,fu2603,成交量,FU
8,广发期货,31201,-2206.0,2025-12-29,fu2603,成交量,FU
9,海通期货,24684,2432.0,2025-12-29,fu2603,成交量,FU
10,新湖期货,23203,6443.0,2025-12-29,fu2603,成交量,FU
11,银河期货,22452,-2968.0,2025-12-29,fu2603,成交量,FU
12,申万期货,18137,-6237.0,2025-12-29,fu2603,成交量,FU
13,广州期货,17602,3695.0,2025-12-29,fu2603,成交量,FU
14,方正中期,17139,3115.0,2025-12-29,fu2603,成交量,FU
15,兴证期货,14988,135.0,2025-12-29,fu2603,成交量,FU
16,中信建投,14744,-536.0,2025-12-29,fu2603,成交量,FU
17,瑞达期货,14734,-609.0,2025-12-29,fu2603,成交量,FU
18,平安期货,14582,-1949.0,2025-12-29,fu2603,成交量,FU
19,徽商期货,13303,-287.0,2025-12-29,fu2603,成交量,FU
20,东方财富,12417,1724.0,2025-12-29,fu2603,成交量,FU
1,国泰君安,232536,-24238.0,2025-12-30,fu2603,成交量,FU
2,东证期货,164792,-14493.0,2025-12-30,fu2603,成交量,FU
3,中信期货,142855,-35603.0,2025-12-30,fu2603,成交量,FU
4,华闻期货,61386,-2441.0,2025-12-30,fu2603,成交量,FU
5,华泰期货,56834,-14183.0,2025-12-30,fu2603,成交量,FU
6,中泰期货,46138,-16363.0,2025-12-30,fu2603,成交量,FU
7,广发期货,34161,2960.0,2025-12-30,fu2603,成交量,FU
8,海通期货,23982,-702.0,2025-12-30,fu2603,成交量,FU
9,浙商期货,22085,-23954.0,2025-12-30,fu2603,成交量,FU
10,新湖期货,21378,-1825.0,2025-12-30,fu2603,成交量,FU
11,方正中期,16754,-385.0,2025-12-30,fu2603,成交量,FU
12,平安期货,15627,1045.0,2025-12-30,fu2603,成交量,FU
13,中信建投,15040,296.0,2025-12-30,fu2603,成交量,FU
14,瑞达期货,14709,-25.0,2025-12-30,fu2603,成交量,FU
15,东方财富,14201,1784.0,2025-12-30,fu2603,成交量,FU
16,银河期货,14065,-8387.0,2025-12-30,fu2603,成交量,FU
17,徽商期货,13613,310.0,2025-12-30,fu2603,成交量,FU
18,南华期货,12788,1034.0,2025-12-30,fu2603,成交量,FU
19,申万期货,12621,-5516.0,2025-12-30,fu2603,成交量,FU
20,永安期货,11916,803.0,2025-12-30,fu2603,成交量,FU
1,国泰君安,225146,-7390.0,2025-12-31,fu2603,成交量,FU
2,东证期货,166518,1726.0,2025-12-31,fu2603,成交量,FU
3,中信期货,145805,2950.0,2025-12-31,fu2603,成交量,FU
4,华闻期货,56087,-5299.0,2025-12-31,fu2603,成交量,FU
5,华泰期货,52030,-4804.0,2025-12-31,fu2603,成交量,FU
6,中泰期货,49525,3387.0,2025-12-31,fu2603,成交量,FU
7,广发期货,27010,-7151.0,2025-12-31,fu2603,成交量,FU
8,银河期货,24891,10826.0,2025-12-31,fu2603,成交量,FU
9,浙商期货,23975,1890.0,2025-12-31,fu2603,成交量,FU
10,海通期货,23922,-60.0,2025-12-31,fu2603,成交量,FU
11,方正中期,15067,-1687.0,2025-12-31,fu2603,成交量,FU
12,徽商期货,14776,1163.0,2025-12-31,fu2603,成交量,FU
13,中信建投,14693,-347.0,2025-12-31,fu2603,成交量,FU
14,广州期货,12797,3742.0,2025-12-31,fu2603,成交量,FU
15,兴证期货,12683,6481.0,2025-12-31,fu2603,成交量,FU
16,平安期货,12260,-3367.0,2025-12-31,fu2603,成交量,FU
17,申万期货,11615,-1006.0,2025-12-31,fu2603,成交量,FU
18,东方财富,11347,-2854.0,2025-12-31,fu2603,成交量,FU
19,新湖期货,9928,-11450.0,2025-12-31,fu2603,成交量,FU
20,光大期货,9573,-1828.0,2025-12-31,fu2603,成交量,FU
