排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,195350,1268.0,2025-12-25,hc2605,多单持仓,HC
2,中信期货,129192,-621.0,2025-12-25,hc2605,多单持仓,HC
3,光大期货,105068,-561.0,2025-12-25,hc2605,多单持仓,HC
4,东证期货,72421,339.0,2025-12-25,hc2605,多单持仓,HC
5,五矿期货,54336,-180.0,2025-12-25,hc2605,多单持仓,HC
6,永安期货,43933,1243.0,2025-12-25,hc2605,多单持仓,HC
7,华泰期货,42967,6929.0,2025-12-25,hc2605,多单持仓,HC
8,中泰期货,32207,-672.0,2025-12-25,hc2605,多单持仓,HC
9,国贸期货,32089,-101.0,2025-12-25,hc2605,多单持仓,HC
10,银河期货,28703,-1459.0,2025-12-25,hc2605,多单持仓,HC
11,瑞达期货,19972,-252.0,2025-12-25,hc2605,多单持仓,HC
12,方正中期,19798,-1163.0,2025-12-25,hc2605,多单持仓,HC
13,中金财富,19595,1303.0,2025-12-25,hc2605,多单持仓,HC
14,物产中大,17124,-236.0,2025-12-25,hc2605,多单持仓,HC
15,中信建投,16916,-942.0,2025-12-25,hc2605,多单持仓,HC
16,宝城期货,15522,418.0,2025-12-25,hc2605,多单持仓,HC
17,平安期货,14136,-415.0,2025-12-25,hc2605,多单持仓,HC
18,海通期货,13318,-1118.0,2025-12-25,hc2605,多单持仓,HC
19,中辉期货,12532,-375.0,2025-12-25,hc2605,多单持仓,HC
20,国投期货,11663,482.0,2025-12-25,hc2605,多单持仓,HC
1,国泰君安,198007,2657.0,2025-12-26,hc2605,多单持仓,HC
2,中信期货,133269,4077.0,2025-12-26,hc2605,多单持仓,HC
3,光大期货,104955,-113.0,2025-12-26,hc2605,多单持仓,HC
4,东证期货,76897,4476.0,2025-12-26,hc2605,多单持仓,HC
5,五矿期货,55377,1041.0,2025-12-26,hc2605,多单持仓,HC
6,永安期货,44488,555.0,2025-12-26,hc2605,多单持仓,HC
7,华泰期货,42390,-577.0,2025-12-26,hc2605,多单持仓,HC
8,国贸期货,33604,1515.0,2025-12-26,hc2605,多单持仓,HC
9,中泰期货,30639,-1568.0,2025-12-26,hc2605,多单持仓,HC
10,银河期货,26939,-1764.0,2025-12-26,hc2605,多单持仓,HC
11,瑞达期货,19534,-438.0,2025-12-26,hc2605,多单持仓,HC
12,中金财富,17831,-1764.0,2025-12-26,hc2605,多单持仓,HC
13,方正中期,17371,-2427.0,2025-12-26,hc2605,多单持仓,HC
14,物产中大,17258,134.0,2025-12-26,hc2605,多单持仓,HC
15,中信建投,16775,-141.0,2025-12-26,hc2605,多单持仓,HC
16,宝城期货,16044,522.0,2025-12-26,hc2605,多单持仓,HC
17,平安期货,13679,-457.0,2025-12-26,hc2605,多单持仓,HC
18,中辉期货,12392,-140.0,2025-12-26,hc2605,多单持仓,HC
19,一德期货,11692,346.0,2025-12-26,hc2605,多单持仓,HC
20,国投期货,11682,19.0,2025-12-26,hc2605,多单持仓,HC
1,国泰君安,204414,6407.0,2025-12-29,hc2605,多单持仓,HC
