排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,67964,-39105.0,2025-12-25,hc2605,成交量,HC
2,中信期货,58186,-7557.0,2025-12-25,hc2605,成交量,HC
3,东证期货,46222,-24005.0,2025-12-25,hc2605,成交量,HC
4,海通期货,28114,-5892.0,2025-12-25,hc2605,成交量,HC
5,华泰期货,20761,-8062.0,2025-12-25,hc2605,成交量,HC
6,永安期货,18089,-12345.0,2025-12-25,hc2605,成交量,HC
7,华闻期货,16051,-3949.0,2025-12-25,hc2605,成交量,HC
8,方正中期,14806,509.0,2025-12-25,hc2605,成交量,HC
9,银河期货,11042,-5277.0,2025-12-25,hc2605,成交量,HC
10,新湖期货,10070,-4622.0,2025-12-25,hc2605,成交量,HC
11,国贸期货,8711,-4010.0,2025-12-25,hc2605,成交量,HC
12,中泰期货,7836,-6961.0,2025-12-25,hc2605,成交量,HC
13,广发期货,7579,-3979.0,2025-12-25,hc2605,成交量,HC
14,一德期货,7378,2003.0,2025-12-25,hc2605,成交量,HC
15,宏源期货,6592,-1352.0,2025-12-25,hc2605,成交量,HC
16,光大期货,6475,-919.0,2025-12-25,hc2605,成交量,HC
17,财信期货,5908,-6769.0,2025-12-25,hc2605,成交量,HC
18,瑞达期货,5772,-226.0,2025-12-25,hc2605,成交量,HC
19,物产中大,5668,-2767.0,2025-12-25,hc2605,成交量,HC
20,广州金控,5091,1321.0,2025-12-25,hc2605,成交量,HC
1,国泰君安,160782,92818.0,2025-12-26,hc2605,成交量,HC
2,中信期货,101936,43750.0,2025-12-26,hc2605,成交量,HC
3,东证期货,100416,54194.0,2025-12-26,hc2605,成交量,HC
4,海通期货,36816,8702.0,2025-12-26,hc2605,成交量,HC
5,华闻期货,32656,16605.0,2025-12-26,hc2605,成交量,HC
6,华泰期货,32647,11886.0,2025-12-26,hc2605,成交量,HC
7,永安期货,25569,7480.0,2025-12-26,hc2605,成交量,HC
8,银河期货,22350,11308.0,2025-12-26,hc2605,成交量,HC
9,新湖期货,19452,9382.0,2025-12-26,hc2605,成交量,HC
10,方正中期,17572,2766.0,2025-12-26,hc2605,成交量,HC
11,国贸期货,15986,7275.0,2025-12-26,hc2605,成交量,HC
12,中泰期货,15646,7810.0,2025-12-26,hc2605,成交量,HC
13,一德期货,15044,7666.0,2025-12-26,hc2605,成交量,HC
14,广发期货,14607,7028.0,2025-12-26,hc2605,成交量,HC
15,财信期货,11537,5629.0,2025-12-26,hc2605,成交量,HC
16,宏源期货,11125,4533.0,2025-12-26,hc2605,成交量,HC
17,乾坤期货,10306,9326.0,2025-12-26,hc2605,成交量,HC
18,瑞达期货,10262,4490.0,2025-12-26,hc2605,成交量,HC
19,国信期货,10048,6843.0,2025-12-26,hc2605,成交量,HC
20,中信建投,10011,6221.0,2025-12-26,hc2605,成交量,HC
1,国泰君安,163369,2587.0,2025-12-29,hc2605,成交量,HC
2,东证期货,108666,8250.0,2025-12-29,hc2605,成交量,HC
3,中信期货,100826,-1110.0,2025-12-29,hc2605,成交量,HC
4,海通期货,36913,97.0,2025-12-29,hc2605,成交量,HC
5,华泰期货,36244,3597.0,2025-12-29,hc2605,成交量,HC
6,华闻期货,25277,-7379.0,2025-12-29,hc2605,成交量,HC
7,一德期货,22977,7933.0,2025-12-29,hc2605,成交量,HC
8,方正中期,22618,5046.0,2025-12-29,hc2605,成交量,HC
9,新湖期货,19538,86.0,2025-12-29,hc2605,成交量,HC
10,银河期货,18623,-3727.0,2025-12-29,hc2605,成交量,HC
11,广发期货,17872,3265.0,2025-12-29,hc2605,成交量,HC
12,国贸期货,16805,819.0,2025-12-29,hc2605,成交量,HC
13,浙商期货,16654,8712.0,2025-12-29,hc2605,成交量,HC
14,中泰期货,16389,743.0,2025-12-29,hc2605,成交量,HC
15,永安期货,16019,-9550.0,2025-12-29,hc2605,成交量,HC
16,乾坤期货,13789,3483.0,2025-12-29,hc2605,成交量,HC
17,南华期货,13617,3664.0,2025-12-29,hc2605,成交量,HC
18,光大期货,12807,3508.0,2025-12-29,hc2605,成交量,HC
19,瑞达期货,11026,764.0,2025-12-29,hc2605,成交量,HC
20,国投期货,10994,4112.0,2025-12-29,hc2605,成交量,HC
1,国泰君安,101466,-61903.0,2025-12-30,hc2605,成交量,HC
2,中信期货,71769,-29057.0,2025-12-30,hc2605,成交量,HC
3,东证期货,62440,-46226.0,2025-12-30,hc2605,成交量,HC
4,海通期货,28014,-8899.0,2025-12-30,hc2605,成交量,HC
5,华泰期货,25294,-10950.0,2025-12-30,hc2605,成交量,HC
6,华闻期货,20260,-5017.0,2025-12-30,hc2605,成交量,HC
7,永安期货,18912,2893.0,2025-12-30,hc2605,成交量,HC
8,新湖期货,14986,-4552.0,2025-12-30,hc2605,成交量,HC
9,银河期货,10429,-8194.0,2025-12-30,hc2605,成交量,HC
10,方正中期,8826,-13792.0,2025-12-30,hc2605,成交量,HC
11,中泰期货,8123,-8266.0,2025-12-30,hc2605,成交量,HC
12,瑞达期货,8082,-2944.0,2025-12-30,hc2605,成交量,HC
13,广发期货,7965,-9907.0,2025-12-30,hc2605,成交量,HC
14,国信期货,7730,-3054.0,2025-12-30,hc2605,成交量,HC
15,宏源期货,7668,-2740.0,2025-12-30,hc2605,成交量,HC
16,中金财富,6838,-373.0,2025-12-30,hc2605,成交量,HC
17,乾坤期货,6802,-6987.0,2025-12-30,hc2605,成交量,HC
18,光大期货,6727,-6080.0,2025-12-30,hc2605,成交量,HC
19,中信建投,6636,-4006.0,2025-12-30,hc2605,成交量,HC
20,平安期货,6183,1341.0,2025-12-30,hc2605,成交量,HC
1,国泰君安,118687,17221.0,2025-12-31,hc2605,成交量,HC
2,东证期货,79679,17239.0,2025-12-31,hc2605,成交量,HC
3,中信期货,79325,7556.0,2025-12-31,hc2605,成交量,HC
4,华泰期货,32553,7259.0,2025-12-31,hc2605,成交量,HC
5,海通期货,31173,3159.0,2025-12-31,hc2605,成交量,HC
6,华闻期货,16612,-3648.0,2025-12-31,hc2605,成交量,HC
7,银河期货,16009,5580.0,2025-12-31,hc2605,成交量,HC
8,永安期货,13974,-4938.0,2025-12-31,hc2605,成交量,HC
9,方正中期,12450,3624.0,2025-12-31,hc2605,成交量,HC
10,徽商期货,11093,5321.0,2025-12-31,hc2605,成交量,HC
11,新湖期货,10978,-4008.0,2025-12-31,hc2605,成交量,HC
12,南华期货,10902,4821.0,2025-12-31,hc2605,成交量,HC
13,中泰期货,10090,1967.0,2025-12-31,hc2605,成交量,HC
14,乾坤期货,9154,2352.0,2025-12-31,hc2605,成交量,HC
15,光大期货,9116,2389.0,2025-12-31,hc2605,成交量,HC
16,宏源期货,8747,1079.0,2025-12-31,hc2605,成交量,HC
17,创元期货,8690,3210.0,2025-12-31,hc2605,成交量,HC
18,国贸期货,8611,2616.0,2025-12-31,hc2605,成交量,HC
19,瑞达期货,8592,510.0,2025-12-31,hc2605,成交量,HC
20,广发期货,8281,316.0,2025-12-31,hc2605,成交量,HC
