排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,42113,98.0,2025-12-25,i2605,多单持仓,I
2,国泰君安,41661,-586.0,2025-12-25,i2605,多单持仓,I
3,东证期货,32822,1632.0,2025-12-25,i2605,多单持仓,I
4,乾坤期货,28709,457.0,2025-12-25,i2605,多单持仓,I
5,摩根大通,26918,139.0,2025-12-25,i2605,多单持仓,I
6,永安期货,25657,1529.0,2025-12-25,i2605,多单持仓,I
7,银河期货,21042,354.0,2025-12-25,i2605,多单持仓,I
8,海通期货,19179,1650.0,2025-12-25,i2605,多单持仓,I
9,五矿期货,15866,285.0,2025-12-25,i2605,多单持仓,I
10,华泰期货,14831,-136.0,2025-12-25,i2605,多单持仓,I
11,南华期货,13976,286.0,2025-12-25,i2605,多单持仓,I
12,国投期货,12945,527.0,2025-12-25,i2605,多单持仓,I
13,中金财富,10910,766.0,2025-12-25,i2605,多单持仓,I
14,浙商期货,10396,597.0,2025-12-25,i2605,多单持仓,I
15,海证期货,10260,606.0,2025-12-25,i2605,多单持仓,I
16,广发期货,9803,-59.0,2025-12-25,i2605,多单持仓,I
17,物产中大,9240,642.0,2025-12-25,i2605,多单持仓,I
18,平安期货,8522,-124.0,2025-12-25,i2605,多单持仓,I
19,申银万国,8029,458.0,2025-12-25,i2605,多单持仓,I
20,中银期货,7202,37.0,2025-12-25,i2605,多单持仓,I
1,中信期货,43837,1724.0,2025-12-26,i2605,多单持仓,I
2,国泰君安,39662,-1999.0,2025-12-26,i2605,多单持仓,I
3,东证期货,33742,920.0,2025-12-26,i2605,多单持仓,I
4,乾坤期货,28455,-254.0,2025-12-26,i2605,多单持仓,I
5,摩根大通,27490,572.0,2025-12-26,i2605,多单持仓,I
6,永安期货,25850,193.0,2025-12-26,i2605,多单持仓,I
7,银河期货,21876,834.0,2025-12-26,i2605,多单持仓,I
8,海通期货,20159,980.0,2025-12-26,i2605,多单持仓,I
9,五矿期货,15817,-49.0,2025-12-26,i2605,多单持仓,I
10,华泰期货,14981,150.0,2025-12-26,i2605,多单持仓,I
11,南华期货,14466,490.0,2025-12-26,i2605,多单持仓,I
12,国投期货,13903,958.0,2025-12-26,i2605,多单持仓,I
13,海证期货,11745,1485.0,2025-12-26,i2605,多单持仓,I
14,中金财富,11025,115.0,2025-12-26,i2605,多单持仓,I
15,浙商期货,10481,85.0,2025-12-26,i2605,多单持仓,I
16,广发期货,10481,678.0,2025-12-26,i2605,多单持仓,I
17,物产中大,9311,71.0,2025-12-26,i2605,多单持仓,I
18,平安期货,8649,127.0,2025-12-26,i2605,多单持仓,I
19,中银期货,8232,1030.0,2025-12-26,i2605,多单持仓,I
20,申银万国,7985,-44.0,2025-12-26,i2605,多单持仓,I
1,国泰君安,47788,8126.0,2025-12-29,i2605,多单持仓,I
2,中信期货,47069,3232.0,2025-12-29,i2605,多单持仓,I
3,东证期货,35862,2120.0,2025-12-29,i2605,多单持仓,I
4,摩根大通,30094,2604.0,2025-12-29,i2605,多单持仓,I
5,乾坤期货,28900,445.0,2025-12-29,i2605,多单持仓,I
6,永安期货,26903,1053.0,2025-12-29,i2605,多单持仓,I
7,银河期货,25270,3394.0,2025-12-29,i2605,多单持仓,I
8,海通期货,20903,744.0,2025-12-29,i2605,多单持仓,I
9,华泰期货,17562,2581.0,2025-12-29,i2605,多单持仓,I
10,五矿期货,15740,-77.0,2025-12-29,i2605,多单持仓,I
11,南华期货,14298,-168.0,2025-12-29,i2605,多单持仓,I
12,国投期货,13562,-341.0,2025-12-29,i2605,多单持仓,I
13,广发期货,12770,2289.0,2025-12-29,i2605,多单持仓,I
14,浙商期货,11752,1271.0,2025-12-29,i2605,多单持仓,I
15,中金财富,11651,626.0,2025-12-29,i2605,多单持仓,I
16,海证期货,10771,-974.0,2025-12-29,i2605,多单持仓,I
17,平安期货,8945,296.0,2025-12-29,i2605,多单持仓,I
18,中银期货,8525,293.0,2025-12-29,i2605,多单持仓,I
19,申银万国,8413,428.0,2025-12-29,i2605,多单持仓,I
20,物产中大,7111,-2200.0,2025-12-29,i2605,多单持仓,I
1,中信期货,46322,-747.0,2025-12-30,i2605,多单持仓,I
2,国泰君安,45442,-2346.0,2025-12-30,i2605,多单持仓,I
3,东证期货,31426,-4436.0,2025-12-30,i2605,多单持仓,I
4,摩根大通,30731,637.0,2025-12-30,i2605,多单持仓,I
5,乾坤期货,29285,385.0,2025-12-30,i2605,多单持仓,I
6,永安期货,24967,-1936.0,2025-12-30,i2605,多单持仓,I
7,银河期货,23311,-1959.0,2025-12-30,i2605,多单持仓,I
8,海通期货,19602,-1301.0,2025-12-30,i2605,多单持仓,I
9,华泰期货,18120,558.0,2025-12-30,i2605,多单持仓,I
10,五矿期货,16164,424.0,2025-12-30,i2605,多单持仓,I
11,国投期货,14410,848.0,2025-12-30,i2605,多单持仓,I
12,南华期货,14230,-68.0,2025-12-30,i2605,多单持仓,I
13,广发期货,12489,-281.0,2025-12-30,i2605,多单持仓,I
14,浙商期货,12443,691.0,2025-12-30,i2605,多单持仓,I
15,中金财富,11660,9.0,2025-12-30,i2605,多单持仓,I
16,海证期货,9629,-1142.0,2025-12-30,i2605,多单持仓,I
17,平安期货,9393,448.0,2025-12-30,i2605,多单持仓,I
18,中银期货,8303,-222.0,2025-12-30,i2605,多单持仓,I
19,申银万国,8289,-124.0,2025-12-30,i2605,多单持仓,I
20,物产中大,7334,223.0,2025-12-30,i2605,多单持仓,I
