排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,56790,-11406.0,2025-12-25,i2605,成交量,I
2,中信期货,23627,-11429.0,2025-12-25,i2605,成交量,I
3,东证期货,20753,-16767.0,2025-12-25,i2605,成交量,I
4,五矿期货,14002,-13489.0,2025-12-25,i2605,成交量,I
5,广发期货,9850,-4291.0,2025-12-25,i2605,成交量,I
6,华闻期货,7138,-2380.0,2025-12-25,i2605,成交量,I
7,海通期货,6843,-969.0,2025-12-25,i2605,成交量,I
8,华泰期货,6705,-8093.0,2025-12-25,i2605,成交量,I
9,中泰期货,6641,-4238.0,2025-12-25,i2605,成交量,I
10,永安期货,6280,-1412.0,2025-12-25,i2605,成交量,I
11,浙商期货,6095,-2102.0,2025-12-25,i2605,成交量,I
12,申银万国,6013,-1305.0,2025-12-25,i2605,成交量,I
13,银河期货,5922,-3581.0,2025-12-25,i2605,成交量,I
14,方正中期,5707,-326.0,2025-12-25,i2605,成交量,I
15,南华期货,5414,-3247.0,2025-12-25,i2605,成交量,I
16,光大期货,4061,-1926.0,2025-12-25,i2605,成交量,I
17,徽商期货,3664,-1072.0,2025-12-25,i2605,成交量,I
18,中信建投,3474,-2277.0,2025-12-25,i2605,成交量,I
19,国信期货,3378,144.0,2025-12-25,i2605,成交量,I
20,新湖期货,2953,-511.0,2025-12-25,i2605,成交量,I
1,国泰君安,91295,34505.0,2025-12-26,i2605,成交量,I
2,中信期货,45208,21581.0,2025-12-26,i2605,成交量,I
3,东证期货,44177,23424.0,2025-12-26,i2605,成交量,I
4,五矿期货,32438,18436.0,2025-12-26,i2605,成交量,I
5,广发期货,23756,13906.0,2025-12-26,i2605,成交量,I
6,华泰期货,19624,12919.0,2025-12-26,i2605,成交量,I
7,中泰期货,17729,11088.0,2025-12-26,i2605,成交量,I
8,银河期货,15563,9641.0,2025-12-26,i2605,成交量,I
9,方正中期,15241,9534.0,2025-12-26,i2605,成交量,I
10,华闻期货,13145,6007.0,2025-12-26,i2605,成交量,I
11,浙商期货,12758,6663.0,2025-12-26,i2605,成交量,I
12,南华期货,9684,4270.0,2025-12-26,i2605,成交量,I
13,国联期货,8599,6768.0,2025-12-26,i2605,成交量,I
14,大地期货,7452,6389.0,2025-12-26,i2605,成交量,I
15,海通期货,6967,124.0,2025-12-26,i2605,成交量,I
16,永安期货,6953,673.0,2025-12-26,i2605,成交量,I
17,招商期货,6878,4148.0,2025-12-26,i2605,成交量,I
18,光大期货,6620,2559.0,2025-12-26,i2605,成交量,I
19,中信建投,6200,2726.0,2025-12-26,i2605,成交量,I
20,申银万国,6022,9.0,2025-12-26,i2605,成交量,I
1,国泰君安,132974,41679.0,2025-12-29,i2605,成交量,I
2,中信期货,85867,40659.0,2025-12-29,i2605,成交量,I
3,东证期货,67516,23339.0,2025-12-29,i2605,成交量,I
4,五矿期货,46196,13758.0,2025-12-29,i2605,成交量,I
5,广发期货,37427,13671.0,2025-12-29,i2605,成交量,I
6,华泰期货,32483,12859.0,2025-12-29,i2605,成交量,I
7,银河期货,27293,11730.0,2025-12-29,i2605,成交量,I
8,浙商期货,21522,8764.0,2025-12-29,i2605,成交量,I
9,中泰期货,20838,3109.0,2025-12-29,i2605,成交量,I
10,华闻期货,20667,7522.0,2025-12-29,i2605,成交量,I
11,南华期货,19476,9792.0,2025-12-29,i2605,成交量,I
12,方正中期,17483,2242.0,2025-12-29,i2605,成交量,I
13,永安期货,14632,7679.0,2025-12-29,i2605,成交量,I
14,国联期货,14128,5529.0,2025-12-29,i2605,成交量,I
15,海通期货,12680,5713.0,2025-12-29,i2605,成交量,I
16,中信建投,11389,5189.0,2025-12-29,i2605,成交量,I
17,光大期货,11130,4510.0,2025-12-29,i2605,成交量,I
18,宏源期货,10830,5510.0,2025-12-29,i2605,成交量,I
19,东吴期货,10236,5826.0,2025-12-29,i2605,成交量,I
20,招商期货,10016,3138.0,2025-12-29,i2605,成交量,I
1,国泰君安,108557,-24417.0,2025-12-30,i2605,成交量,I
2,中信期货,53839,-32028.0,2025-12-30,i2605,成交量,I
3,东证期货,46140,-21376.0,2025-12-30,i2605,成交量,I
4,五矿期货,25976,-20220.0,2025-12-30,i2605,成交量,I
5,广发期货,24417,-13010.0,2025-12-30,i2605,成交量,I
6,华泰期货,21429,-11054.0,2025-12-30,i2605,成交量,I
7,银河期货,18727,-8566.0,2025-12-30,i2605,成交量,I
8,浙商期货,16467,-5055.0,2025-12-30,i2605,成交量,I
9,中泰期货,12517,-8321.0,2025-12-30,i2605,成交量,I
10,华闻期货,10510,-10157.0,2025-12-30,i2605,成交量,I
11,南华期货,10187,-9289.0,2025-12-30,i2605,成交量,I
12,永安期货,9995,-4637.0,2025-12-30,i2605,成交量,I
13,方正中期,9708,-7775.0,2025-12-30,i2605,成交量,I
14,国联期货,8448,-5680.0,2025-12-30,i2605,成交量,I
15,光大期货,8105,-3025.0,2025-12-30,i2605,成交量,I
16,一德期货,8053,2205.0,2025-12-30,i2605,成交量,I
17,申银万国,7950,-1205.0,2025-12-30,i2605,成交量,I
18,中信建投,7935,-3454.0,2025-12-30,i2605,成交量,I
19,海通期货,7935,-4745.0,2025-12-30,i2605,成交量,I
20,新湖期货,7277,-640.0,2025-12-30,i2605,成交量,I
