排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,2986,19.0,2025-12-25,j2605,空单持仓,J
2,国泰君安,2675,33.0,2025-12-25,j2605,空单持仓,J
3,东证期货,2124,-74.0,2025-12-25,j2605,空单持仓,J
4,华泰期货,1940,57.0,2025-12-25,j2605,空单持仓,J
5,国投期货,1644,50.0,2025-12-25,j2605,空单持仓,J
6,物产中大,1229,2.0,2025-12-25,j2605,空单持仓,J
7,中泰期货,1014,16.0,2025-12-25,j2605,空单持仓,J
8,中辉期货,774,46.0,2025-12-25,j2605,空单持仓,J
9,中信建投,705,-7.0,2025-12-25,j2605,空单持仓,J
10,银河期货,704,40.0,2025-12-25,j2605,空单持仓,J
11,浙商期货,694,67.0,2025-12-25,j2605,空单持仓,J
12,光大期货,642,-29.0,2025-12-25,j2605,空单持仓,J
13,国联期货,545,18.0,2025-12-25,j2605,空单持仓,J
14,永安期货,537,25.0,2025-12-25,j2605,空单持仓,J
15,中航期货,534,3.0,2025-12-25,j2605,空单持仓,J
16,兴证期货,477,2.0,2025-12-25,j2605,空单持仓,J
17,方正中期,404,-83.0,2025-12-25,j2605,空单持仓,J
18,中融汇信,396,51.0,2025-12-25,j2605,空单持仓,J
19,南华期货,387,16.0,2025-12-25,j2605,空单持仓,J
20,广发期货,365,-48.0,2025-12-25,j2605,空单持仓,J
1,中信期货,3132,146.0,2025-12-26,j2605,空单持仓,J
2,国泰君安,3020,345.0,2025-12-26,j2605,空单持仓,J
3,东证期货,2246,122.0,2025-12-26,j2605,空单持仓,J
4,华泰期货,2061,121.0,2025-12-26,j2605,空单持仓,J
5,国投期货,1645,1.0,2025-12-26,j2605,空单持仓,J
6,物产中大,1189,-40.0,2025-12-26,j2605,空单持仓,J
7,中泰期货,946,-68.0,2025-12-26,j2605,空单持仓,J
8,银河期货,809,105.0,2025-12-26,j2605,空单持仓,J
9,中信建投,754,49.0,2025-12-26,j2605,空单持仓,J
10,中辉期货,753,-21.0,2025-12-26,j2605,空单持仓,J
11,浙商期货,738,44.0,2025-12-26,j2605,空单持仓,J
12,光大期货,669,27.0,2025-12-26,j2605,空单持仓,J
13,中航期货,535,1.0,2025-12-26,j2605,空单持仓,J
14,永安期货,530,-7.0,2025-12-26,j2605,空单持仓,J
15,兴证期货,491,14.0,2025-12-26,j2605,空单持仓,J
16,国联期货,488,-57.0,2025-12-26,j2605,空单持仓,J
17,海通期货,464,144.0,2025-12-26,j2605,空单持仓,J
18,广发期货,441,76.0,2025-12-26,j2605,空单持仓,J
19,中融汇信,433,37.0,2025-12-26,j2605,空单持仓,J
20,南华期货,395,8.0,2025-12-26,j2605,空单持仓,J
1,中信期货,3201,69.0,2025-12-29,j2605,空单持仓,J
2,国泰君安,3055,35.0,2025-12-29,j2605,空单持仓,J
3,华泰期货,2204,143.0,2025-12-29,j2605,空单持仓,J
4,东证期货,2176,-70.0,2025-12-29,j2605,空单持仓,J
5,国投期货,1625,-20.0,2025-12-29,j2605,空单持仓,J
6,物产中大,1477,288.0,2025-12-29,j2605,空单持仓,J
7,中泰期货,879,-67.0,2025-12-29,j2605,空单持仓,J
8,中信建投,806,52.0,2025-12-29,j2605,空单持仓,J
9,银河期货,755,-54.0,2025-12-29,j2605,空单持仓,J
10,浙商期货,742,4.0,2025-12-29,j2605,空单持仓,J
11,光大期货,678,9.0,2025-12-29,j2605,空单持仓,J
12,中辉期货,664,-89.0,2025-12-29,j2605,空单持仓,J
13,方正中期,585,194.0,2025-12-29,j2605,空单持仓,J
14,永安期货,566,36.0,2025-12-29,j2605,空单持仓,J
15,兴证期货,537,46.0,2025-12-29,j2605,空单持仓,J
16,中航期货,535,0.0,2025-12-29,j2605,空单持仓,J
17,国联期货,533,45.0,2025-12-29,j2605,空单持仓,J
18,海通期货,530,66.0,2025-12-29,j2605,空单持仓,J
19,中融汇信,449,16.0,2025-12-29,j2605,空单持仓,J
20,招商期货,437,68.0,2025-12-29,j2605,空单持仓,J
1,中信期货,3130,-71.0,2025-12-30,j2605,空单持仓,J
2,国泰君安,3023,-32.0,2025-12-30,j2605,空单持仓,J
3,华泰期货,2279,75.0,2025-12-30,j2605,空单持仓,J
4,东证期货,2184,8.0,2025-12-30,j2605,空单持仓,J
5,国投期货,1607,-18.0,2025-12-30,j2605,空单持仓,J
6,物产中大,1565,88.0,2025-12-30,j2605,空单持仓,J
7,中泰期货,987,108.0,2025-12-30,j2605,空单持仓,J
8,浙商期货,915,173.0,2025-12-30,j2605,空单持仓,J
9,银河期货,757,2.0,2025-12-30,j2605,空单持仓,J
10,中信建投,750,-56.0,2025-12-30,j2605,空单持仓,J
11,中辉期货,686,22.0,2025-12-30,j2605,空单持仓,J
12,光大期货,684,6.0,2025-12-30,j2605,空单持仓,J
13,方正中期,677,92.0,2025-12-30,j2605,空单持仓,J
14,永安期货,580,14.0,2025-12-30,j2605,空单持仓,J
15,中航期货,533,-2.0,2025-12-30,j2605,空单持仓,J
16,国联期货,490,-43.0,2025-12-30,j2605,空单持仓,J
17,兴证期货,486,-51.0,2025-12-30,j2605,空单持仓,J
18,中融汇信,455,6.0,2025-12-30,j2605,空单持仓,J
19,南华期货,423,20.0,2025-12-30,j2605,空单持仓,J
20,海通期货,422,-108.0,2025-12-30,j2605,空单持仓,J
