排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,4371,-29.0,2025-12-25,j2605,成交量,J
2,国泰君安,2389,-1152.0,2025-12-25,j2605,成交量,J
3,东证期货,1770,-388.0,2025-12-25,j2605,成交量,J
4,广发期货,1127,-145.0,2025-12-25,j2605,成交量,J
5,华泰期货,1113,53.0,2025-12-25,j2605,成交量,J
6,海通期货,987,-309.0,2025-12-25,j2605,成交量,J
7,银河期货,901,-70.0,2025-12-25,j2605,成交量,J
8,浙商期货,665,-139.0,2025-12-25,j2605,成交量,J
9,光大期货,664,-22.0,2025-12-25,j2605,成交量,J
10,方正中期,659,110.0,2025-12-25,j2605,成交量,J
11,华闻期货,643,-124.0,2025-12-25,j2605,成交量,J
12,渤海期货,595,-18.0,2025-12-25,j2605,成交量,J
13,国联期货,564,-31.0,2025-12-25,j2605,成交量,J
14,国元期货,551,-58.0,2025-12-25,j2605,成交量,J
15,国信期货,546,167.0,2025-12-25,j2605,成交量,J
16,中泰期货,543,31.0,2025-12-25,j2605,成交量,J
17,永安期货,503,-274.0,2025-12-25,j2605,成交量,J
18,招商期货,454,-171.0,2025-12-25,j2605,成交量,J
19,徽商期货,398,-106.0,2025-12-25,j2605,成交量,J
20,国投期货,380,107.0,2025-12-25,j2605,成交量,J
1,中信期货,6233,1862.0,2025-12-26,j2605,成交量,J
2,国泰君安,4132,1743.0,2025-12-26,j2605,成交量,J
3,东证期货,2804,1034.0,2025-12-26,j2605,成交量,J
4,银河期货,2327,1426.0,2025-12-26,j2605,成交量,J
5,华泰期货,1646,533.0,2025-12-26,j2605,成交量,J
6,海通期货,1495,508.0,2025-12-26,j2605,成交量,J
7,广发期货,1345,218.0,2025-12-26,j2605,成交量,J
8,华闻期货,1244,601.0,2025-12-26,j2605,成交量,J
9,中泰期货,1136,593.0,2025-12-26,j2605,成交量,J
10,国联期货,983,419.0,2025-12-26,j2605,成交量,J
11,国元期货,959,408.0,2025-12-26,j2605,成交量,J
12,渤海期货,879,284.0,2025-12-26,j2605,成交量,J
13,浙商期货,847,182.0,2025-12-26,j2605,成交量,J
14,招商期货,820,366.0,2025-12-26,j2605,成交量,J
15,光大期货,784,120.0,2025-12-26,j2605,成交量,J
16,永安期货,757,254.0,2025-12-26,j2605,成交量,J
17,徽商期货,755,357.0,2025-12-26,j2605,成交量,J
18,兴证期货,637,292.0,2025-12-26,j2605,成交量,J
19,国投期货,602,222.0,2025-12-26,j2605,成交量,J
20,海证期货,591,229.0,2025-12-26,j2605,成交量,J
1,中信期货,5927,-306.0,2025-12-29,j2605,成交量,J
2,国泰君安,3900,-232.0,2025-12-29,j2605,成交量,J
3,东证期货,2246,-558.0,2025-12-29,j2605,成交量,J
4,海通期货,1516,21.0,2025-12-29,j2605,成交量,J
5,华泰期货,1407,-239.0,2025-12-29,j2605,成交量,J
6,银河期货,1387,-940.0,2025-12-29,j2605,成交量,J
7,广发期货,1302,-43.0,2025-12-29,j2605,成交量,J
8,华闻期货,922,-322.0,2025-12-29,j2605,成交量,J
9,光大期货,790,6.0,2025-12-29,j2605,成交量,J
10,国元期货,768,-191.0,2025-12-29,j2605,成交量,J
11,方正中期,763,180.0,2025-12-29,j2605,成交量,J
12,国联期货,659,-324.0,2025-12-29,j2605,成交量,J
13,招商期货,620,-200.0,2025-12-29,j2605,成交量,J
14,渤海期货,610,-269.0,2025-12-29,j2605,成交量,J
15,中泰期货,606,-530.0,2025-12-29,j2605,成交量,J
16,浙商期货,559,-288.0,2025-12-29,j2605,成交量,J
17,永安期货,547,-210.0,2025-12-29,j2605,成交量,J
18,物产中大,498,218.0,2025-12-29,j2605,成交量,J
19,中信建投,456,-106.0,2025-12-29,j2605,成交量,J
20,兴证期货,454,-183.0,2025-12-29,j2605,成交量,J
1,中信期货,5269,-658.0,2025-12-30,j2605,成交量,J
2,国泰君安,3558,-342.0,2025-12-30,j2605,成交量,J
3,东证期货,2140,-106.0,2025-12-30,j2605,成交量,J
4,华泰期货,1682,275.0,2025-12-30,j2605,成交量,J
5,海通期货,1430,-86.0,2025-12-30,j2605,成交量,J
6,银河期货,1349,-38.0,2025-12-30,j2605,成交量,J
7,广发期货,1316,14.0,2025-12-30,j2605,成交量,J
8,浙商期货,929,370.0,2025-12-30,j2605,成交量,J
9,中泰期货,868,262.0,2025-12-30,j2605,成交量,J
10,华闻期货,818,-104.0,2025-12-30,j2605,成交量,J
11,国元期货,781,13.0,2025-12-30,j2605,成交量,J
12,方正中期,629,-134.0,2025-12-30,j2605,成交量,J
13,渤海期货,606,-4.0,2025-12-30,j2605,成交量,J
14,招商期货,568,-52.0,2025-12-30,j2605,成交量,J
15,国投期货,566,217.0,2025-12-30,j2605,成交量,J
16,光大期货,551,-239.0,2025-12-30,j2605,成交量,J
17,国联期货,549,-110.0,2025-12-30,j2605,成交量,J
18,永安期货,475,-72.0,2025-12-30,j2605,成交量,J
19,中信建投,450,-6.0,2025-12-30,j2605,成交量,J
20,徽商期货,425,-22.0,2025-12-30,j2605,成交量,J
