排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,18037,2092.0,2025-12-25,jd2603,空单持仓,JD
2,中信期货,9907,910.0,2025-12-25,jd2603,空单持仓,JD
3,中信建投,9031,239.0,2025-12-25,jd2603,空单持仓,JD
4,方正中期,8688,611.0,2025-12-25,jd2603,空单持仓,JD
5,银河期货,8077,687.0,2025-12-25,jd2603,空单持仓,JD
6,招商期货,7824,-55.0,2025-12-25,jd2603,空单持仓,JD
7,东证期货,7392,1787.0,2025-12-25,jd2603,空单持仓,JD
8,中泰期货,6142,820.0,2025-12-25,jd2603,空单持仓,JD
9,东吴期货,5316,1049.0,2025-12-25,jd2603,空单持仓,JD
10,创元期货,5138,483.0,2025-12-25,jd2603,空单持仓,JD
11,齐盛期货,4905,219.0,2025-12-25,jd2603,空单持仓,JD
12,宏源期货,4568,-1774.0,2025-12-25,jd2603,空单持仓,JD
13,华泰期货,3910,-40.0,2025-12-25,jd2603,空单持仓,JD
14,中粮期货,3765,-125.0,2025-12-25,jd2603,空单持仓,JD
15,先锋期货,3386,-709.0,2025-12-25,jd2603,空单持仓,JD
16,中辉期货,3193,54.0,2025-12-25,jd2603,空单持仓,JD
17,海通期货,3033,1661.0,2025-12-25,jd2603,空单持仓,JD
18,宁证期货,2738,16.0,2025-12-25,jd2603,空单持仓,JD
19,财达期货,2715,166.0,2025-12-25,jd2603,空单持仓,JD
20,徽商期货,2506,164.0,2025-12-25,jd2603,空单持仓,JD
1,国泰君安,18905,868.0,2025-12-26,jd2603,空单持仓,JD
2,中信期货,10678,771.0,2025-12-26,jd2603,空单持仓,JD
3,方正中期,9449,761.0,2025-12-26,jd2603,空单持仓,JD
4,中信建投,9040,9.0,2025-12-26,jd2603,空单持仓,JD
5,东证期货,8541,1149.0,2025-12-26,jd2603,空单持仓,JD
6,银河期货,7961,-116.0,2025-12-26,jd2603,空单持仓,JD
7,招商期货,7867,43.0,2025-12-26,jd2603,空单持仓,JD
8,宏源期货,6391,1823.0,2025-12-26,jd2603,空单持仓,JD
9,中泰期货,6052,-90.0,2025-12-26,jd2603,空单持仓,JD
10,东吴期货,5308,-8.0,2025-12-26,jd2603,空单持仓,JD
11,齐盛期货,4901,-4.0,2025-12-26,jd2603,空单持仓,JD
