排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,24455,-4237.0,2025-12-25,jd2603,成交量,JD
2,海通期货,19739,4835.0,2025-12-25,jd2603,成交量,JD
3,国泰君安,16657,4842.0,2025-12-25,jd2603,成交量,JD
4,南华期货,12069,297.0,2025-12-25,jd2603,成交量,JD
5,浙商期货,9802,4710.0,2025-12-25,jd2603,成交量,JD
6,东证期货,9460,-5881.0,2025-12-25,jd2603,成交量,JD
7,银河期货,7838,2493.0,2025-12-25,jd2603,成交量,JD
8,东吴期货,6396,2558.0,2025-12-25,jd2603,成交量,JD
9,徽商期货,5893,353.0,2025-12-25,jd2603,成交量,JD
10,方正中期,5845,1816.0,2025-12-25,jd2603,成交量,JD
11,宏源期货,5670,1605.0,2025-12-25,jd2603,成交量,JD
12,中信建投,5118,223.0,2025-12-25,jd2603,成交量,JD
13,新湖期货,4894,3317.0,2025-12-25,jd2603,成交量,JD
14,中泰期货,4085,475.0,2025-12-25,jd2603,成交量,JD
15,广发期货,3888,-390.0,2025-12-25,jd2603,成交量,JD
16,华泰期货,3729,-340.0,2025-12-25,jd2603,成交量,JD
17,先锋期货,3623,402.0,2025-12-25,jd2603,成交量,JD
18,正信期货,2938,1623.0,2025-12-25,jd2603,成交量,JD
19,国联期货,2912,592.0,2025-12-25,jd2603,成交量,JD
20,华安期货,2740,582.0,2025-12-25,jd2603,成交量,JD
1,中信期货,20262,-4193.0,2025-12-26,jd2603,成交量,JD
2,海通期货,14214,-5525.0,2025-12-26,jd2603,成交量,JD
3,国泰君安,12095,-4562.0,2025-12-26,jd2603,成交量,JD
4,东证期货,8752,-708.0,2025-12-26,jd2603,成交量,JD
5,浙商期货,8250,-1552.0,2025-12-26,jd2603,成交量,JD
6,南华期货,7623,-4446.0,2025-12-26,jd2603,成交量,JD
7,银河期货,4806,-3032.0,2025-12-26,jd2603,成交量,JD
8,方正中期,4651,-1194.0,2025-12-26,jd2603,成交量,JD
9,宏源期货,3952,-1718.0,2025-12-26,jd2603,成交量,JD
10,徽商期货,3381,-2512.0,2025-12-26,jd2603,成交量,JD
11,广发期货,3217,-671.0,2025-12-26,jd2603,成交量,JD
12,东吴期货,2899,-3497.0,2025-12-26,jd2603,成交量,JD
13,长江期货,2896,316.0,2025-12-26,jd2603,成交量,JD
14,中信建投,2821,-2297.0,2025-12-26,jd2603,成交量,JD
15,创元期货,2766,354.0,2025-12-26,jd2603,成交量,JD
16,国投期货,2737,122.0,2025-12-26,jd2603,成交量,JD
17,永安期货,2664,364.0,2025-12-26,jd2603,成交量,JD
18,中泰期货,2515,-1570.0,2025-12-26,jd2603,成交量,JD
19,申银万国,2486,101.0,2025-12-26,jd2603,成交量,JD
20,国联期货,2409,-503.0,2025-12-26,jd2603,成交量,JD
1,中信期货,20991,729.0,2025-12-29,jd2603,成交量,JD
2,海通期货,17452,3238.0,2025-12-29,jd2603,成交量,JD
3,国泰君安,13646,1551.0,2025-12-29,jd2603,成交量,JD
4,东证期货,11688,2936.0,2025-12-29,jd2603,成交量,JD
5,中泰期货,7912,5397.0,2025-12-29,jd2603,成交量,JD
6,银河期货,6567,1761.0,2025-12-29,jd2603,成交量,JD
7,南华期货,6506,-1117.0,2025-12-29,jd2603,成交量,JD
8,方正中期,5467,816.0,2025-12-29,jd2603,成交量,JD
9,徽商期货,4550,1169.0,2025-12-29,jd2603,成交量,JD
10,宏源期货,3985,33.0,2025-12-29,jd2603,成交量,JD
11,浙商期货,3944,-4306.0,2025-12-29,jd2603,成交量,JD
12,华泰期货,3126,897.0,2025-12-29,jd2603,成交量,JD
13,广发期货,3092,-125.0,2025-12-29,jd2603,成交量,JD
14,东吴期货,3078,179.0,2025-12-29,jd2603,成交量,JD
15,中信建投,3046,225.0,2025-12-29,jd2603,成交量,JD
16,长江期货,3022,126.0,2025-12-29,jd2603,成交量,JD
17,弘业期货,2711,2051.0,2025-12-29,jd2603,成交量,JD
18,创元期货,2213,-553.0,2025-12-29,jd2603,成交量,JD
19,国信期货,2206,-146.0,2025-12-29,jd2603,成交量,JD
20,平安期货,2147,410.0,2025-12-29,jd2603,成交量,JD
1,中信期货,22261,1270.0,2025-12-30,jd2603,成交量,JD
2,海通期货,21547,4095.0,2025-12-30,jd2603,成交量,JD
3,国泰君安,16446,2800.0,2025-12-30,jd2603,成交量,JD
4,东证期货,15773,4085.0,2025-12-30,jd2603,成交量,JD
5,南华期货,12872,6366.0,2025-12-30,jd2603,成交量,JD
6,浙商期货,7193,3249.0,2025-12-30,jd2603,成交量,JD
7,银河期货,7184,617.0,2025-12-30,jd2603,成交量,JD
8,徽商期货,4782,232.0,2025-12-30,jd2603,成交量,JD
9,创元期货,4260,2047.0,2025-12-30,jd2603,成交量,JD
10,方正中期,3958,-1509.0,2025-12-30,jd2603,成交量,JD
11,中泰期货,3947,-3965.0,2025-12-30,jd2603,成交量,JD
12,安粮期货,3928,2834.0,2025-12-30,jd2603,成交量,JD
13,东吴期货,3895,817.0,2025-12-30,jd2603,成交量,JD
14,广发期货,3834,742.0,2025-12-30,jd2603,成交量,JD
15,中信建投,3740,694.0,2025-12-30,jd2603,成交量,JD
16,宏源期货,3631,-354.0,2025-12-30,jd2603,成交量,JD
17,东方财富,3377,1426.0,2025-12-30,jd2603,成交量,JD
18,华泰期货,2955,-171.0,2025-12-30,jd2603,成交量,JD
19,国联期货,2768,804.0,2025-12-30,jd2603,成交量,JD
20,国投期货,2673,1129.0,2025-12-30,jd2603,成交量,JD
