排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,197550,-36813.0,2025-12-25,jm2605,成交量,JM
2,国泰君安,155985,-47469.0,2025-12-25,jm2605,成交量,JM
3,广发期货,109187,-11376.0,2025-12-25,jm2605,成交量,JM
4,东证期货,94892,-16143.0,2025-12-25,jm2605,成交量,JM
5,华闻期货,82411,-18091.0,2025-12-25,jm2605,成交量,JM
6,华泰期货,61367,-10780.0,2025-12-25,jm2605,成交量,JM
7,徽商期货,50713,-8186.0,2025-12-25,jm2605,成交量,JM
8,银河期货,48810,-16708.0,2025-12-25,jm2605,成交量,JM
9,中信建投,48036,-12087.0,2025-12-25,jm2605,成交量,JM
10,中泰期货,45918,-7351.0,2025-12-25,jm2605,成交量,JM
11,海通期货,43155,-12316.0,2025-12-25,jm2605,成交量,JM
12,方正中期,34795,-7614.0,2025-12-25,jm2605,成交量,JM
13,光大期货,31219,-8236.0,2025-12-25,jm2605,成交量,JM
14,宝城期货,26727,-17031.0,2025-12-25,jm2605,成交量,JM
15,国信期货,26467,-6467.0,2025-12-25,jm2605,成交量,JM
16,中辉期货,25459,-13344.0,2025-12-25,jm2605,成交量,JM
17,永安期货,25452,-9357.0,2025-12-25,jm2605,成交量,JM
18,招商期货,24808,-6714.0,2025-12-25,jm2605,成交量,JM
19,国联期货,23015,-7984.0,2025-12-25,jm2605,成交量,JM
20,浙商期货,22541,-9507.0,2025-12-25,jm2605,成交量,JM
1,中信期货,280468,82918.0,2025-12-26,jm2605,成交量,JM
2,国泰君安,236286,80301.0,2025-12-26,jm2605,成交量,JM
3,广发期货,149905,40718.0,2025-12-26,jm2605,成交量,JM
4,东证期货,138583,43691.0,2025-12-26,jm2605,成交量,JM
5,华闻期货,107310,24899.0,2025-12-26,jm2605,成交量,JM
6,银河期货,83691,34881.0,2025-12-26,jm2605,成交量,JM
7,华泰期货,83435,22068.0,2025-12-26,jm2605,成交量,JM
8,徽商期货,74460,23747.0,2025-12-26,jm2605,成交量,JM
9,中信建投,72471,24435.0,2025-12-26,jm2605,成交量,JM
10,中泰期货,61274,15356.0,2025-12-26,jm2605,成交量,JM
11,海通期货,60035,16880.0,2025-12-26,jm2605,成交量,JM
12,方正中期,53403,18608.0,2025-12-26,jm2605,成交量,JM
13,光大期货,50695,19476.0,2025-12-26,jm2605,成交量,JM
14,宝城期货,49207,22480.0,2025-12-26,jm2605,成交量,JM
15,中辉期货,46304,20845.0,2025-12-26,jm2605,成交量,JM
16,永安期货,38848,13396.0,2025-12-26,jm2605,成交量,JM
17,国信期货,38441,11974.0,2025-12-26,jm2605,成交量,JM
18,招商期货,38383,13575.0,2025-12-26,jm2605,成交量,JM
19,申银万国,36811,16230.0,2025-12-26,jm2605,成交量,JM
20,国联期货,35259,12244.0,2025-12-26,jm2605,成交量,JM
1,中信期货,225164,-55304.0,2025-12-29,jm2605,成交量,JM
2,国泰君安,197174,-39112.0,2025-12-29,jm2605,成交量,JM
3,广发期货,120098,-29807.0,2025-12-29,jm2605,成交量,JM
4,东证期货,111294,-27289.0,2025-12-29,jm2605,成交量,JM
