排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,93273,530.0,2025-12-25,l2605,空单持仓,L
2,国泰君安,50376,3550.0,2025-12-25,l2605,空单持仓,L
3,乾坤期货,39483,-89.0,2025-12-25,l2605,空单持仓,L
4,东证期货,32328,-4450.0,2025-12-25,l2605,空单持仓,L
5,华泰期货,23357,2279.0,2025-12-25,l2605,空单持仓,L
6,永安期货,20181,-1390.0,2025-12-25,l2605,空单持仓,L
7,中金财富,19091,-2450.0,2025-12-25,l2605,空单持仓,L
8,银河期货,15592,2324.0,2025-12-25,l2605,空单持仓,L
9,平安期货,14548,195.0,2025-12-25,l2605,空单持仓,L
10,中泰期货,13676,-942.0,2025-12-25,l2605,空单持仓,L
11,瑞银期货,10999,-33.0,2025-12-25,l2605,空单持仓,L
12,国投期货,10109,-325.0,2025-12-25,l2605,空单持仓,L
13,中信建投,8477,-407.0,2025-12-25,l2605,空单持仓,L
14,光大期货,8341,-653.0,2025-12-25,l2605,空单持仓,L
15,申银万国,7960,967.0,2025-12-25,l2605,空单持仓,L
16,国贸期货,7712,149.0,2025-12-25,l2605,空单持仓,L
17,国海良时,7686,-328.0,2025-12-25,l2605,空单持仓,L
18,兴业期货,7624,-387.0,2025-12-25,l2605,空单持仓,L
19,方正中期,7596,1466.0,2025-12-25,l2605,空单持仓,L
20,广发期货,5843,-74.0,2025-12-25,l2605,空单持仓,L
1,中信期货,91632,-1641.0,2025-12-26,l2605,空单持仓,L
2,国泰君安,46818,-3558.0,2025-12-26,l2605,空单持仓,L
3,东证期货,36117,3789.0,2025-12-26,l2605,空单持仓,L
4,乾坤期货,30878,-8605.0,2025-12-26,l2605,空单持仓,L
5,华泰期货,20714,-2643.0,2025-12-26,l2605,空单持仓,L
6,永安期货,20234,53.0,2025-12-26,l2605,空单持仓,L
7,中金财富,18602,-489.0,2025-12-26,l2605,空单持仓,L
8,银河期货,16748,1156.0,2025-12-26,l2605,空单持仓,L
9,平安期货,14213,-335.0,2025-12-26,l2605,空单持仓,L
10,中泰期货,11388,-2288.0,2025-12-26,l2605,空单持仓,L
11,瑞银期货,11000,1.0,2025-12-26,l2605,空单持仓,L
12,申银万国,8834,874.0,2025-12-26,l2605,空单持仓,L
13,中信建投,8677,200.0,2025-12-26,l2605,空单持仓,L
14,国海良时,8073,387.0,2025-12-26,l2605,空单持仓,L
15,兴业期货,7933,309.0,2025-12-26,l2605,空单持仓,L
16,光大期货,7782,-559.0,2025-12-26,l2605,空单持仓,L
17,国投期货,7288,-2821.0,2025-12-26,l2605,空单持仓,L
18,国贸期货,7277,-435.0,2025-12-26,l2605,空单持仓,L
19,广发期货,6453,610.0,2025-12-26,l2605,空单持仓,L
20,物产中大,6270,2889.0,2025-12-26,l2605,空单持仓,L
1,中信期货,86215,-5417.0,2025-12-29,l2605,空单持仓,L
2,国泰君安,45888,-930.0,2025-12-29,l2605,空单持仓,L
3,东证期货,35327,-790.0,2025-12-29,l2605,空单持仓,L
4,乾坤期货,29042,-1836.0,2025-12-29,l2605,空单持仓,L
5,永安期货,21829,1595.0,2025-12-29,l2605,空单持仓,L
6,华泰期货,21607,893.0,2025-12-29,l2605,空单持仓,L
7,中金财富,16841,-1761.0,2025-12-29,l2605,空单持仓,L
8,银河期货,14347,-2401.0,2025-12-29,l2605,空单持仓,L
9,中泰期货,11461,73.0,2025-12-29,l2605,空单持仓,L
10,平安期货,10854,-3359.0,2025-12-29,l2605,空单持仓,L
11,中信建投,9440,763.0,2025-12-29,l2605,空单持仓,L
12,瑞银期货,9433,-1567.0,2025-12-29,l2605,空单持仓,L
13,国海良时,8656,583.0,2025-12-29,l2605,空单持仓,L
14,申银万国,8032,-802.0,2025-12-29,l2605,空单持仓,L
15,国投期货,7763,475.0,2025-12-29,l2605,空单持仓,L
16,光大期货,7635,-147.0,2025-12-29,l2605,空单持仓,L
17,兴业期货,7528,-405.0,2025-12-29,l2605,空单持仓,L
18,国贸期货,7203,-74.0,2025-12-29,l2605,空单持仓,L
19,广发期货,6642,189.0,2025-12-29,l2605,空单持仓,L
20,物产中大,6288,18.0,2025-12-29,l2605,空单持仓,L
1,中信期货,89151,2936.0,2025-12-30,l2605,空单持仓,L
2,国泰君安,47302,1414.0,2025-12-30,l2605,空单持仓,L
3,东证期货,33219,-2108.0,2025-12-30,l2605,空单持仓,L
4,乾坤期货,28405,-637.0,2025-12-30,l2605,空单持仓,L
5,永安期货,22354,525.0,2025-12-30,l2605,空单持仓,L
6,华泰期货,20801,-806.0,2025-12-30,l2605,空单持仓,L
7,中金财富,17960,1119.0,2025-12-30,l2605,空单持仓,L
8,银河期货,17004,2657.0,2025-12-30,l2605,空单持仓,L
9,中泰期货,12893,1432.0,2025-12-30,l2605,空单持仓,L
10,瑞银期货,9673,240.0,2025-12-30,l2605,空单持仓,L
11,平安期货,9410,-1444.0,2025-12-30,l2605,空单持仓,L
12,中信建投,9333,-107.0,2025-12-30,l2605,空单持仓,L
13,申银万国,8116,84.0,2025-12-30,l2605,空单持仓,L
14,国海良时,8032,-624.0,2025-12-30,l2605,空单持仓,L
15,国投期货,7822,59.0,2025-12-30,l2605,空单持仓,L
16,兴业期货,7701,173.0,2025-12-30,l2605,空单持仓,L
17,光大期货,7629,-6.0,2025-12-30,l2605,空单持仓,L
18,国贸期货,7227,24.0,2025-12-30,l2605,空单持仓,L
19,广发期货,6276,-366.0,2025-12-30,l2605,空单持仓,L
20,物产中大,6133,-155.0,2025-12-30,l2605,空单持仓,L
