排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,188332,-74677.0,2025-12-25,l2605,成交量,L
2,中信期货,102207,-24286.0,2025-12-25,l2605,成交量,L
3,东证期货,98840,-37129.0,2025-12-25,l2605,成交量,L
4,浙商期货,28320,-3612.0,2025-12-25,l2605,成交量,L
5,中泰期货,27934,-9480.0,2025-12-25,l2605,成交量,L
6,广发期货,26985,-11222.0,2025-12-25,l2605,成交量,L
7,华泰期货,26173,-5629.0,2025-12-25,l2605,成交量,L
8,银河期货,23312,-395.0,2025-12-25,l2605,成交量,L
9,南华期货,22956,-5143.0,2025-12-25,l2605,成交量,L
10,国信期货,22048,-3273.0,2025-12-25,l2605,成交量,L
11,方正中期,19527,616.0,2025-12-25,l2605,成交量,L
12,海通期货,16883,-7983.0,2025-12-25,l2605,成交量,L
13,徽商期货,16819,-972.0,2025-12-25,l2605,成交量,L
14,华闻期货,16501,-7400.0,2025-12-25,l2605,成交量,L
15,光大期货,13278,-5083.0,2025-12-25,l2605,成交量,L
16,中信建投,11993,-9467.0,2025-12-25,l2605,成交量,L
17,创元期货,11753,-6338.0,2025-12-25,l2605,成交量,L
18,中国国际,11559,2855.0,2025-12-25,l2605,成交量,L
19,平安期货,11327,-2062.0,2025-12-25,l2605,成交量,L
20,申银万国,10220,-5164.0,2025-12-25,l2605,成交量,L
1,国泰君安,234634,46302.0,2025-12-26,l2605,成交量,L
2,东证期货,120472,21632.0,2025-12-26,l2605,成交量,L
3,中信期货,113358,11151.0,2025-12-26,l2605,成交量,L
4,中泰期货,41938,14004.0,2025-12-26,l2605,成交量,L
5,浙商期货,35279,6959.0,2025-12-26,l2605,成交量,L
6,广发期货,34017,7032.0,2025-12-26,l2605,成交量,L
7,华泰期货,31677,5504.0,2025-12-26,l2605,成交量,L
8,银河期货,26922,3610.0,2025-12-26,l2605,成交量,L
9,南华期货,25712,2756.0,2025-12-26,l2605,成交量,L
10,徽商期货,25056,8237.0,2025-12-26,l2605,成交量,L
11,华闻期货,23825,7324.0,2025-12-26,l2605,成交量,L
12,方正中期,21325,1798.0,2025-12-26,l2605,成交量,L
13,国信期货,19961,-2087.0,2025-12-26,l2605,成交量,L
14,海通期货,19788,2905.0,2025-12-26,l2605,成交量,L
15,中信建投,16979,4986.0,2025-12-26,l2605,成交量,L
16,光大期货,14421,1143.0,2025-12-26,l2605,成交量,L
17,安粮期货,13805,8203.0,2025-12-26,l2605,成交量,L
18,申银万国,13421,3201.0,2025-12-26,l2605,成交量,L
19,创元期货,13356,1603.0,2025-12-26,l2605,成交量,L
20,平安期货,13184,1857.0,2025-12-26,l2605,成交量,L
1,国泰君安,175226,-59408.0,2025-12-29,l2605,成交量,L
2,东证期货,112539,-7933.0,2025-12-29,l2605,成交量,L
3,中信期货,106655,-6703.0,2025-12-29,l2605,成交量,L
4,中泰期货,34356,-7582.0,2025-12-29,l2605,成交量,L
5,广发期货,31758,-2259.0,2025-12-29,l2605,成交量,L
6,浙商期货,26974,-8305.0,2025-12-29,l2605,成交量,L
7,华泰期货,24879,-6798.0,2025-12-29,l2605,成交量,L
8,南华期货,22697,-3015.0,2025-12-29,l2605,成交量,L
9,银河期货,19108,-7814.0,2025-12-29,l2605,成交量,L
10,华闻期货,17347,-6478.0,2025-12-29,l2605,成交量,L
11,海通期货,17229,-2559.0,2025-12-29,l2605,成交量,L
12,国信期货,15641,-4320.0,2025-12-29,l2605,成交量,L
13,徽商期货,15242,-9814.0,2025-12-29,l2605,成交量,L
14,中信建投,14250,-2729.0,2025-12-29,l2605,成交量,L
15,国海良时,13521,6197.0,2025-12-29,l2605,成交量,L
16,光大期货,12512,-1909.0,2025-12-29,l2605,成交量,L
17,国贸期货,12245,7812.0,2025-12-29,l2605,成交量,L
18,平安期货,12241,-943.0,2025-12-29,l2605,成交量,L
19,方正中期,11778,-9547.0,2025-12-29,l2605,成交量,L
20,中辉期货,10118,1552.0,2025-12-29,l2605,成交量,L
1,国泰君安,124679,-50547.0,2025-12-30,l2605,成交量,L
2,东证期货,98626,-13913.0,2025-12-30,l2605,成交量,L
3,中信期货,76721,-29934.0,2025-12-30,l2605,成交量,L
4,广发期货,26388,-5370.0,2025-12-30,l2605,成交量,L
5,浙商期货,24319,-2655.0,2025-12-30,l2605,成交量,L
6,中泰期货,22225,-12131.0,2025-12-30,l2605,成交量,L
7,华泰期货,21543,-3336.0,2025-12-30,l2605,成交量,L
8,南华期货,18920,-3777.0,2025-12-30,l2605,成交量,L
9,国贸期货,14927,2682.0,2025-12-30,l2605,成交量,L
10,华闻期货,14385,-2962.0,2025-12-30,l2605,成交量,L
11,国信期货,14198,-1443.0,2025-12-30,l2605,成交量,L
12,徽商期货,13429,-1813.0,2025-12-30,l2605,成交量,L
13,银河期货,12960,-6148.0,2025-12-30,l2605,成交量,L
14,国海良时,11680,-1841.0,2025-12-30,l2605,成交量,L
15,中国国际,9604,5151.0,2025-12-30,l2605,成交量,L
16,中信建投,9535,-4715.0,2025-12-30,l2605,成交量,L
17,光大期货,9399,-3113.0,2025-12-30,l2605,成交量,L
18,平安期货,8629,-3612.0,2025-12-30,l2605,成交量,L
19,安粮期货,8497,964.0,2025-12-30,l2605,成交量,L
20,海通期货,8365,-8864.0,2025-12-30,l2605,成交量,L
